Ladder Size (bp),Time (sec)
35,1132
100,1197
200,1323
300,1454
400,1571
500,1689
600,1777
700,1852
800,1900
900,1940
1000,1965
1200,2004
1500,2036
2000,2087
3000,2144
5000,2234
