Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN
A1,W01241176865,100 bp to 150 bp,0.0002,0.1,0.0028,122,12.88,300,9.4
A1,W01241176865,150 bp to 260 bp,0.0066,1.9,0.0463,234,9.65,300,9.4
A1,W01241176865,200 bp to 4000 bp,0.3524,99.6,1.0558,549,44.01,300,9.4
A1,W01241176865,650 bp to 4000 bp,0.0928,26.2,0.1851,825,36.38,300,9.4
A2,W01241176866,100 bp to 150 bp,0.0001,0.0,0.0009,125,14.01,300,9.6
A2,W01241176866,150 bp to 260 bp,0.0039,1.6,0.0275,232,9.91,300,9.6
A2,W01241176866,200 bp to 4000 bp,0.2448,99.6,0.6072,664,49.38,300,9.6
A2,W01241176866,650 bp to 4000 bp,0.1012,41.2,0.1788,932,37.32,300,9.6
A3,W01241176867,100 bp to 150 bp,0.0000,0.0,0.0000,129,7.64,300,9.7
A3,W01241176867,150 bp to 260 bp,0.0026,0.8,0.0176,239,7.48,300,9.7
A3,W01241176867,200 bp to 4000 bp,0.3033,99.8,0.8074,618,50.98,300,9.7
A3,W01241176867,650 bp to 4000 bp,0.1153,38.0,0.2216,857,45.25,300,9.7
A4,W01241176868,100 bp to 150 bp,0.0002,0.1,0.0026,123,12.56,300,9.5
A4,W01241176868,150 bp to 260 bp,0.0058,1.6,0.0407,234,9.69,300,9.5
A4,W01241176868,200 bp to 4000 bp,0.3594,99.7,0.9743,607,53.99,300,9.5
A4,W01241176868,650 bp to 4000 bp,0.1204,33.4,0.2186,907,44.66,300,9.5
A5,W01241176869,100 bp to 150 bp,0.0000,0.0,0.0005,109,8.09,300,9.5
A5,W01241176869,150 bp to 260 bp,0.0052,1.7,0.0359,236,8.44,300,9.5
A5,W01241176869,200 bp to 4000 bp,0.3063,99.5,0.7780,648,57.54,300,9.5
A5,W01241176869,650 bp to 4000 bp,0.1102,35.8,0.1832,989,43.27,300,9.5
A6,W01241176870,100 bp to 150 bp,0.0002,0.1,0.0025,121,10.46,300,9.5
A6,W01241176870,150 bp to 260 bp,0.0062,1.9,0.0437,234,9.49,300,9.5
A6,W01241176870,200 bp to 4000 bp,0.3344,99.6,0.8551,644,56.77,300,9.5
A6,W01241176870,650 bp to 4000 bp,0.1177,35.1,0.1975,981,43.40,300,9.5
A7,W01241176871,100 bp to 150 bp,0.0003,0.1,0.0045,120,12.65,300,9.6
A7,W01241176871,150 bp to 260 bp,0.0061,1.5,0.0434,233,10.13,300,9.6
A7,W01241176871,200 bp to 4000 bp,0.4019,99.6,0.8981,736,60.46,300,9.6
A7,W01241176871,650 bp to 4000 bp,0.1736,43.0,0.2605,1097,42.07,300,9.6
A8,W01241176872,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,9.4
A8,W01241176872,150 bp to 260 bp,0.0040,1.9,0.0278,237,7.72,300,9.4
A8,W01241176872,200 bp to 4000 bp,0.2158,99.8,0.5717,621,63.50,300,9.4
A8,W01241176872,650 bp to 4000 bp,0.0658,30.4,0.1068,1013,50.52,300,9.4
A9,W01241176873,100 bp to 150 bp,0.0002,0.1,0.0022,125,12.72,300,9.5
A9,W01241176873,150 bp to 260 bp,0.0044,1.4,0.0308,235,9.16,300,9.5
A9,W01241176873,200 bp to 4000 bp,0.3126,99.6,0.8360,615,54.88,300,9.5
A9,W01241176873,650 bp to 4000 bp,0.1020,32.5,0.1786,941,43.80,300,9.5
A10,W01241176874,100 bp to 150 bp,0.0000,0.0,0.0000,106,0.47,300,9.5
A10,W01241176874,150 bp to 260 bp,0.0055,1.4,0.0381,238,7.83,300,9.5
A10,W01241176874,200 bp to 4000 bp,0.3857,99.9,1.0605,599,51.20,300,9.5
A10,W01241176874,650 bp to 4000 bp,0.1228,31.8,0.2254,897,41.42,300,9.5
A11,W01241176875,100 bp to 150 bp,0.0000,0.0,0.0004,119,11.30,300,9.7
A11,W01241176875,150 bp to 260 bp,0.0043,1.0,0.0299,237,8.50,300,9.7
A11,W01241176875,200 bp to 4000 bp,0.4406,99.9,1.1571,627,53.22,300,9.7
A11,W01241176875,650 bp to 4000 bp,0.1614,36.6,0.2974,893,46.08,300,9.7
A12,W01241176876,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,10.0
A12,W01241176876,150 bp to 260 bp,0.0000,0.0,NaN,NaN,NaN,300,10.0
A12,W01241176876,200 bp to 4000 bp,0.2843,100.0,0.8373,559,25.53,300,10.0
A12,W01241176876,650 bp to 4000 bp,0.0854,30.1,0.1949,722,13.36,300,10.0
B1,W01241176877,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,10.0
B1,W01241176877,150 bp to 260 bp,0.0000,0.0,NaN,NaN,NaN,300,10.0
B1,W01241176877,200 bp to 4000 bp,0.1537,100.0,0.4049,625,34.85,300,10.0
B1,W01241176877,650 bp to 4000 bp,0.0579,37.7,0.1141,835,23.74,300,10.0
B2,W01241176878,100 bp to 150 bp,0.0000,0.0,0.0003,111,6.78,300,9.5
B2,W01241176878,150 bp to 260 bp,0.0044,1.6,0.0304,236,8.42,300,9.5
B2,W01241176878,200 bp to 4000 bp,0.2677,99.6,0.6590,669,55.24,300,9.5
B2,W01241176878,650 bp to 4000 bp,0.1053,39.2,0.1778,975,42.62,300,9.5
B3,W01241176879,100 bp to 150 bp,0.0000,0.0,0.0001,115,0.51,300,9.5
B3,W01241176879,150 bp to 260 bp,0.0082,2.0,0.0573,235,8.92,300,9.5
B3,W01241176879,200 bp to 4000 bp,0.4043,99.8,1.0705,622,45.32,300,9.5
B3,W01241176879,650 bp to 4000 bp,0.1430,35.3,0.2604,904,30.76,300,9.5
B4,W01241176880,100 bp to 150 bp,0.0000,0.0,0.0003,118,7.64,300,9.5
B4,W01241176880,150 bp to 260 bp,0.0055,2.0,0.0385,234,9.05,300,9.5
B4,W01241176880,200 bp to 4000 bp,0.2677,98.2,0.6555,672,52.98,300,9.5
B4,W01241176880,650 bp to 4000 bp,0.1068,39.2,0.1787,983,37.68,300,9.5
B5,W01241176881,100 bp to 150 bp,0.0002,0.1,0.0032,122,10.92,300,9.5
B5,W01241176881,150 bp to 260 bp,0.0047,1.8,0.0331,232,10.18,300,9.5
B5,W01241176881,200 bp to 4000 bp,0.2558,99.6,0.6206,678,61.14,300,9.5
