Well,Sample ID,500 bp Fragment 500 +/- 10 bp
A1,W01241176865,0
A2,W01241176866,0
A3,W01241176867,0
A4,W01241176868,0
A5,W01241176869,0
A6,W01241176870,0
A7,W01241176871,0
A8,W01241176872,0
A9,W01241176873,0
A10,W01241176874,0
A11,W01241176875,0
A12,W01241176876,0
B1,W01241176877,0
B2,W01241176878,0
B3,W01241176879,0
B4,W01241176880,0
B5,W01241176881,0
B6,W01241176882,0
B7,W01241176883,0
B8,W01241176884,1
B9,W01241176885,0
B10,W01241176886,0
B11,W01241176887,0
B12,W01241176888,0
C1,W01241176889,0
C2,W01241176890,0
C3,W01241176891,0
C4,W01241176892,0
C5,W01241176893,0
C6,W01241176894,0
C7,W01241176895,0
C8,W01241176896,0
C9,W01241176897,0
C10,W01241176898,1
C11,W01241176899,0
C12,W01241176900,0
D1,W01241176901,0
D2,W01241176902,0
D3,W01241176903,0
D4,W01241176904,0
D5,W01241176905,0
D6,W01241176906,0
D7,W01241176907,0
D8,W01241176908,0
D9,W01241176909,0
D10,W01241176910,0
D11,W01241176911,0
D12,W01241176912,0
E1,W01241176913,0
E2,W01241176914,0
E3,W01241176915,0
E4,W01241176916,0
E5,W01241176917,1
E6,W01241176918,0
E7,W01241176919,0
E8,W01241176920,0
E9,W01241176921,0
E10,W01241176922,0
E11,W01241176923,0
E12,W01241176924,0
F1,W01241176925,0
F2,W01241176926,0
F3,W01241176927,0
F4,W01241176928,0
F5,W01241176929,0
F6,W01241176930,0
F7,W01241176931,0
F8,W01241176932,0
F9,W01241176933,0
F10,W01241176934,0
F11,W01241176935,0
F12,W01241176936,0
G1,W01241176937,0
G2,W01241176938,0
G3,W01241176939,0
G4,W01241176940,0
G5,W01241176941,0
G6,W01241176942,0
G7,W01241176943,0
G8,W01241176944,0
G9,W01241176945,0
G10,W01241176946,0
G11,W01241176947,0
G12,W01241176948,0
H1,W01241176949,0
H2,W01241176950,0
H3,W01241176951,0
H4,W01241176952,0
H5,W01241176953,0
H6,W01241176954,0
H7,W01241176955,0
H8,W01241176956,0
H9,W01241176957,0
H10,W01241176958,0
H11,W01241176959,0
H12:,,1
