Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),,
"B12","W01241176888",1,35,,0.5369,0.0118,1567,,0.0000,0.0000,0.4334,,
"B12","W01241176888",2,5000,,0.0024,0.0073,1765,,0.0000,0.0000,0.4334,,
"C1","W01241176889",1,35,,0.5369,0.0118,1829,,0.2181,0.4107,0.3898,,
"C1","W01241176889",2,679,100.0,0.4107,0.2181,2350,,0.2181,0.4107,0.3898,,
"C1","W01241176889",3,5000,,0.0023,0.0070,2124,,0.2181,0.4107,0.3898,,
"C2","W01241176890",1,35,,0.5521,0.0118,1708,,0.0000,0.0000,0.0076,,
"C2","W01241176890",2,5000,,0.0031,0.0094,2143,,0.0000,0.0000,0.0076,,
"C3","W01241176891",1,35,,0.5369,0.0118,1568,,0.0000,0.0000,0.4025,,
"C3","W01241176891",2,5000,,0.0028,0.0086,1916,,0.0000,0.0000,0.4025,,
"C4","W01241176892",1,35,,0.5521,0.0118,1684,,0.1740,0.3346,0.3037,,
"C4","W01241176892",2,664,100.0,0.3346,0.1740,1267,,0.1740,0.3346,0.3037,,
"C4","W01241176892",3,5000,,0.0028,0.0086,1331,,0.1740,0.3346,0.3037,,
"C5","W01241176893",1,35,,0.5369,0.0118,1745,,0.1259,0.3107,0.3548,,
"C5","W01241176893",2,677,100.0,0.3107,0.1259,2786,,0.1259,0.3107,0.3548,,
"C5","W01241176893",3,5000,,0.0024,0.0071,2109,,0.1259,0.3107,0.3548,,
"C6","W01241176894",1,35,,0.5225,0.0118,1688,,0.1924,0.3689,0.4106,,
"C6","W01241176894",2,677,60.0,0.2847,0.1154,2595,,0.1924,0.3689,0.4106,,
"C6","W01241176894",3,1500,40.0,0.0842,0.0770,1421,,0.1924,0.3689,0.4106,,
"C6","W01241176894",4,5000,,0.0028,0.0085,2430,,0.1924,0.3689,0.4106,,
"C7","W01241176895",1,35,,0.5521,0.0118,1132,,0.0000,0.0000,0.4411,,
"C7","W01241176895",2,5000,,0.0023,0.0071,1232,,0.0000,0.0000,0.4411,,
"C8","W01241176896",1,35,,0.5225,0.0118,1645,,0.1916,0.4545,0.4405,,
"C8","W01241176896",2,680,100.0,0.4545,0.1916,3721,,0.1916,0.4545,0.4405,,
"C8","W01241176896",3,5000,,0.0026,0.0081,1995,,0.1916,0.4545,0.4405,,
"C9","W01241176897",1,35,,0.5521,0.0118,1499,,0.0000,0.0000,0.2160,,
"C9","W01241176897",2,5000,,0.0021,0.0063,1467,,0.0000,0.0000,0.2160,,
"C10","W01241176898",1,35,,0.5088,0.0118,2946,,0.2254,0.9337,0.2708,,
"C10","W01241176898",2,54,6.4,0.3788,0.0143,2423,,0.2254,0.9337,0.2708,,
"C10","W01241176898",3,507,39.5,0.3133,0.0891,1730,,0.2254,0.9337,0.2708,,
"C10","W01241176898",4,695,54.1,0.2416,0.1220,4508,,0.2254,0.9337,0.2708,,
"C10","W01241176898",5,5000,,0.0015,0.0045,2460,,0.2254,0.9337,0.2708,,
"C11","W01241176899",1,35,,0.5853,0.0118,614,,0.4508,2.1950,1.3774,,
"C11","W01241176899",2,46,8.1,1.2032,0.0367,1718,,0.4508,2.1950,1.3774,,
"C11","W01241176899",3,685,91.9,0.9919,0.4140,3614,,0.4508,2.1950,1.3774,,
"C11","W01241176899",4,5000,,0.0095,0.0289,2740,,0.4508,2.1950,1.3774,,
"C12","W01241176900",1,35,,0.5225,0.0118,2082,,0.1312,0.3062,0.3372,,
"C12","W01241176900",2,681,100.0,0.3062,0.1312,3859,,0.1312,0.3062,0.3372,,
"C12","W01241176900",3,5000,,0.0019,0.0059,2098,,0.1312,0.3062,0.3372,,
"D1","W01241176901",1,35,,0.5521,0.0118,1874,,0.3596,0.8795,0.3605,,
"D1","W01241176901",2,800,100.0,0.8795,0.3596,1523,,0.3596,0.8795,0.3605,,
"D1","W01241176901",3,5000,,0.0022,0.0065,1986,,0.3596,0.8795,0.3605,,
"D2","W01241176902",1,35,,0.4959,0.0118,1622,,0.2959,0.8409,0.2976,,
"D2","W01241176902",2,653,100.0,0.8409,0.2959,1298,,0.2959,0.8409,0.2976,,
"D2","W01241176902",3,5000,,0.0021,0.0063,1994,,0.2959,0.8409,0.2976,,
"D3","W01241176903",1,35,,0.5225,0.0118,1486,,0.0000,0.0000,0.2803,,
"D3","W01241176903",2,5000,,0.0025,0.0075,1887,,0.0000,0.0000,0.2803,,
"D4","W01241176904",1,35,,0.5521,0.0118,1976,,0.2691,0.8238,0.2692,,
"D4","W01241176904",2,475,36.1,0.4322,0.0972,1021,,0.2691,0.8238,0.2692,,
"D4","W01241176904",3,589,19.5,0.1612,0.0526,1195,,0.2691,0.8238,0.2692,,
"D4","W01241176904",4,758,38.1,0.2114,0.1025,1294,,0.2691,0.8238,0.2692,,
"D4","W01241176904",5,1169,6.3,0.0190,0.0168,1036,,0.2691,0.8238,0.2692,,
"D4","W01241176904",6,5000,,0.0026,0.0078,2797,,0.2691,0.8238,0.2692,,
"D5","W01241176905",1,35,,0.5369,0.0118,1746,,0.3992,1.1670,0.3995,,
"D5","W01241176905",2,547,45.6,0.7118,0.1821,1539,,0.3992,1.1670,0.3995,,
"D5","W01241176905",3,665,18.7,0.2005,0.0746,1693,,0.3992,1.1670,0.3995,,
"D5","W01241176905",4,834,29.5,0.2274,0.1177,1745,,0.3992,1.1670,0.3995,,
"D5","W01241176905",5,1163,6.2,0.0273,0.0248,1292,,0.3992,1.1670,0.3995,,
"D5","W01241176905",6,5000,,0.0022,0.0065,1951,,0.3992,1.1670,0.3995,,
"D6","W01241176906",1,35,,0.5369,0.0118,1834,,0.0000,0.0000,0.4606,,
"D6","W01241176906",2,5000,,0.0028,0.0084,2224,,0.0000,0.0000,0.4606,,
"D7","W01241176907",1,35,,0.5369,0.0118,1338,,0.1085,0.2598,0.4084,,
"D7","W01241176907",2,681,100.0,0.2598,0.1085,2391,,0.1085,0.2598,0.4084,,
