Ladder Size (bp),Time (sec)
35,1095
100,1153
200,1273
300,1395
400,1507
500,1618
600,1702
700,1773
800,1820
900,1859
1000,1884
1200,1923
1500,1955
2000,2002
3000,2056
5000,2137
