Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),,
"A1","W01241174696",1,35,,3.1656,0.0678,9066,,0.5898,2.1615,0.5961,,
"A1","W01241174696",2,296,100.0,2.1615,0.5898,1407,,0.5898,2.1615,0.5961,,
"A1","W01241174696",3,5000,,0.0273,0.0831,14293,,0.5898,2.1615,0.5961,,
"A2","W01241174697",1,35,,3.1656,0.0678,8444,,0.0000,0.0000,0.4611,,
"A2","W01241174697",2,5000,,0.0274,0.0834,14557,,0.0000,0.0000,0.4611,,
"A3","W01241174698",1,35,,3.2580,0.0678,8983,,0.0000,0.0000,0.3498,,
"A3","W01241174698",2,5000,,0.0282,0.0857,14975,,0.0000,0.0000,0.3498,,
"A4","W01241174699",1,35,,3.1656,0.0678,9885,,0.0000,0.0000,0.0972,,
"A4","W01241174699",2,5000,,0.0282,0.0860,16882,,0.0000,0.0000,0.0972,,
"A5","W01241174700",1,35,,3.1656,0.0678,10112,,0.0000,0.0000,0.3609,,
"A5","W01241174700",2,5000,,0.0263,0.0800,15962,,0.0000,0.0000,0.3609,,
"A6","W01241174701",1,35,,3.2580,0.0678,10004,,0.0000,0.0000,0.2627,,
"A6","W01241174701",2,5000,,0.0286,0.0875,16033,,0.0000,0.0000,0.2627,,
"A7","W01241174702",1,35,,3.2580,0.0678,10002,,0.2117,1.1703,0.3931,,
"A7","W01241174702",2,252,24.4,0.3372,0.0517,1520,,0.2117,1.1703,0.3931,,
"A7","W01241174702",3,272,75.6,0.8331,0.1600,1520,,0.2117,1.1703,0.3931,,
"A7","W01241174702",4,5000,,0.0284,0.0867,17190,,0.2117,1.1703,0.3931,,
"A8","W01241174703",1,35,,3.1656,0.0678,9604,,0.0000,0.0000,0.2585,,
"A8","W01241174703",2,5000,,0.0278,0.0844,15856,,0.0000,0.0000,0.2585,,
"A9","W01241174704",1,35,,3.1656,0.0678,8570,,0.0000,0.0000,0.1172,,
"A9","W01241174704",2,5000,,0.0292,0.0888,14649,,0.0000,0.0000,0.1172,,
"A10","W01241174705",1,35,,3.2580,0.0678,8507,,0.0000,0.0000,0.2607,,
"A10","W01241174705",2,5000,,0.0267,0.0812,13673,,0.0000,0.0000,0.2607,,
"A11","W01241174706",1,35,,3.1656,0.0678,10588,,0.0000,0.0000,0.3476,,
"A11","W01241174706",2,5000,,0.0280,0.0850,17542,,0.0000,0.0000,0.3476,,
"A12","W01241174707",1,35,,3.1656,0.0678,11304,,0.0000,0.0000,0.2755,,
"A12","W01241174707",2,5000,,0.0286,0.0870,18822,,0.0000,0.0000,0.2755,,
"B1","W01241174708",1,35,,3.1656,0.0678,9388,,0.0000,0.0000,0.1867,,
"B1","W01241174708",2,5000,,0.0261,0.0795,14697,,0.0000,0.0000,0.1867,,
"B2","W01241174709",1,35,,3.1656,0.0678,9223,,0.0000,0.0000,0.2690,,
"B2","W01241174709",2,5000,,0.0266,0.0807,14423,,0.0000,0.0000,0.2690,,
"B3","W01241174710",1,35,,3.1656,0.0678,10197,,0.0000,0.0000,0.1800,,
"B3","W01241174710",2,5000,,0.0283,0.0861,17543,,0.0000,0.0000,0.1800,,
"B4","W01241174711",1,35,,2.9957,0.0678,9907,,0.1170,0.4073,0.2835,,
"B4","W01241174711",2,262,47.4,0.3853,0.0555,1006,,0.1170,0.4073,0.2835,,
"B4","W01241174711",3,4575,52.6,0.0220,0.0615,16524,,0.1170,0.4073,0.2835,,
"B4","W01241174711",4,5000,,0.0035,0.0109,2057,,0.1170,0.4073,0.2835,,
"B5","W01241174712",1,35,,3.1656,0.0678,8832,,0.0000,0.0000,0.2576,,
"B5","W01241174712",2,5000,,0.0305,0.0929,15741,,0.0000,0.0000,0.2576,,
"B6","W01241174713",1,35,,3.1656,0.0678,9760,,0.0000,0.0000,0.0886,,
"B6","W01241174713",2,5000,,0.0341,0.1039,17271,,0.0000,0.0000,0.0886,,
