Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN
A1,W01241174696,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,7.3
A1,W01241174696,150 bp to 260 bp,0.0871,14.6,0.6214,231,9.22,300,7.3
A1,W01241174696,200 bp to 4000 bp,0.5864,98.4,2.0251,476,70.43,300,7.3
A1,W01241174696,650 bp to 4000 bp,0.0869,14.6,0.1393,1027,55.70,300,7.3
A2,W01241174697,100 bp to 150 bp,0.0040,0.9,0.0505,129,10.84,300,6.9
A2,W01241174697,150 bp to 260 bp,0.0771,16.7,0.5591,227,11.01,300,6.9
A2,W01241174697,200 bp to 4000 bp,0.4427,96.0,1.5884,459,76.84,300,6.9
A2,W01241174697,650 bp to 4000 bp,0.0534,11.6,0.0813,1080,65.55,300,6.9
A3,W01241174698,100 bp to 150 bp,0.0000,0.0,0.0005,128,11.77,300,7.1
A3,W01241174698,150 bp to 260 bp,0.0563,16.1,0.4027,230,9.62,300,7.1
A3,W01241174698,200 bp to 4000 bp,0.3428,98.0,1.2095,466,83.55,300,7.1
A3,W01241174698,650 bp to 4000 bp,0.0387,11.1,0.0530,1201,66.35,300,7.1
A4,W01241174699,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,7.8
A4,W01241174699,150 bp to 260 bp,0.0118,12.1,0.0837,231,8.93,300,7.8
A4,W01241174699,200 bp to 4000 bp,0.0954,98.1,0.2417,649,99.27,300,7.8
A4,W01241174699,650 bp to 4000 bp,0.0241,24.8,0.0281,1410,64.38,300,7.8
A5,W01241174700,100 bp to 150 bp,0.0000,0.0,0.0000,123,0.34,300,6.0
A5,W01241174700,150 bp to 260 bp,0.0856,23.7,0.6165,228,9.68,300,6.0
A5,W01241174700,200 bp to 4000 bp,0.3495,96.9,1.4002,411,87.15,300,6.0
A5,W01241174700,650 bp to 4000 bp,0.0204,5.7,0.0236,1420,67.84,300,6.0
A6,W01241174701,100 bp to 150 bp,0.0000,0.0,0.0001,143,3.26,300,5.6
A6,W01241174701,150 bp to 260 bp,0.0753,28.7,0.5505,225,10.29,300,5.6
A6,W01241174701,200 bp to 4000 bp,0.2494,95.0,0.9507,432,104.26,300,5.6
A6,W01241174701,650 bp to 4000 bp,0.0171,6.5,0.0166,1698,60.98,300,5.6
A7,W01241174702,100 bp to 150 bp,0.0000,0.0,0.0000,142,0.43,300,5.6
A7,W01241174702,150 bp to 260 bp,0.1029,26.2,0.7393,229,9.52,300,5.6
A7,W01241174702,200 bp to 4000 bp,0.3801,96.7,1.5778,396,89.23,300,5.6
A7,W01241174702,650 bp to 4000 bp,0.0185,4.7,0.0198,1540,64.67,300,5.6
A8,W01241174703,100 bp to 150 bp,0.0000,0.0,0.0001,141,1.57,300,5.7
A8,W01241174703,150 bp to 260 bp,0.0664,25.7,0.4783,228,9.66,300,5.7
A8,W01241174703,200 bp to 4000 bp,0.2489,96.3,0.9607,426,103.24,300,5.7
A8,W01241174703,650 bp to 4000 bp,0.0164,6.4,0.0161,1674,62.74,300,5.7
A9,W01241174704,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,5.9
A9,W01241174704,150 bp to 260 bp,0.0256,21.8,0.1791,235,7.58,300,5.9
A9,W01241174704,200 bp to 4000 bp,0.1158,98.8,0.4410,432,115.94,300,5.9
A9,W01241174704,650 bp to 4000 bp,0.0049,4.2,0.0030,2636,31.45,300,5.9
A10,W01241174705,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,5.8
A10,W01241174705,150 bp to 260 bp,0.0668,25.6,0.4825,228,9.71,300,5.8
A10,W01241174705,200 bp to 4000 bp,0.2501,95.9,0.9710,424,102.23,300,5.8
A10,W01241174705,650 bp to 4000 bp,0.0151,5.8,0.0144,1723,61.79,300,5.8
A11,W01241174706,100 bp to 150 bp,0.0000,0.0,0.0001,140,5.15,300,5.9
A11,W01241174706,150 bp to 260 bp,0.0843,24.2,0.6076,228,9.73,300,5.9
A11,W01241174706,200 bp to 4000 bp,0.3358,96.6,1.3478,410,90.38,300,5.9
A11,W01241174706,650 bp to 4000 bp,0.0193,5.5,0.0214,1482,66.82,300,5.9
A12,W01241174707,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,5.5
A12,W01241174707,150 bp to 260 bp,0.0755,27.4,0.5468,227,9.94,300,5.5
A12,W01241174707,200 bp to 4000 bp,0.2631,95.5,1.0455,414,102.61,300,5.5
A12,W01241174707,650 bp to 4000 bp,0.0141,5.1,0.0130,1788,60.16,300,5.5
B1,W01241174708,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,5.3
B1,W01241174708,150 bp to 260 bp,0.0515,27.6,0.3692,229,9.45,300,5.3
B1,W01241174708,200 bp to 4000 bp,0.1792,96.0,0.7149,412,111.72,300,5.3
B1,W01241174708,650 bp to 4000 bp,0.0084,4.5,0.0063,2175,47.43,300,5.3
B2,W01241174709,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,6.3
B2,W01241174709,150 bp to 260 bp,0.0552,20.5,0.3941,231,9.26,300,6.3
B2,W01241174709,200 bp to 4000 bp,0.2625,97.6,1.0163,425,93.32,300,6.3
B2,W01241174709,650 bp to 4000 bp,0.0158,5.9,0.0167,1566,64.95,300,6.3
B3,W01241174710,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,5.7
B3,W01241174710,150 bp to 260 bp,0.0457,25.4,0.3278,229,9.38,300,5.7
B3,W01241174710,200 bp to 4000 bp,0.1739,96.6,0.6542,437,113.23,300,5.7
B3,W01241174710,650 bp to 4000 bp,0.0091,5.0,0.0065,2314,38.93,300,5.7
B4,W01241174711,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,7.2
B4,W01241174711,150 bp to 260 bp,0.0448,15.8,0.3202,230,9.30,300,7.2
B4,W01241174711,200 bp to 4000 bp,0.2169,76.5,0.8147,438,93.61,300,7.2
B4,W01241174711,650 bp to 4000 bp,0.0152,5.3,0.0163,1526,64.55,300,7.2
B5,W01241174712,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,6.7
B5,W01241174712,150 bp to 260 bp,0.0446,17.3,0.3147,233,8.64,300,6.7
B5,W01241174712,200 bp to 4000 bp,0.2538,98.5,0.9955,419,90.43,300,6.7
B5,W01241174712,650 bp to 4000 bp,0.0120,4.6,0.0118,1675,64.66,300,6.7
B6,W01241174713,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,4.9
B6,W01241174713,150 bp to 260 bp,0.0296,33.4,0.2158,225,10.22,300,4.9
B6,W01241174713,200 bp to 4000 bp,0.0827,93.3,0.2545,535,134.87,300,4.9
B6,W01241174713,650 bp to 4000 bp,0.0084,9.5,0.0056,2474,34.83,300,4.9
B7,W01241174714,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,6.2
B7,W01241174714,150 bp to 260 bp,0.0779,22.5,0.5619,228,9.95,300,6.2
B7,W01241174714,200 bp to 4000 bp,0.3348,96.6,1.3561,406,86.29,300,6.2
B7,W01241174714,650 bp to 4000 bp,0.0164,4.7,0.0182,1484,69.25,300,6.2
B8,W01241174715,100 bp to 150 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
B8,W01241174715,150 bp to 260 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
B8,W01241174715,200 bp to 4000 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
B8,W01241174715,650 bp to 4000 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
B9,W01241174716,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,6.7
B9,W01241174716,150 bp to 260 bp,0.0190,20.9,0.1397,224,10.39,300,6.7
B9,W01241174716,200 bp to 4000 bp,0.0868,95.1,0.2590,551,116.06,300,6.7
B9,W01241174716,650 bp to 4000 bp,0.0106,11.6,0.0091,1909,56.33,300,6.7
B10,W01241174717,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,6.3
B10,W01241174717,150 bp to 260 bp,0.0342,22.3,0.2484,227,9.53,300,6.3
B10,W01241174717,200 bp to 4000 bp,0.1483,96.5,0.5682,430,96.56,300,6.3
B10,W01241174717,650 bp to 4000 bp,0.0080,5.2,0.0077,1710,66.08,300,6.3
B11,W01241174718,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,5.8
B11,W01241174718,150 bp to 260 bp,0.0732,24.7,0.5255,229,9.41,300,5.8
B11,W01241174718,200 bp to 4000 bp,0.2871,96.8,1.1563,409,96.05,300,5.8
B11,W01241174718,650 bp to 4000 bp,0.0143,4.8,0.0138,1700,62.78,300,5.8
B12,W01241174719,100 bp to 150 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
B12,W01241174719,150 bp to 260 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
