Well,Sample ID,500 bp Fragment 500 +/- 10 bp
A1,W01241174696,0
A2,W01241174697,0
A3,W01241174698,0
A4,W01241174699,0
A5,W01241174700,0
A6,W01241174701,0
A7,W01241174702,0
A8,W01241174703,0
A9,W01241174704,0
A10,W01241174705,0
A11,W01241174706,0
A12,W01241174707,0
B1,W01241174708,0
B2,W01241174709,0
B3,W01241174710,0
B4,W01241174711,0
B5,W01241174712,0
B6,W01241174713,0
B7,W01241174714,0
B8,W01241174715,0
B9,W01241174716,0
B10,W01241174717,0
B11,W01241174718,0
B12,W01241174719,0
C1,W01241174720,0
C2,W01241174721,0
C3,W01241174722,0
C4,W01241174723,0
C5,W01241174724,0
C6,W01241174725,0
C7,W01241174726,0
C8,W01241174727,0
C9,W01241174728,0
C10,W01241174729,0
C11,W01241174730,0
C12,W01241174731,0
D1,W01241174732,0
D2,W01241174733,0
D3,W01241174734,0
D4,W01241174735,0
D5,W01241174736,0
D6,W01241174737,0
D7,W01241174738,0
D8,W01241174739,0
D9,W01241174740,0
D10,W01241174622,0
D11,W01241174623,0
D12,W01241174624,0
E1,W01241174625,0
E2,W01241174626,0
E3,W01241174627,0
E4,W01241174628,0
E5,W01241174629,0
E6,W01241174630,0
E7,W01241174631,0
E8,W01241174632,0
E9,W01241174633,0
E10,W01241174634,0
E11,W01241174635,0
E12,W01241174636,0
F1,W01241174637,0
F2,W01241174638,1
F3,W14241174645,0
F4,W14241174646,0
F5,W14241174647,0
F6,W14241174648,0
F7,W14241174649,0
F8,W14241174650,0
F9,W14241174651,0
F10,W14241174652,0
F11,W14241174653,0
F12,W14241174654,0
G1,W14241174655,0
G2,W14241174656,0
G3,W14241174657,0
G4,W14241174658,0
G5,W14241174659,0
G6,W14241174660,0
G7,W14241174661,0
G8,W14241174662,0
G9,W14241174663,0
G10,W14241174664,0
G11,W14241174665,0
G12,W14241174666,0
H1,W14241174667,0
H2,W14241174668,0
H3,W14241174639,0
H4,W14241174640,0
H5,W14241174641,0
H6,W14241174642,0
H7,W14241174643,0
H8,W14241174644,0
H9,W14241174683,0
H10,W14241174684,0
H11:,,1
H12:,,1
