Well,Sample ID,Peak ID,Size (nt),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Size (nt),Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL)
D6,E. coli Total RNA,2,132,13.2,47.5027,2.0172,219,132,,15.3083,94.8313,19.2601
D6,E. coli Total RNA,3,159,10.5,31.5718,1.6038,362,159,,15.3083,94.8313,19.2601
D6,E. coli Total RNA,4,1640,31.5,8.9491,4.8286,1177,1640,,15.3083,94.8313,19.2601
D6,E. coli Total RNA,5,3069,44.8,6.8078,6.8587,1660,3069,,15.3083,94.8313,19.2601
D6,E. coli Total RNA,,,,,,,,,15.3083,94.8313,19.2601
D7,E. coli Total RNA,1,15,,83.2797,0.5471,1515,15,,7.5607,27.1921,10.8298
D7,E. coli Total RNA,2,160,12.7,18.5563,0.9605,179,160,,7.5607,27.1921,10.8298
D7,E. coli Total RNA,3,1640,34.3,4.7663,2.59,532,1640,,7.5607,27.1921,10.8298
D7,E. coli Total RNA,4,3092,53,3.8696,4.0102,789,3092,,7.5607,27.1921,10.8298
D7,E. coli Total RNA,,,,,,,,,7.5607,27.1921,10.8298
