Size (nt),"D1: E. coli Total RNA","D2: E. coli Total RNA","D3: E. coli Total RNA","D4: E. coli Total RNA","D5: E. coli Total RNA","D6: E. coli Total RNA","D7: E. coli Total RNA","D8: DM","D9: DM","D10: DM","D11: DM","D12: RNA Ladder"
196.15,941.67,123.67,65.69,47.64,24.45,17.74,10.56,0.00,0.41,1.76,1.39,1018.96
196.92,920.41,114.35,67.96,48.31,24.70,17.79,10.85,0.00,0.08,1.84,1.87,1289.23
197.69,895.29,105.40,70.23,48.70,24.94,17.81,11.17,0.07,0.00,2.01,2.36,1569.43
198.46,869.95,96.96,72.49,49.01,25.38,17.83,11.50,0.00,0.00,2.24,2.71,1828.75
199.23,846.75,89.21,74.67,49.45,25.78,17.86,11.83,0.00,0.00,2.43,2.85,2028.39
200.00,826.21,82.25,76.68,50.11,26.18,17.86,12.16,0.00,0.22,2.48,2.80,2130.27
201.00,807.68,76.07,78.46,50.86,26.57,17.85,12.39,0.00,0.43,2.36,2.62,2109.97
203.39,790.72,70.61,80.06,51.49,26.91,17.86,12.45,0.00,0.50,2.11,2.34,1967.62
205.78,775.94,65.83,81.70,51.82,27.07,17.92,12.25,0.00,0.36,1.86,1.99,1729.98
208.18,764.70,61.78,83.66,51.85,26.97,17.96,11.77,0.00,0.03,1.69,1.59,1441.42
210.57,758.09,58.51,86.16,51.77,26.60,17.91,11.08,0.00,0.00,1.66,1.24,1148.65
212.96,756.01,56.09,89.23,51.85,26.01,17.75,10.29,0.00,0.00,1.78,0.98,887.20
215.35,757.19,54.42,92.74,52.29,25.35,17.52,9.57,0.00,0.00,2.04,0.78,675.58
217.74,760.10,53.35,96.58,53.09,24.83,17.32,9.04,0.00,0.00,2.37,0.62,517.20
220.14,764.00,52.68,100.72,54.11,24.67,17.22,8.78,0.00,0.00,2.68,0.48,405.98
222.53,769.10,52.28,105.21,55.13,24.95,17.21,8.78,0.00,0.00,2.91,0.36,331.70
224.92,775.71,52.06,110.06,56.02,25.62,17.28,8.95,0.00,0.00,3.06,0.29,283.38
227.31,783.00,51.98,115.01,56.79,26.44,17.40,9.22,0.00,0.00,3.15,0.27,251.13
229.70,788.67,51.97,119.63,57.60,27.19,17.63,9.59,0.00,0.00,3.22,0.28,227.10
232.10,789.84,51.92,123.42,58.59,27.74,18.02,10.01,0.00,0.00,3.24,0.26,205.94
234.49,784.53,51.68,126.10,59.84,28.14,18.58,10.42,0.00,0.00,3.17,0.22,184.80
236.88,772.48,51.05,127.64,61.23,28.52,19.16,10.71,0.00,0.00,2.98,0.15,162.90
239.27,755.01,49.94,128.20,62.44,28.95,19.57,10.85,0.00,0.00,2.65,0.11,140.75
241.66,734.22,48.32,127.98,63.14,29.39,19.66,10.84,0.00,0.00,2.17,0.14,119.40
244.06,712.25,46.33,127.17,63.13,29.71,19.42,10.75,0.00,0.00,1.58,0.24,99.81
246.45,690.88,44.20,126.01,62.42,29.81,18.98,10.63,0.00,0.00,0.99,0.39,82.55
248.84,671.47,42.24,124.82,61.21,29.63,18.55,10.53,0.00,0.00,0.52,0.55,67.82
251.23,655.03,40.71,123.95,59.79,29.20,18.28,10.48,0.00,0.00,0.23,0.68,55.55
253.62,642.29,39.78,123.70,59.12,28.58,18.20,10.52,0.00,0.00,0.14,0.82,45.55
256.02,633.64,39.47,124.25,58.44,27.91,18.26,10.59,0.00,0.00,0.18,0.99,37.54
258.41,629.07,39.66,125.57,57.38,27.32,18.38,10.60,0.00,0.00,0.30,1.21,31.22
260.80,628.08,40.14,127.47,56.76,26.92,18.48,10.47,0.00,0.00,0.44,1.45,26.26
263.19,629.75,40.70,129.66,56.62,26.74,18.47,10.18,0.00,0.00,0.58,1.66,22.40
265.58,633.07,41.24,131.89,56.96,26.78,18.32,9.87,0.00,0.00,0.68,1.76,19.41
267.98,637.20,41.78,134.04,57.73,27.02,18.12,9.66,0.00,0.00,0.78,1.71,17.08
270.37,641.57,42.41,136.15,58.79,27.42,17.98,9.62,0.00,0.00,0.93,1.51,15.25
272.76,645.67,43.20,138.27,60.01,27.91,18.00,9.74,0.00,0.00,1.13,1.25,13.84
275.15,648.84,44.20,140.35,61.29,28.40,18.19,9.94,0.00,0.00,1.34,0.98,12.87
277.54,650.27,45.37,142.19,62.54,28.79,18.52,10.16,0.00,0.00,1.49,0.78,12.37
279.94,649.47,46.63,143.53,63.73,29.02,18.84,10.42,0.00,0.00,1.54,0.67,12.30
282.33,646.81,47.91,144.20,64.74,29.07,19.05,10.70,0.00,0.00,1.50,0.67,12.47
284.72,643.82,49.12,144.32,65.48,29.00,19.06,10.97,0.00,0.07,1.44,0.76,12.63
287.11,642.94,50.33,144.36,65.92,28.91,18.89,11.19,0.00,0.03,1.40,0.86,12.63
289.50,646.95,51.83,145.14,66.16,28.88,18.60,11.31,0.00,0.00,1.44,0.86,12.45
291.90,657.98,54.05,147.47,66.42,29.04,18.29,11.32,0.00,0.00,1.54,0.71,12.15
294.29,676.56,57.44,151.82,66.96,29.49,18.12,11.28,0.00,0.00,1.68,0.44,11.86
296.68,700.86,62.11,158.02,67.98,30.31,18.23,11.27,0.00,0.00,1.77,0.08,11.61
299.07,726.88,67.77,165.33,69.64,31.55,18.72,11.35,0.00,0.00,1.76,0.00,11.41
301.46,749.84,73.81,172.69,72.03,33.17,19.56,11.54,0.00,0.00,1.66,0.00,11.26
303.86,766.05,79.62,179.06,75.11,35.03,20.60,11.83,0.00,0.00,1.50,0.00,11.21
306.25,774.33,84.82,183.75,78.69,36.92,21.69,12.19,0.00,0.00,1.35,0.00,11.34
308.64,776.12,89.26,186.63,82.41,38.64,22.71,12.55,0.00,0.00,1.25,0.00,11.70
311.03,774.27,92.96,188.03,85.77,40.04,23.62,12.80,0.00,0.00,1.22,0.00,12.24
313.42,771.40,96.09,188.53,88.35,41.09,24.37,12.90,0.00,0.00,1.19,0.00,12.88
315.82,768.44,99.01,188.62,89.98,41.82,24.91,12.85,0.00,0.00,1.15,0.00,13.55
318.21,764.33,102.13,188.50,90.80,42.33,25.25,12.74,0.00,0.00,1.05,0.00,14.23
320.60,756.69,105.66,188.03,91.13,42.67,25.42,12.69,0.00,0.00,0.81,0.00,14.93
322.99,743.26,109.46,186.81,91.28,42.85,25.51,12.82,0.00,0.00,0.41,0.00,15.70
325.38,723.26,113.07,184.36,91.32,42.83,25.56,13.16,0.00,0.00,0.01,0.00,16.59
327.78,698.02,116.01,180.45,91.06,42.54,25.52,13.59,0.00,0.00,0.00,0.00,17.63
330.17,670.56,118.11,175.25,90.24,41.95,25.32,13.94,0.00,0.00,0.00,0.02,18.76
332.56,644.45,119.71,169.41,88.68,41.07,24.86,14.01,0.00,0.00,0.45,0.12,19.91
334.95,622.89,121.53,163.98,86.48,39.95,24.17,13.75,0.00,0.12,1.01,0.16,21.08
337.34,608.15,124.40,159.98,83.95,38.71,23.39,13.31,0.00,0.29,1.44,0.10,22.26
339.74,601.39,129.04,158.12,81.50,37.49,22.74,12.88,0.00,0.45,1.61,0.00,23.37
342.13,602.42,135.90,158.60,79.49,36.48,22.32,12.60,0.00,0.57,1.54,0.00,24.28
344.52,609.54,145.13,161.21,78.14,35.83,22.14,12.47,0.00,0.63,1.35,0.00,24.89
346.91,619.85,156.44,165.46,77.58,35.59,22.10,12.40,0.00,0.58,1.12,0.00,25.20
349.30,630.10,169.16,170.66,77.92,35.73,22.11,12.32,0.00,0.45,0.93,0.00,25.33
351.70,637.99,182.33,176.08,79.20,36.13,22.18,12.26,0.00,0.28,0.77,0.00,25.44
354.09,643.11,195.00,181.14,81.28,36.67,22.33,12.26,0.00,0.14,0.60,0.00,25.63
356.48,647.09,206.61,185.74,83.85,37.29,22.61,12.35,0.00,0.05,0.41,0.00,25.87
358.87,652.85,217.16,190.34,86.57,38.00,23.03,12.43,0.00,0.00,0.23,-1.11,26.09
361.26,663.24,227.25,195.66,89.21,38.90,23.59,12.51,0.00,0.00,0.07,0.00,26.29
363.66,679.91,237.84,202.36,91.77,40.07,24.25,12.68,0.00,0.00,0.00,0.00,26.56
366.05,702.63,249.87,210.66,94.38,41.47,24.95,12.85,0.00,0.00,0.01,0.00,26.96
368.44,729.44,263.92,220.29,97.22,42.99,25.69,13.10,0.00,0.00,0.09,0.00,27.49
370.83,757.56,279.77,230.54,100.40,44.52,26.54,13.53,0.00,0.00,0.16,0.00,28.07
373.22,784.64,296.50,240.52,103.85,46.04,27.54,14.20,0.00,0.00,0.16,0.00,28.59
375.62,809.64,312.86,249.55,107.41,47.57,28.69,15.04,0.00,0.00,0.11,0.00,29.02
378.01,832.92,327.95,257.33,110.89,49.12,29.89,15.91,0.00,0.00,0.03,0.00,29.40
380.40,855.28,341.63,263.97,114.14,50.63,31.02,16.65,0.00,0.00,0.04,0.00,29.81
382.79,876.87,354.37,269.76,117.11,52.03,31.96,17.16,0.00,0.00,0.17,0.00,30.27
385.18,896.70,366.67,274.81,119.85,53.27,32.70,17.40,0.00,0.04,0.40,0.35,30.76
387.58,913.03,378.42,278.88,122.43,54.34,33.31,17.46,0.00,0.34,0.62,0.57,31.21
389.97,924.51,388.78,281.43,124.88,55.22,33.90,17.43,0.00,0.37,0.67,0.58,31.62
392.36,931.08,396.64,282.02,127.05,55.89,34.48,17.43,0.00,0.16,0.51,0.39,32.04
394.75,934.23,401.31,280.72,128.65,56.33,35.02,17.52,0.00,0.00,0.21,0.08,32.50
397.14,936.14,403.08,278.19,129.39,56.50,35.46,17.69,0.00,0.00,0.00,0.00,33.06
399.54,938.13,403.06,275.48,129.15,56.38,35.78,17.88,0.00,0.00,0.00,0.00,33.72
401.93,939.07,402.74,273.48,128.09,56.04,35.97,18.01,0.00,0.00,0.14,0.00,34.52
404.32,934.98,403.01,272.34,126.63,55.62,36.01,18.06,0.00,0.00,0.57,0.00,35.53
406.71,920.62,403.51,271.19,125.20,55.28,35.88,18.07,0.00,0.00,1.05,0.00,36.86
409.10,892.33,402.49,268.42,124.04,55.09,35.56,18.08,0.00,0.00,1.42,0.00,38.57
411.50,850.38,397.55,262.55,123.00,54.94,35.04,18.11,0.00,0.00,1.56,0.00,40.75
413.89,799.32,386.98,253.04,121.62,54.52,34.33,18.10,0.00,0.00,1.48,0.00,43.54
416.28,746.03,370.84,240.71,119.42,54.04,33.45,17.98,0.00,0.00,1.31,0.00,47.22
418.67,697.03,351.07,227.29,116.10,53.55,32.37,17.70,0.00,0.00,1.18,0.00,52.18
421.06,656.50,330.61,214.59,111.71,51.86,31.09,17.20,0.00,0.00,1.20,0.00,58.81
423.46,626.00,312.09,203.78,106.56,49.56,29.59,16.46,0.00,0.00,1.39,0.00,67.34
425.85,605.32,297.12,195.34,101.17,46.96,27.95,15.55,0.00,0.00,1.67,0.00,77.50
428.24,593.62,286.21,189.32,96.13,44.42,26.29,14.61,0.00,0.00,1.90,0.00,88.34
430.63,590.03,279.35,185.70,91.94,42.20,24.77,13.82,0.00,0.00,1.96,0.00,98.28
433.02,593.56,276.40,184.51,88.97,40.45,23.54,13.33,0.00,0.00,1.77,0.00,105.44
435.42,602.55,277.16,185.68,87.38,39.24,22.73,13.18,0.00,0.00,1.39,0.00,108.39
437.81,614.20,281.16,188.88,87.22,38.61,22.39,13.33,0.00,0.00,0.95,0.00,106.63
440.20,624.66,287.38,193.37,88.35,38.61,22.50,13.68,-2.97,0.00,0.56,0.00,100.86
442.59,630.15,294.37,198.03,90.50,39.25,23.00,14.11,0.00,0.00,0.31,0.00,92.70
444.98,628.57,300.47,201.70,93.20,40.39,23.82,14.49,0.00,0.00,0.23,0.00,83.93
447.38,620.73,304.38,203.66,95.89,41.75,24.89,14.75,0.00,0.00,0.31,0.00,75.96
449.77,610.26,305.65,203.99,97.98,42.96,26.06,14.84,0.00,0.00,0.51,0.00,69.47
452.16,602.19,304.96,203.55,99.16,43.75,27.18,14.82,0.00,0.00,0.73,0.00,64.62
454.55,601.10,304.05,203.62,99.52,44.01,28.07,14.80,0.00,0.00,0.85,0.00,61.30
456.94,609.87,305.08,205.41,99.56,43.89,28.70,14.87,0.00,0.00,0.81,0.00,59.41
459.34,629.23,309.97,209.71,99.91,43.74,29.14,15.11,0.00,0.00,0.65,0.00,59.03
461.73,657.89,319.80,216.76,101.11,43.97,29.52,15.58,0.00,0.00,0.49,0.00,60.54
464.12,692.75,334.75,226.26,103.43,44.91,30.00,16.24,0.00,0.00,0.43,0.00,65.00
466.51,729.20,354.20,237.46,106.97,46.63,30.69,17.00,0.00,0.00,0.51,0.00,74.89
468.90,761.73,376.78,249.16,111.64,49.00,31.64,17.74,0.00,0.00,0.72,0.00,95.51
471.30,785.00,400.30,259.81,117.25,51.75,32.78,18.38,0.00,0.00,0.97,0.00,136.52
473.69,795.24,421.91,267.75,123.40,54.59,33.98,18.93,0.00,0.00,1.17,0.00,212.55
476.08,791.48,438.54,271.59,129.42,57.28,35.03,19.44,0.00,0.00,1.22,0.00,341.23
478.47,776.04,447.92,270.73,134.45,59.56,35.77,19.88,0.00,0.00,1.11,0.00,537.87
480.86,753.75,449.43,265.55,137.68,61.12,36.11,20.18,0.00,0.00,0.92,0.00,808.21
483.26,730.21,444.44,257.39,138.57,61.75,36.03,20.28,0.00,0.00,0.72,0.00,1143.11
485.65,709.91,435.76,248.01,137.12,61.37,35.59,20.20,0.00,0.00,0.58,0.00,1518.75
488.04,695.32,426.58,239.13,133.87,60.16,34.90,19.98,0.00,0.00,0.53,0.00,1902.73
490.43,686.99,419.47,232.01,129.78,58.44,34.13,19.65,0.00,0.00,0.58,0.00,2262.43
492.82,684.10,415.87,227.32,125.89,56.59,33.48,19.22,0.00,0.00,0.70,0.00,2570.61
495.22,684.90,416.20,225.10,122.96,54.96,33.12,18.75,0.00,0.00,0.85,0.00,2806.40
497.61,686.91,420.02,224.91,121.32,53.79,33.06,18.35,0.00,0.00,0.96,0.00,2954.26
500.00,687.25,426.16,225.92,120.88,53.22,33.18,18.15,0.00,0.00,0.98,0.00,3004.59
501.00,683.41,432.84,227.07,121.24,53.22,33.28,18.17,0.00,0.00,0.92,0.00,2956.45
505.34,674.22,438.01,227.38,121.84,53.58,33.25,18.29,0.00,0.00,0.88,0.00,2819.56
509.68,660.24,439.97,226.23,122.11,54.02,33.09,18.37,0.00,0.00,0.83,0.00,2612.74
514.02,643.46,438.05,223.54,121.63,54.30,32.89,18.26,0.00,0.00,0.78,0.00,2359.20
518.36,626.19,432.91,219.71,120.25,54.26,32.67,17.92,0.00,0.00,0.77,0.08,2081.71
522.70,609.95,426.10,215.44,118.22,53.89,32.38,17.43,0.00,0.00,0.79,0.32,1799.82
527.03,594.93,419.17,211.32,115.98,53.26,31.94,16.97,0.00,0.00,0.85,0.32,1529.19
531.37,580.13,412.84,207.61,113.95,52.44,31.39,16.70,0.00,0.00,1.01,0.13,1281.59
535.71,564.08,406.84,204.17,112.30,51.51,30.82,16.70,0.00,0.00,1.33,0.00,1064.41
540.05,545.75,400.24,200.58,110.88,50.51,30.30,16.88,0.00,0.00,1.81,0.00,880.32
544.39,525.19,392.21,196.40,109.36,49.49,29.80,17.06,0.00,0.00,2.32,0.00,727.78
548.73,503.76,382.40,191.40,107.45,48.40,29.21,17.02,0.00,0.00,2.68,0.00,602.64
553.07,483.71,371.20,185.76,105.01,47.18,28.49,16.66,0.00,0.00,2.74,0.00,499.94
557.41,467.56,359.69,180.08,102.07,45.76,27.66,16.05,0.00,0.00,2.49,0.00,415.30
561.75,457.52,349.39,175.25,98.86,44.17,26.86,15.34,0.00,0.00,2.02,0.00,345.40
566.09,455.27,341.90,172.16,95.74,42.54,26.19,14.69,0.00,0.00,1.51,0.00,287.98
570.43,461.87,338.52,171.52,93.16,41.11,25.71,14.23,0.00,0.00,1.14,0.00,241.53
574.77,477.60,340.24,173.78,91.56,40.14,25.58,13.96,0.00,-1.91,1.00,0.00,204.81
579.10,501.66,347.71,179.19,91.27,39.83,25.44,13.87,0.00,0.00,1.07,0.00,176.48
583.44,531.82,361.16,187.82,92.54,40.28,25.42,13.93,0.00,0.00,1.27,0.00,154.94
587.78,564.60,380.07,199.41,95.52,41.49,25.73,14.15,0.00,0.00,1.54,0.00,138.47
592.12,596.06,402.94,213.20,100.27,43.37,26.45,14.56,0.00,0.00,1.85,0.00,125.56
596.46,622.80,427.39,227.89,106.56,45.80,27.59,15.17,0.00,0.00,2.16,0.00,115.02
600.80,642.83,450.61,241.93,113.79,48.63,29.00,15.92,0.00,0.00,2.37,0.00,106.08
605.14,655.59,470.20,253.88,121.01,51.65,30.44,16.70,0.00,0.00,2.42,0.00,98.23
609.48,661.38,484.71,262.88,127.26,54.55,31.69,17.36,0.00,0.00,2.28,0.00,91.15
613.82,660.69,493.81,268.67,131.93,57.05,32.71,17.78,0.00,0.00,2.01,0.00,84.66
618.16,653.89,497.98,271.40,134.97,59.00,33.54,17.99,0.00,0.00,1.71,0.00,78.68
622.50,641.23,497.71,271.25,136.73,60.33,34.30,18.12,0.00,0.00,1.49,0.00,73.21
626.83,623.26,493.14,268.28,137.57,61.07,35.07,18.29,0.00,0.00,1.36,0.00,68.31
631.17,601.08,484.13,262.58,137.64,61.22,35.86,18.54,0.00,0.00,1.30,0.00,64.04
635.51,576.43,470.85,254.55,136.78,60.78,36.60,18.79,0.00,0.00,1.26,0.00,60.49
639.85,551.51,454.18,245.06,134.76,59.75,37.12,18.96,0.00,0.00,1.21,0.00,57.67
644.19,528.30,435.71,235.30,131.56,58.22,37.28,18.95,0.00,0.00,1.17,0.00,55.54
648.53,508.11,417.29,226.33,127.50,56.35,36.99,18.71,0.00,0.00,1.12,0.00,53.98
652.87,491.43,400.52,218.87,123.12,54.37,36.26,18.20,0.00,0.00,1.08,0.00,52.80
657.21,478.19,386.40,213.15,118.95,52.52,35.23,17.49,0.00,0.00,1.06,0.00,51.76
661.55,468.26,375.32,209.17,115.35,50.96,34.09,16.67,0.00,0.00,1.10,0.00,50.68
665.89,461.81,367.18,206.81,112.41,49.72,33.01,15.92,0.00,0.00,1.19,0.00,49.41
670.23,459.26,361.69,205.96,110.07,48.74,32.04,15.36,0.00,0.00,1.27,0.00,47.88
674.57,461.12,358.63,206.55,108.24,47.90,31.20,15.02,0.00,0.00,1.26,0.00,46.10
678.90,467.73,358.03,208.60,106.91,47.15,30.45,14.88,0.00,0.00,1.16,0.00,44.17
683.24,479.07,360.12,212.14,106.24,46.53,29.82,14.87,0.00,0.00,1.07,0.00,42.28
687.58,494.74,365.06,217.18,106.45,46.20,29.41,14.97,0.00,0.00,1.06,0.00,40.68
691.92,513.63,372.77,223.57,107.70,46.34,29.27,15.19,0.00,0.00,1.10,0.00,39.59
696.26,533.73,382.81,230.97,109.97,47.02,29.39,15.50,0.00,0.00,1.06,0.00,39.11
700.60,551.95,394.39,238.86,113.02,48.20,29.68,15.85,0.00,0.00,0.83,0.00,39.13
704.94,564.78,406.41,246.59,116.53,49.67,30.10,16.19,0.00,0.00,0.41,0.00,39.48
709.28,569.41,417.47,253.40,120.15,51.20,30.66,16.52,0.00,0.00,0.00,0.00,40.01
713.62,564.89,425.95,258.53,123.61,52.60,31.43,16.87,0.00,0.00,0.00,0.00,40.74
717.96,552.66,430.39,261.36,126.60,53.77,32.38,17.26,0.00,0.00,0.00,0.00,41.77
722.30,535.99,429.99,261.60,128.78,54.61,33.40,17.68,0.00,0.00,0.00,0.00,43.19
726.63,518.69,424.98,259.46,129.84,55.09,34.23,17.99,0.00,0.00,0.00,0.00,44.99
730.97,503.62,416.63,255.53,129.61,55.16,34.66,18.08,0.00,0.00,0.00,0.00,47.13
735.31,491.97,406.73,250.62,128.19,54.84,34.63,17.86,0.00,0.00,0.00,0.00,49.50
739.65,483.60,396.93,245.49,125.92,54.22,34.22,17.40,0.00,0.00,0.00,0.00,52.04
743.99,477.91,388.39,240.71,123.26,53.45,33.60,16.85,0.00,0.00,0.00,0.00,54.68
748.33,474.65,381.68,236.70,120.65,52.65,32.90,16.36,0.00,0.00,0.08,0.00,57.32
752.67,473.98,377.10,233.82,118.42,52.28,32.18,16.00,0.00,0.00,0.27,0.00,59.88
757.01,476.11,374.87,232.31,116.71,51.91,31.48,15.80,0.00,0.00,0.54,0.00,62.32
761.35,480.89,375.25,232.29,115.60,51.26,30.88,15.75,0.00,0.00,0.80,0.00,64.72
765.69,487.83,378.43,233.72,115.07,50.77,30.43,15.87,0.00,0.00,0.91,0.00,67.21
770.03,496.70,384.34,236.52,115.12,50.51,30.23,16.14,0.00,0.00,0.80,0.00,69.96
774.37,508.22,392.79,240.67,115.74,50.56,30.29,16.53,0.00,0.00,0.51,0.00,72.98
778.70,524.49,403.67,246.30,117.00,50.94,30.56,16.98,0.00,0.00,0.21,0.00,76.12
783.04,548.64,417.31,253.81,119.04,51.62,30.97,17.39,0.00,0.00,0.03,0.00,79.21
787.38,583.69,434.77,263.95,122.09,52.61,31.42,17.70,0.00,0.00,0.04,0.00,82.10
791.72,630.61,457.66,277.52,126.44,53.94,31.93,17.92,0.00,0.00,0.17,0.00,84.75
796.06,686.70,487.45,294.89,132.45,55.71,32.66,18.14,0.00,0.00,0.30,0.00,87.16
800.40,745.09,524.41,315.38,140.40,58.12,33.82,18.56,0.00,0.00,0.34,0.00,89.41
804.74,796.09,566.62,337.02,150.25,61.37,35.58,19.31,0.00,0.00,0.27,0.00,91.58
809.08,830.23,609.72,356.83,161.30,65.52,37.91,20.39,0.00,0.00,0.13,0.00,93.69
813.42,841.67,647.53,371.50,166.70,70.28,40.63,21.64,0.00,0.00,0.00,0.00,95.65
817.76,830.42,673.65,378.33,172.11,75.06,43.38,22.84,0.00,0.00,0.00,0.00,97.32
822.10,802.28,683.58,376.15,180.82,79.07,45.84,23.84,0.00,0.00,0.00,0.00,98.58
826.43,766.55,676.45,365.75,185.78,81.58,47.66,24.57,0.00,0.00,0.00,0.00,99.38
830.77,732.87,655.61,349.71,186.19,82.19,48.64,24.98,0.00,0.00,0.27,0.00,99.75
835.11,708.40,627.53,331.61,182.39,80.91,48.67,24.99,0.00,0.00,0.74,0.00,99.78
839.45,696.41,599.68,314.95,175.65,78.18,47.85,24.59,0.00,0.00,1.21,0.00,99.58
843.79,696.27,578.34,302.38,167.70,74.75,46.42,23.88,0.00,0.00,1.56,0.00,99.28
848.13,704.47,567.18,295.12,160.24,71.42,44.75,23.07,0.00,0.00,1.74,0.00,99.00
852.47,716.01,566.85,292.94,154.56,68.80,43.19,22.33,0.00,0.00,1.75,0.00,98.88
856.81,725.58,575.28,294.35,151.33,67.15,42.05,21.79,0.00,0.00,1.62,0.00,99.09
861.15,728.37,588.56,297.22,150.52,66.42,41.48,21.46,0.00,0.00,1.51,0.00,99.81
865.49,720.89,602.02,299.41,151.51,66.32,41.46,21.33,0.00,0.00,1.41,0.00,101.12
869.83,701.98,611.32,299.27,153.24,66.43,41.78,21.32,0.00,0.00,1.14,0.00,102.96
874.17,673.47,613.33,295.93,154.61,66.38,42.17,21.41,0.00,0.00,0.85,0.00,105.21
878.50,640.09,606.76,289.35,154.71,65.86,42.33,21.52,0.00,0.00,0.59,0.00,107.77
882.84,608.21,592.47,280.23,153.07,64.75,42.06,21.58,0.00,0.00,0.40,0.00,110.61
887.18,583.69,573.26,269.91,149.71,63.10,41.29,21.48,0.00,0.00,0.29,0.00,113.71
891.52,570.02,553.20,260.01,145.00,61.08,40.06,21.17,0.00,0.00,0.20,0.00,116.90
895.86,567.36,536.45,252.07,139.62,58.95,38.53,20.70,0.00,0.00,0.09,0.00,119.91
900.20,572.96,526.03,247.13,134.37,56.94,36.97,20.18,0.00,0.00,0.00,0.00,122.45
904.54,582.65,522.99,245.41,130.03,55.25,35.69,19.71,0.00,0.00,0.00,0.00,124.36
908.88,592.59,526.41,246.31,127.09,54.01,34.92,19.34,0.00,0.00,0.00,0.00,125.60
913.22,600.58,533.99,248.67,125.66,53.26,34.71,19.11,0.00,0.00,0.12,0.00,126.15
917.56,606.30,543.11,251.26,125.42,52.92,34.95,19.06,0.00,0.00,0.30,0.00,126.04
921.90,610.83,551.75,253.27,125.81,52.86,35.38,19.17,0.00,0.00,0.45,0.00,125.44
926.23,615.68,558.95,254.54,126.33,52.89,35.75,19.39,0.00,0.00,0.50,0.00,124.74
930.57,622.02,564.90,255.50,126.72,52.94,35.93,19.60,0.00,0.00,0.46,0.00,124.50
934.91,630.43,570.63,256.84,127.03,53.03,35.93,19.71,0.00,0.00,0.38,0.00,125.45
939.25,641.08,577.44,259.18,127.51,53.29,35.84,19.76,0.00,0.00,0.33,0.00,128.66
943.59,654.26,586.37,262.88,128.42,53.88,35.76,19.87,0.00,0.00,0.33,0.00,136.10
947.93,670.91,597.75,267.93,129.91,54.87,35.75,20.16,0.00,0.00,0.37,0.00,151.50
952.27,692.81,611.34,274.11,131.99,56.22,35.87,20.66,0.00,0.00,0.41,0.00,181.40
956.61,722.06,626.90,281.24,134.60,57.85,36.22,21.29,0.00,0.00,0.40,0.00,235.59
960.95,760.10,644.77,289.42,137.76,59.66,36.90,21.92,0.00,0.00,0.34,0.00,326.58
965.29,806.38,665.97,299.03,141.53,61.66,37.90,22.43,0.00,0.00,0.20,0.00,467.18
969.63,857.54,691.72,310.43,146.04,63.93,39.12,22.82,0.00,0.00,0.00,0.00,666.18
973.97,907.67,722.46,323.62,151.36,66.56,40.40,23.13,0.00,0.00,0.00,0.00,922.92
978.30,949.84,757.07,337.91,157.46,69.54,41.65,23.46,0.00,0.00,0.00,0.00,1223.13
982.64,978.42,792.57,351.92,164.23,72.68,42.88,23.87,-5.59,0.00,0.00,0.00,1538.69
986.98,991.11,824.61,363.91,171.44,75.69,44.20,24.42,0.00,0.00,0.00,0.00,1832.52
991.32,989.61,848.73,372.30,178.62,78.27,45.68,25.05,0.00,0.00,0.00,0.00,2067.45
995.66,978.77,861.78,376.13,185.09,80.20,47.24,25.72,0.00,0.00,0.00,0.00,2215.54
1000.00,964.48,863.02,375.36,190.03,81.39,48.69,26.32,0.00,0.00,0.00,0.00,2264.36
1001.00,951.46,854.36,370.75,192.78,81.90,49.83,26.75,0.00,0.00,0.00,0.00,2218.05
1008.23,941.86,839.48,363.61,193.09,81.87,50.56,26.99,0.00,0.00,0.00,0.00,2093.49
1015.46,935.08,822.56,355.41,191.28,81.44,50.85,27.05,0.00,0.00,0.00,0.00,1914.08
1022.70,928.99,806.90,347.48,188.05,80.69,50.75,27.01,0.00,0.00,0.00,0.00,1703.80
1029.93,921.45,794.14,340.65,184.22,79.67,50.33,26.97,0.00,0.00,0.00,0.00,1483.28
1037.16,911.61,784.31,335.16,180.43,78.42,49.66,26.91,0.00,0.00,0.00,0.00,1268.09
1044.39,900.20,776.36,330.73,176.97,77.07,48.86,26.75,0.00,0.00,0.00,0.00,1068.74
1051.62,889.09,769.02,326.90,173.88,75.73,47.99,26.36,0.00,0.00,0.00,0.00,891.67
1058.86,880.41,761.61,323.32,171.12,74.51,47.10,25.75,0.00,0.00,0.00,0.00,740.24
1066.09,875.86,754.34,320.08,168.67,73.38,46.22,25.03,0.00,0.00,0.00,0.00,615.22
1073.32,876.45,748.25,317.56,166.51,72.33,45.35,24.42,0.00,0.00,0.00,0.00,515.14
1080.55,882.79,744.52,316.19,164.68,71.39,44.58,24.09,0.00,0.00,0.00,0.00,436.81
1087.78,895.61,743.87,316.24,163.29,70.71,43.99,24.06,0.00,0.00,0.00,0.00,376.26
1095.01,916.16,746.38,317.76,162.54,70.45,43.71,24.23,0.00,0.00,0.00,0.00,329.60
1102.25,946.24,751.85,320.81,162.64,70.67,43.81,24.43,0.00,0.00,0.00,0.00,293.48
1109.48,987.83,760.38,325.65,163.75,71.32,44.25,24.51,0.00,0.00,0.00,0.00,265.11
1116.71,1042.45,772.71,332.77,165.90,72.38,44.94,24.50,0.00,0.00,0.00,0.00,242.26
