Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN
A1,W01241176960,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,9.7
A1,W01241176960,150 bp to 260 bp,0.0026,0.8,0.0176,241,6.30,300,9.7
A1,W01241176960,200 bp to 4000 bp,0.3212,99.9,0.8802,601,50.94,300,9.7
A1,W01241176960,650 bp to 4000 bp,0.0979,30.4,0.1782,904,43.29,300,9.7
A2,W01241176961,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,9.7
A2,W01241176961,150 bp to 260 bp,0.0037,1.1,0.0261,235,8.61,300,9.7
A2,W01241176961,200 bp to 4000 bp,0.3391,99.8,0.8598,649,51.60,300,9.7
A2,W01241176961,650 bp to 4000 bp,0.1311,38.6,0.2310,934,40.31,300,9.7
A3,W01241176962,100 bp to 150 bp,0.0000,0.0,0.0000,108,5.96,300,9.5
A3,W01241176962,150 bp to 260 bp,0.0050,1.5,0.0350,236,8.23,300,9.5
A3,W01241176962,200 bp to 4000 bp,0.3407,99.7,0.9173,611,52.41,300,9.5
A3,W01241176962,650 bp to 4000 bp,0.1079,31.6,0.1895,937,40.57,300,9.5
A4,W01241176963,100 bp to 150 bp,0.0000,0.0,0.0001,119,1.00,300,9.5
A4,W01241176963,150 bp to 260 bp,0.0052,1.4,0.0359,237,7.70,300,9.5
A4,W01241176963,200 bp to 4000 bp,0.3570,99.8,0.9834,597,51.07,300,9.5
A4,W01241176963,650 bp to 4000 bp,0.1116,31.2,0.2042,900,41.86,300,9.5
A5,W01241176964,100 bp to 150 bp,0.0000,0.1,0.0001,121,8.65,300,9.4
A5,W01241176964,150 bp to 260 bp,0.0003,2.1,0.0021,229,9.45,300,9.4
A5,W01241176964,200 bp to 4000 bp,0.0133,96.9,0.0219,1002,87.95,300,9.4
A5,W01241176964,650 bp to 4000 bp,0.0065,47.1,0.0067,1593,59.59,300,9.4
A6,W01241176965,100 bp to 150 bp,0.0000,0.0,0.0001,117,1.20,300,9.4
A6,W01241176965,150 bp to 260 bp,0.0059,1.8,0.0406,238,7.82,300,9.4
