Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),,
"B3","W01241176974",2,457,100.0,0.3668,0.1023,2700,,0.1023,0.3668,0.4587,,
"B3","W01241176974",3,5000,,0.0042,0.0128,3123,,0.1023,0.3668,0.4587,,
"B4","W01241176975",1,35,,0.6006,0.0136,1802,,0.1354,0.3126,0.3918,,
"B4","W01241176975",2,679,100.0,0.3126,0.1354,2143,,0.1354,0.3126,0.3918,,
"B4","W01241176975",3,5000,,0.0025,0.0075,2209,,0.1354,0.3126,0.3918,,
"B5","W01241176976",1,35,,0.6346,0.0136,1680,,0.1053,0.2326,0.3345,,
"B5","W01241176976",2,675,100.0,0.2326,0.1053,1843,,0.1053,0.2326,0.3345,,
"B5","W01241176976",3,5000,,0.0031,0.0093,2483,,0.1053,0.2326,0.3345,,
"B6","W01241176977",1,35,,0.6532,0.0136,1424,,0.0000,0.0000,0.3892,,
"B6","W01241176977",2,5000,,0.0031,0.0095,1987,,0.0000,0.0000,0.3892,,
"B7","W01241176426",1,35,,0.4944,0.0136,5250,,0.3217,1.4906,0.3334,,
"B7","W01241176426",2,137,0.5,0.0193,0.0016,1584,,0.3217,1.4906,0.3334,,
"B7","W01241176426",3,292,4.5,0.0842,0.0143,5567,,0.3217,1.4906,0.3334,,
"B7","W01241176426",4,338,87.0,1.3345,0.2799,58089,,0.3217,1.4906,0.3334,,
"B7","W01241176426",5,480,4.3,0.0463,0.0137,1365,,0.3217,1.4906,0.3334,,
"B7","W01241176426",6,3342,3.8,0.0062,0.0122,1964,,0.3217,1.4906,0.3334,,
"B7","W01241176426",7,5000,,0.0006,0.0019,3068,,0.3217,1.4906,0.3334,,
"B8","W01241176427",1,35,,0.5424,0.0136,1817,,1.2657,6.3542,1.2823,,
"B8","W01241176427",2,64,3.3,1.1310,0.0414,3296,,1.2657,6.3542,1.2823,,
"B8","W01241176427",3,306,3.4,0.2303,0.0427,9257,,1.2657,6.3542,1.2823,,
"B8","W01241176427",4,341,6.6,0.4135,0.0837,7756,,1.2657,6.3542,1.2823,,
"B8","W01241176427",5,374,85.9,4.5743,1.0871,50117,,1.2657,6.3542,1.2823,,
"B8","W01241176427",6,3501,0.9,0.0051,0.0108,2466,,1.2657,6.3542,1.2823,,
"B8","W01241176427",7,5000,,0.0084,0.0256,817,,1.2657,6.3542,1.2823,,
"B9","W01241176428",1,35,,0.6728,0.0136,5752,,0.4098,2.7531,0.4125,,
"B9","W01241176428",2,43,5.4,0.7853,0.0221,8322,,0.4098,2.7531,0.4125,,
"B9","W01241176428",3,60,7.3,0.7619,0.0297,7263,,0.4098,2.7531,0.4125,,
"B9","W01241176428",4,100,1.6,0.1074,0.0066,1423,,0.4098,2.7531,0.4125,,
"B9","W01241176428",5,430,2.0,0.0318,0.0080,1596,,0.4098,2.7531,0.4125,,
"B9","W01241176428",6,482,27.0,0.3824,0.1106,51299,,0.4098,2.7531,0.4125,,
"B9","W01241176428",7,496,48.8,0.6289,0.1999,31686,,0.4098,2.7531,0.4125,,
"B9","W01241176428",8,996,8.0,0.0553,0.0329,1947,,0.4098,2.7531,0.4125,,
"B9","W01241176428",9,5000,,0.0006,0.0020,2267,,0.4098,2.7531,0.4125,,
"B10","W01241176429",1,35,,0.6532,0.0136,7356,,0.2238,0.7194,0.2295,,
"B10","W01241176429",2,429,0.2,0.0015,0.0004,398,,0.2238,0.7194,0.2295,,
"B10","W01241176429",3,482,31.0,0.2392,0.0695,54725,,0.2238,0.7194,0.2295,,
"B10","W01241176429",4,496,65.2,0.4653,0.1459,39742,,0.2238,0.7194,0.2295,,
"B10","W01241176429",5,1113,3.6,0.0134,0.0080,1247,,0.2238,0.7194,0.2295,,
"B10","W01241176429",6,5000,,0.0005,0.0014,2441,,0.2238,0.7194,0.2295,,
"B11","W01241176389",1,35,,0.6346,0.0136,1660,,0.0000,0.0000,0.3125,,
"B11","W01241176389",2,5000,,0.0044,0.0133,2531,,0.0000,0.0000,0.3125,,
"B12","W01241176845",1,35,,0.6346,0.0136,1474,,0.7836,4.2400,0.8148,,
"B12","W01241176845",2,305,100.0,4.2400,0.7836,48077,,0.7836,4.2400,0.8148,,
"B12","W01241176845",3,5000,,0.0042,0.0128,2371,,0.7836,4.2400,0.8148,,
"C1","W01241176846",1,35,,0.6346,0.0136,1697,,0.7489,4.1475,0.7651,,
"C1","W01241176846",2,300,100.0,4.1475,0.7489,44968,,0.7489,4.1475,0.7651,,
"C1","W01241176846",3,5000,,0.0044,0.0135,2694,,0.7489,4.1475,0.7651,,
"C2","W01241176847",1,35,,0.6171,0.0136,1712,,0.8064,4.4663,0.8313,,
"C2","W01241176847",2,299,100.0,4.4663,0.8064,53244,,0.8064,4.4663,0.8313,,
"C2","W01241176847",3,5000,,0.0045,0.0136,2665,,0.8064,4.4663,0.8313,,
"C3","W01241176848",1,35,,0.6346,0.0136,1564,,1.0327,5.7193,1.0621,,
"C3","W01241176848",2,299,100.0,5.7193,1.0327,56151,,1.0327,5.7193,1.0621,,
"C3","W01241176848",3,5000,,0.0043,0.0129,2341,,1.0327,5.7193,1.0621,,
"C4","W01241177036",1,35,,0.6532,0.0136,1194,,0.0000,0.0000,0.1869,,
"C4","W01241177036",2,5000,,0.0044,0.0133,1709,,0.0000,0.0000,0.1869,,
"C5","W01241177037",1,35,,0.6346,0.0136,724,,0.0000,0.0000,0.1473,,
"C5","W01241177037",2,5000,,0.0043,0.0133,945,,0.0000,0.0000,0.1473,,
"C6","W01241177038",1,35,,0.6346,0.0136,1288,,0.0000,0.0000,0.1717,,
"C6","W01241177038",2,5000,,0.0049,0.0148,1958,,0.0000,0.0000,0.1717,,
"C7","W01241177039",1,35,,0.6532,0.0136,1175,,0.0000,0.0000,0.1992,,
"C7","W01241177039",2,5000,,0.0045,0.0138,1843,,0.0000,0.0000,0.1992,,
"C8","W01241177040",1,35,,0.6346,0.0136,910,,0.0000,0.0000,0.1656,,
"C8","W01241177040",2,5000,,0.0050,0.0153,1363,,0.0000,0.0000,0.1656,,
"C9","W01241177041",1,35,,0.6346,0.0136,1397,,0.0000,0.0000,0.1708,,
"C9","W01241177041",2,5000,,0.0042,0.0128,2014,,0.0000,0.0000,0.1708,,
"C10","W01241177042",1,35,,0.6346,0.0136,1132,,0.0000,0.0000,0.1722,,
"C10","W01241177042",2,5000,,0.0049,0.0148,1865,,0.0000,0.0000,0.1722,,
"C11","W01241177043",1,35,,0.6532,0.0136,1573,,0.0000,0.0000,0.1744,,
"C11","W01241177043",2,5000,,0.0053,0.0159,2786,,0.0000,0.0000,0.1744,,
"C12","W01241177044",1,35,,0.6346,0.0136,1622,,0.0000,0.0000,0.1649,,
"C12","W01241177044",2,5000,,0.0051,0.0157,2705,,0.0000,0.0000,0.1649,,
"D1","W01241177045",1,35,,0.6346,0.0136,952,,0.0000,0.0000,0.1538,,
"D1","W01241177045",2,5000,,0.0046,0.0142,1519,,0.0000,0.0000,0.1538,,
"D2","W01241177046",1,35,,0.6532,0.0136,1634,,0.0000,0.0000,0.1686,,
"D2","W01241177046",2,5000,,0.0053,0.0162,2899,,0.0000,0.0000,0.1686,,
"D3","W01241177047",1,35,,0.6346,0.0136,1411,,0.0000,0.0000,0.1727,,
"D3","W01241177047",2,5000,,0.0047,0.0144,2283,,0.0000,0.0000,0.1727,,
"D4","W01241177048",1,35,,0.6346,0.0136,1182,,0.0000,0.0000,0.1708,,
"D4","W01241177048",2,5000,,0.0042,0.0129,1725,,0.0000,0.0000,0.1708,,
"D5","W01241177049",1,35,,0.6346,0.0136,843,,0.0000,0.0000,0.1775,,
"D5","W01241177049",2,5000,,0.0043,0.0132,1213,,0.0000,0.0000,0.1775,,
"D6","W01241177050",1,35,,0.6532,0.0136,1538,,0.0000,0.0000,0.1856,,
"D6","W01241177050",2,5000,,0.0053,0.0162,2840,,0.0000,0.0000,0.1856,,
"D7","W01241177051",1,35,,0.6346,0.0136,1308,,0.0000,0.0000,0.1683,,
"D7","W01241177051",2,5000,,0.0052,0.0158,2283,,0.0000,0.0000,0.1683,,
"D8","W01241177052",1,35,,0.6346,0.0136,1544,,0.0000,0.0000,0.1999,,
"D8","W01241177052",2,5000,,0.0047,0.0143,2366,,0.0000,0.0000,0.1999,,
"D9","W01241177053",1,35,,0.6346,0.0136,1418,,0.0000,0.0000,0.1489,,
"D9","W01241177053",2,5000,,0.0049,0.0149,2358,,0.0000,0.0000,0.1489,,
"D10","W01241177054",1,35,,0.6346,0.0136,1175,,0.0000,0.0000,0.1875,,
"D10","W01241177054",2,5000,,0.0045,0.0138,1949,,0.0000,0.0000,0.1875,,
"D11","W01241177055",1,35,,0.6532,0.0136,1575,,0.0000,0.0000,0.2104,,
"D11","W01241177055",2,5000,,0.0052,0.0157,2699,,0.0000,0.0000,0.2104,,
"D12","W14241177107",1,35,,0.6346,0.0136,1471,,0.0000,0.0000,0.1725,,
"D12","W14241177107",2,5000,,0.0051,0.0157,2554,,0.0000,0.0000,0.1725,,
"E1","W01241177108",1,35,,0.6532,0.0136,1598,,0.0000,0.0000,0.0648,,
"E1","W01241177108",2,5000,,0.0053,0.0162,2900,,0.0000,0.0000,0.0648,,
"E2","W01241177111",1,35,,0.6346,0.0136,1664,,2.1645,12.4488,2.2796,,
"E2","W01241177111",2,263,100.0,12.4488,2.1645,17658,,2.1645,12.4488,2.2796,,
"E2","W01241177111",3,5000,,0.0033,0.0101,2330,,2.1645,12.4488,2.2796,,
"E3","W01241177112",1,35,,0.6346,0.0136,1730,,0.5512,3.9408,0.5658,,
"E3","W01241177112",2,164,46.8,2.4363,0.2579,2604,,0.5512,3.9408,0.5658,,
"E3","W01241177112",3,271,13.3,0.4707,0.0735,1483,,0.5512,3.9408,0.5658,,
"E3","W01241177112",4,307,24.2,0.6848,0.1332,1854,,0.5512,3.9408,0.5658,,
"E3","W01241177112",5,375,15.7,0.3491,0.0866,1472,,0.5512,3.9408,0.5658,,
"E3","W01241177112",6,5000,,0.0031,0.0095,2201,,0.5512,3.9408,0.5658,,
"E4","W01241177113",1,35,,0.6006,0.0136,1526,,1.2608,7.0066,1.2728,,
"E4","W01241177113",2,271,100.0,7.0066,1.2608,9259,,1.2608,7.0066,1.2728,,
"E4","W01241177113",3,5000,,0.0036,0.0110,2549,,1.2608,7.0066,1.2728,,
"E5","W01241177114",1,35,,0.6006,0.0136,728,,0.7266,3.7396,0.7933,,
"E5","W01241177114",2,323,62.4,2.7009,0.4532,1556,,0.7266,3.7396,0.7933,,
"E5","W01241177114",3,380,37.6,1.0387,0.2733,2883,,0.7266,3.7396,0.7933,,
"E5","W01241177114",4,5000,,0.0040,0.0121,1194,,0.7266,3.7396,0.7933,,
"E6","W01241177115",1,35,,0.6006,0.0136,1287,,3.4060,13.7566,3.6042,,
"E6","W01241177115",2,314,1.1,0.2091,0.0391,1752,,3.4060,13.7566,3.6042,,
"E6","W01241177115",3,350,5.8,0.9301,0.1967,8161,,3.4060,13.7566,3.6042,,
"E6","W01241177115",4,387,90.6,12.5734,3.0874,62830,,3.4060,13.7566,3.6042,,
"E6","W01241177115",5,3001,2.4,0.0440,0.0827,1200,,3.4060,13.7566,3.6042,,
"E6","W01241177115",6,5000,,0.0064,0.0193,2768,,3.4060,13.7566,3.6042,,
"E7","W14241177117",1,35,,0.6346,0.0136,1513,,0.2674,1.9804,0.8035,,
"E7","W14241177117",2,188,100.0,1.9804,0.2674,3089,,0.2674,1.9804,0.8035,,
"E7","W14241177117",3,5000,,0.0042,0.0126,2370,,0.2674,1.9804,0.8035,,
"E8","W14241177118",1,35,,0.6937,0.0136,1508,,0.0000,0.0000,0.1481,,
"E8","W14241177118",2,5000,,0.0033,0.0101,2426,,0.0000,0.0000,0.1481,,
"E9","W14241177001",1,35,,0.6171,0.0136,1277,,0.0000,0.0000,0.5144,,
"E9","W14241177001",2,5000,,0.0041,0.0124,1893,,0.0000,0.0000,0.5144,,
"E10","W01241177139",1,35,,0.7395,0.0136,1887,,0.0000,0.0000,0.1949,,
"E10","W01241177139",2,5000,,0.0021,0.0064,2111,,0.0000,0.0000,0.1949,,
"E11","W14241174645",1,35,,0.6728,0.0136,3994,,0.0000,0.0000,0.0337,,
"E11","W14241174645",2,5000,,0.0013,0.0038,2128,,0.0000,0.0000,0.0337,,
"E12","W14241174656",1,35,,0.6346,0.0136,1341,,0.0000,0.0000,0.0923,,
"E12","W14241174656",2,5000,,0.0034,0.0103,1779,,0.0000,0.0000,0.0923,,
"F1","W01241174753",1,35,,0.6171,0.0136,1841,,0.2605,2.1047,1.5925,,
"F1","W01241174753",2,170,38.6,1.0724,0.1005,3215,,0.2605,2.1047,1.5925,,
"F1","W01241174753",3,249,61.4,1.0322,0.1600,6052,,0.2605,2.1047,1.5925,,
"F1","W01241174753",4,5000,,0.0038,0.0117,2972,,0.2605,2.1047,1.5925,,
"F2","W01241174754",1,35,,0.6171,0.0136,1997,,0.0000,0.0000,0.7851,,
"F2","W01241174754",2,5000,,0.0036,0.0108,2846,,0.0000,0.0000,0.7851,,
"F3","W14241175957",1,35,,0.6346,0.0136,1523,,1.3385,5.4513,1.3786,,
"F3","W14241175957",2,371,100.0,5.4513,1.3385,6180,,1.3385,5.4513,1.3786,,
"F3","W14241175957",3,5000,,0.0046,0.0140,2310,,1.3385,5.4513,1.3786,,
"F4:","",1,35,,0.6346,0.0136,1584,,0.0000,0.0000,0.0017,,
"F4:","",2,5000,,0.0053,0.0163,2581,,0.0000,0.0000,0.0017,,
"F5:","",1,35,,0.6532,0.0136,1597,,0.0000,0.0000,0.0143,,
"F5:","",2,5000,,0.0047,0.0144,2526,,0.0000,0.0000,0.0143,,
"F6:","",1,35,,0.6346,0.0136,1228,,0.0000,0.0000,0.0131,,
"F6:","",2,5000,,0.0041,0.0123,1631,,0.0000,0.0000,0.0131,,
"F7:","",1,35,,0.6346,0.0136,1435,,0.0000,0.0000,0.0172,,
"F7:","",2,5000,,0.0044,0.0134,2195,,0.0000,0.0000,0.0172,,
"F8:","",1,35,,0.6346,0.0136,1650,,0.0000,0.0000,0.0072,,
"F8:","",2,5000,,0.0049,0.0148,2644,,0.0000,0.0000,0.0072,,
"F9:","",1,35,,0.6532,0.0136,1190,,0.0000,0.0000,0.0052,,
"F9:","",2,5000,,0.0039,0.0119,1750,,0.0000,0.0000,0.0052,,
"F10:","",1,35,,0.6346,0.0136,1625,,0.0000,0.0000,0.0317,,
"F10:","",2,5000,,0.0047,0.0143,2461,,0.0000,0.0000,0.0317,,
"F11:","",1,35,,0.4944,0.0136,720,,0.0000,0.0000,0.0467,,
"F11:","",2,5000,,0.0020,0.0060,793,,0.0000,0.0000,0.0467,,
"F12:","",1,35,,0.6346,0.0136,1404,,0.0000,0.0000,0.0054,,
"F12:","",2,5000,,0.0045,0.0137,2175,,0.0000,0.0000,0.0054,,
"G1:","",1,35,,0.6346,0.0136,1275,,0.0000,0.0000,0.0000,,
"G1:","",2,5000,,0.0042,0.0127,1933,,0.0000,0.0000,0.0000,,
"G2:","",1,35,,0.6346,0.0136,1718,,0.0000,0.0000,0.0052,,
"G2:","",2,5000,,0.0049,0.0149,2953,,0.0000,0.0000,0.0052,,
"G3:","",1,35,,0.6532,0.0136,1705,,0.0000,0.0000,0.0209,,
"G3:","",2,5000,,0.0053,0.0162,2969,,0.0000,0.0000,0.0209,,
"G4:","",1,35,,0.6346,0.0136,1439,,0.0000,0.0000,0.0037,,
"G4:","",2,5000,,0.0048,0.0146,2263,,0.0000,0.0000,0.0037,,
"G5:","",1,35,,0.6346,0.0136,1651,,0.0000,0.0000,0.0027,,
"G5:","",2,5000,,0.0046,0.0141,2837,,0.0000,0.0000,0.0027,,
"G6:","",1,35,,0.6346,0.0136,1781,,0.0000,0.0000,0.0052,,
"G6:","",2,5000,,0.0055,0.0168,3405,,0.0000,0.0000,0.0052,,
"G7:","",1,35,,0.6346,0.0136,1195,,0.0000,0.0000,0.0061,,
"G7:","",2,5000,,0.0040,0.0120,1601,,0.0000,0.0000,0.0061,,
"G8:","",1,35,,0.6346,0.0136,1704,,0.0000,0.0000,0.0050,,
"G8:","",2,5000,,0.0045,0.0138,2658,,0.0000,0.0000,0.0050,,
"G9:","",1,35,,0.6346,0.0136,1850,,0.0000,0.0000,0.0052,,
"G9:","",2,5000,,0.0043,0.0131,2468,,0.0000,0.0000,0.0052,,
"G10:","",1,35,,0.6532,0.0136,1696,,0.0000,0.0000,0.0041,,
"G10:","",2,5000,,0.0051,0.0155,2958,,0.0000,0.0000,0.0041,,
"G11:","",1,35,,0.6346,0.0136,1674,,0.0000,0.0000,0.0033,,
"G11:","",2,5000,,0.0044,0.0135,2502,,0.0000,0.0000,0.0033,,
"G12:","",1,35,,0.6346,0.0136,1667,,0.0000,0.0000,0.0049,,
"G12:","",2,5000,,0.0043,0.0131,2479,,0.0000,0.0000,0.0049,,
"H1:","",1,35,,0.6346,0.0136,1655,,0.0000,0.0000,0.0038,,
"H1:","",2,5000,,0.0049,0.0150,2697,,0.0000,0.0000,0.0038,,
"H2:","",1,35,,0.6532,0.0136,1379,,0.0000,0.0000,0.0069,,
"H2:","",2,5000,,0.0048,0.0147,2391,,0.0000,0.0000,0.0069,,
"H3:","",1,35,,0.6346,0.0136,1697,,0.0000,0.0000,0.0043,,
"H3:","",2,5000,,0.0054,0.0165,3208,,0.0000,0.0000,0.0043,,
"H4:","",1,35,,0.6346,0.0136,1658,,0.0000,0.0000,0.0058,,
"H4:","",2,5000,,0.0052,0.0158,3105,,0.0000,0.0000,0.0058,,
"H5:","",1,35,,0.6346,0.0136,1558,,0.0000,0.0000,0.0057,,
"H5:","",2,5000,,0.0048,0.0147,2436,,0.0000,0.0000,0.0057,,
"H6:","",1,35,,0.6346,0.0136,1427,,0.0000,0.0000,0.0047,,
"H6:","",2,5000,,0.0043,0.0130,1893,,0.0000,0.0000,0.0047,,
"H7:","",1,35,,0.6346,0.0136,1160,,0.0000,0.0000,0.0020,,
"H7:","",2,5000,,0.0034,0.0103,1500,,0.0000,0.0000,0.0020,,
"H8:","",1,35,,0.6532,0.0136,1691,,0.0000,0.0000,0.0045,,
"H8:","",2,5000,,0.0052,0.0158,2982,,0.0000,0.0000,0.0045,,
"H9:","",1,35,,0.6532,0.0136,1598,,0.0000,0.0000,0.0028,,
"H9:","",2,5000,,0.0046,0.0140,2489,,0.0000,0.0000,0.0028,,
"H10:","",1,35,,0.6346,0.0136,1560,,0.0000,0.0000,0.0034,,
"H10:","",2,5000,,0.0049,0.0149,2578,,0.0000,0.0000,0.0034,,
"H11:","",1,35,,0.6532,0.0136,1515,,0.0000,0.0000,0.0031,,
"H11:","",2,5000,,0.0051,0.0155,2718,,0.0000,0.0000,0.0031,,
"H12:","",1,35,,0.6171,0.0136,1598,,2.0380,7.1297,2.0816,,
"H12:","",2,100,5.2,1.7538,0.1057,18470,,2.0380,7.1297,2.0816,,
"H12:","",3,200,6.2,1.0258,0.1254,24109,,2.0380,7.1297,2.0816,,
"H12:","",4,300,6.5,0.7208,0.1319,25486,,2.0380,7.1297,2.0816,,
"H12:","",5,400,6.7,0.5578,0.1360,24657,,2.0380,7.1297,2.0816,,
"H12:","",6,500,16.1,1.0809,0.3291,51302,,2.0380,7.1297,2.0816,,
"H12:","",7,600,5.8,0.3229,0.1174,16940,,2.0380,7.1297,2.0816,,
"H12:","",8,700,5.6,0.2685,0.1140,17254,,2.0380,7.1297,2.0816,,
"H12:","",9,800,5.8,0.2427,0.1177,18287,,2.0380,7.1297,2.0816,,
"H12:","",10,900,5.8,0.2176,0.1189,19994,,2.0380,7.1297,2.0816,,
"H12:","",11,1000,15.0,0.5014,0.3058,50468,,2.0380,7.1297,2.0816,,
"H12:","",12,1200,6.2,0.1741,0.1272,22829,,2.0380,7.1297,2.0816,,
"H12:","",13,1500,6.1,0.1343,0.1238,19143,,2.0380,7.1297,2.0816,,
"H12:","",14,2000,5.2,0.0856,0.1054,20401,,2.0380,7.1297,2.0816,,
"H12:","",15,3000,3.9,0.0435,0.0797,15582,,2.0380,7.1297,2.0816,,
"H12:","",16,5000,,0.0041,0.0125,2305,,2.0380,7.1297,2.0816,,
