Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),,
"A1","W01241176960",1,35,,0.6171,0.0136,1714,,0.0000,0.0000,0.3216,,
"A1","W01241176960",2,5000,,0.0037,0.0113,2574,,0.0000,0.0000,0.3216,,
"A2","W01241176961",1,35,,0.6532,0.0136,1608,,0.0597,0.1368,0.3397,,
"A2","W01241176961",2,733,100.0,0.1368,0.0597,1704,,0.0597,0.1368,0.3397,,
"A2","W01241176961",3,5000,,0.0037,0.0114,2575,,0.0597,0.1368,0.3397,,
"A3","W01241176962",1,35,,0.6006,0.0136,1410,,0.0000,0.0000,0.3415,,
"A3","W01241176962",2,5000,,0.0025,0.0075,1627,,0.0000,0.0000,0.3415,,
"A4","W01241176963",1,35,,0.6532,0.0136,1890,,0.0494,0.1130,0.3577,,
"A4","W01241176963",2,740,100.0,0.1130,0.0494,2112,,0.0494,0.1130,0.3577,,
"A4","W01241176963",3,5000,,0.0032,0.0096,2793,,0.0494,0.1130,0.3577,,
"A5","W01241176964",1,35,,0.6346,0.0136,1816,,0.0000,0.0000,0.0138,,
"A5","W01241176964",2,5000,,0.0043,0.0130,2530,,0.0000,0.0000,0.0138,,
"A6","W01241176965",1,35,,0.6532,0.0136,1715,,0.0765,0.1614,0.3250,,
"A6","W01241176965",2,735,53.8,0.0940,0.0411,1899,,0.0765,0.1614,0.3250,,
"A6","W01241176965",3,831,46.2,0.0674,0.0353,1654,,0.0765,0.1614,0.3250,,
"A6","W01241176965",4,5000,,0.0035,0.0106,2537,,0.0765,0.1614,0.3250,,
"A7","W01241176966",1,35,,0.6532,0.0136,1378,,0.0000,0.0000,0.1877,,
"A7","W01241176966",2,5000,,0.0045,0.0136,2164,,0.0000,0.0000,0.1877,,
"A8","W01241176967",1,35,,0.6346,0.0136,1205,,0.0000,0.0000,0.3185,,
"A8","W01241176967",2,5000,,0.0040,0.0121,1789,,0.0000,0.0000,0.3185,,
"A9","W01241176968",1,35,,0.6532,0.0136,1861,,0.0384,0.0860,0.2688,,
"A9","W01241176968",2,742,100.0,0.0860,0.0384,1739,,0.0384,0.0860,0.2688,,
"A9","W01241176968",3,5000,,0.0036,0.0109,3006,,0.0384,0.0860,0.2688,,
"A10","W01241176969",1,35,,0.6346,0.0136,600,,0.0494,1.7206,1.9726,,
"A10","W01241176969",2,45,100.0,1.7206,0.0494,1582,,0.0494,1.7206,1.9726,,
"A10","W01241176969",3,5000,,0.0118,0.0358,2182,,0.0494,1.7206,1.9726,,
"A11","W01241176970",1,35,,0.6346,0.0136,1814,,0.0000,0.0000,0.4350,,
"A11","W01241176970",2,5000,,0.0032,0.0098,2635,,0.0000,0.0000,0.4350,,
"A12","W01241176971",1,35,,0.6346,0.0136,1958,,0.2139,0.7400,0.3266,,
"A12","W01241176971",2,450,74.8,0.6198,0.1601,2892,,0.2139,0.7400,0.3266,,
"A12","W01241176971",3,693,25.2,0.1202,0.0538,1408,,0.2139,0.7400,0.3266,,
"A12","W01241176971",4,5000,,0.0036,0.0110,3014,,0.2139,0.7400,0.3266,,
"B1","W01241176972",1,35,,0.6171,0.0136,1793,,0.2010,0.7108,0.3785,,
"B1","W01241176972",2,452,79.9,0.6128,0.1605,2361,,0.2010,0.7108,0.3785,,
"B1","W01241176972",3,697,20.1,0.0980,0.0405,1691,,0.2010,0.7108,0.3785,,
"B1","W01241176972",4,5000,,0.0032,0.0097,2518,,0.2010,0.7108,0.3785,,
"B2","W01241176973",1,35,,0.6346,0.0136,1599,,0.3293,1.1613,0.3395,,
"B2","W01241176973",2,450,60.3,0.8166,0.1985,2590,,0.3293,1.1613,0.3395,,
"B2","W01241176973",3,514,22.8,0.2215,0.0750,1249,,0.3293,1.1613,0.3395,,
"B2","W01241176973",4,700,16.9,0.1231,0.0558,1272,,0.3293,1.1613,0.3395,,
"B2","W01241176973",5,5000,,0.0024,0.0073,1837,,0.3293,1.1613,0.3395,,
"B3","W01241176974",1,35,,0.6171,0.0136,1795,,0.1023,0.3668,0.4587,,
