Ladder Size (bp),Time (sec)
35,1117
100,1183
200,1311
300,1441
400,1557
500,1674
600,1762
700,1837
800,1884
900,1924
1000,1949
1200,1989
1500,2021
2000,2073
3000,2130
5000,2219
