Ladder Size (bp),Time (sec)
35,1182
100,1251
200,1385
300,1524
400,1652
500,1776
600,1872
700,1948
800,2000
900,2043
1000,2071
1200,2111
1500,2146
2000,2197
3000,2259
5000,2343
