Ladder Size (bp),Time (sec)
35,1072
100,1128
200,1241
300,1359
400,1466
500,1574
600,1655
700,1725
800,1773
900,1812
1000,1838
1200,1876
1500,1908
2000,1956
3000,2011
5000,2085
