Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),,
"A1","W14241174685",1,35,,3.4228,0.0733,9814,,0.0000,0.0000,0.3624,,
"A1","W14241174685",2,5000,,0.0235,0.0716,14956,,0.0000,0.0000,0.3624,,
"A2","W14241174686",1,35,,3.7411,0.0733,531,,0.9017,26.3882,1.8097,,
"A2","W14241174686",2,48,100.0,26.3882,0.9017,8406,,0.9017,26.3882,1.8097,,
"A2","W14241174686",3,5000,,0.2586,0.7855,14101,,0.9017,26.3882,1.8097,,
"A3","W01241174741",1,35,,3.4228,0.0733,8348,,0.0000,0.0000,0.1867,,
"A3","W01241174741",2,5000,,0.0322,0.0985,14063,,0.0000,0.0000,0.1867,,
"A4","W01241174742",1,35,,3.4228,0.0733,9356,,0.0000,0.0000,0.1060,,
"A4","W01241174742",2,5000,,0.0325,0.0992,15818,,0.0000,0.0000,0.1060,,
"A5","W01241174743",1,35,,3.4228,0.0733,9284,,0.0000,0.0000,0.2543,,
"A5","W01241174743",2,5000,,0.0314,0.0965,14074,,0.0000,0.0000,0.2543,,
"A6","W01241174744",1,35,,3.5227,0.0733,9775,,0.0000,0.0000,0.2130,,
"A6","W01241174744",2,5000,,0.0323,0.0987,16074,,0.0000,0.0000,0.2130,,
"A7","W01241174745",1,35,,3.5227,0.0733,9852,,0.1118,0.0619,0.4706,,
"A7","W01241174745",2,2889,100.0,0.0619,0.1118,17219,,0.1118,0.0619,0.4706,,
"A7","W01241174745",3,5000,,0.0024,0.0073,2271,,0.1118,0.0619,0.4706,,
"A8","W01241174746",1,35,,3.5227,0.0733,9715,,0.0000,0.0000,0.2698,,
"A8","W01241174746",2,5000,,0.0313,0.0953,15367,,0.0000,0.0000,0.2698,,
"A9","W01241174747",1,35,,3.5227,0.0733,7043,,0.0000,0.0000,0.0000,,
"A9","W01241174747",2,5000,,0.0628,0.1913,12738,,0.0000,0.0000,0.0000,,
"A10","W01241174748",1,35,,3.3284,0.0733,3203,,0.0000,0.0000,0.4866,,
"A10","W01241174748",2,5000,,0.0139,0.0429,1981,,0.0000,0.0000,0.4866,,
"A11","W01241174749",1,35,,3.5227,0.0733,9579,,0.0000,0.0000,0.1863,,
"A11","W01241174749",2,5000,,0.0308,0.0935,15812,,0.0000,0.0000,0.1863,,
"A12","W01241174750",1,35,,3.5227,0.0733,10870,,0.0000,0.0000,0.2997,,
