Well,Sample ID,500 bp Fragment 500 +/- 10 bp
A1,W14241174685,0
A2,W14241174686,0
A3,W01241174741,0
A4,W01241174742,0
A5,W01241174743,0
A6,W01241174744,0
A7,W01241174745,0
A8,W01241174746,0
A9,W01241174747,0
A10,W01241174748,0
A11,W01241174749,0
A12,W01241174750,0
B1,W01241174751,0
B2,W01241174752,0
B3,W01241174753,0
B4,W01241174754,0
B5,W01241174755,0
B6,W01241174756,0
B7,W01241174758,0
B8,W01241174759,0
B9,W01241174760,0
B10,W01241174761,0
B11,W01241174762,0
B12,W01241174763,0
C1,W01241174764,0
C2,W01241174765,0
C3,W01241174766,0
C4,W01241174767,0
C5,W01241174768,0
C6,W01241174769,0
C7,W01241174770,0
C8,W14241174898,0
C9,W14241174899,0
C10,W14241174900,0
C11,W14241174901,0
C12,W14241174925,0
D1,W14241174926,0
D2,W14241174927,0
D3,W14241174928,0
D4,W14241174929,0
D5,W14241174930,0
D6,W14241174931,0
D7,W14241174932,0
D8,W14241174933,0
D9,W14241174934,0
D10,W14241174935,0
D11,W14241174936,0
D12,W08241174937,0
E1,W08241174938,0
E2,W14241174911,0
E3,W14241174912,0
E4,W14241174913,0
E5,W14241174914,0
E6,W14241174915,0
E7,W14241174916,0
E8,W14241175068,0
E9,W14241175069,0
E10,W14241175070,0
E11,W14241175071,0
E12,W14241175072,0
F1,W14241175073,0
F2,W14241175074,0
F3,W14241175075,0
F4,W14241175076,0
F5,W14241175077,0
F6,W14241175078,0
F7,W14241175079,0
F8,W14241175080,0
F9,W14241175081,0
F10,W14241175082,1
F11,W14241175083,0
F12,W14241175084,0
G1,W14241175085,0
G2,W01241175086,0
G3,W01241175103,0
G4,W14241175225,0
G5,W14241175226,0
G6,W14241175227,0
G7,W14241175228,0
G8,W14241175229,0
G9,W14241175230,0
G10,W14241175231,0
G11,W14241175232,0
G12,W14241175233,0
H1,W14241175234,0
H2,W14241175244,0
H3:,,0
H4:,,0
H5:,,0
H6:,,0
H7:,,0
H8:,,0
H9:,,0
H10:,,0
H11:,,1
H12:,,1
