Size (nt),"A1: TR241116654","A2: TR241116655","A3: TR241116656","A4: TR241116657","A5: TR241116658","A6: TR241116659","A7: TR241116702","A8: TR241116703","A9: TR241116704","A10: TR241116705","A11: TR241116706","A12: TR241116707","B1: TR241116660","B2: TR241116661","B3: TR241116662","B4: TR241116663","B5: TR241116664","B6: TR241116665","B7: TR241116709","B8: TR241116710","B9: TR241116712","B10: TR241116713","B11: TR241116715","B12: TR241116716","C1: TR241116666","C2: TR241116667","C3: TR241116668","C4: TR241116669","C5: TR241116670","C6: TR241116671","C7: TR241116718","C8: TR241116719","C9: TR241116721","C10: TR241116722","C11: TR241116724","C12: TR241116725","D1: TR241116672","D2: TR241116673","D3: TR241116674","D4: TR241116675","D5: TR241116676","D6: TR241116677","D7: TR241116727","D8: TR241116728","D9: TR241116730","D10: TR241116731","D11: TR241116733","D12: TR241116734","E1: TR241116678","E2: TR241116679","E3: TR241116680","E4: TR241116681","E5: TR241116682","E6: TR241116683","E7: TR241116708","E8: TR241116711","E9: TR241116714","E10: TR241116717","E11: TR241116720","E12: TR241116723","F1: TR241116684","F2: TR241116685","F3: TR241116686","F4: TR241116687","F5: TR241116688","F6: TR241116689","F7: TR241116726","F8: TR241116729","F9: TR241116732","F10: R241117373","F11: R241117374","F12: R241117375","G1: TR241116690","G2: TR241116691","G3: TR241116692","G4: TR241116693","G5: TR241116694","G6: TR241116695","G7: R241117383","G8: R241117388","G9: R241117398","G10: R241117430","G11: R241117431","G12: TR241117931","H1: TR241116696","H2: TR241116697","H3: TR241116698","H4: TR241116699","H5: TR241116700","H6: TR241116701","H7: TR241117932","H8: TR241117933","H9: TR241117934","H10: TR241117935","H11: TR241117936","H12:"
91.47,53.46,148.48,617.20,221.39,406.27,225.04,25.39,12.55,46.65,41.96,12.52,12.20,992.63,392.34,615.15,66.44,96.91,69.63,223.32,372.62,296.49,268.42,126.60,186.49,64.17,20.10,46.28,0.00,2.16,0.00,149.87,120.53,98.50,87.85,128.17,181.80,0.00,0.00,0.00,0.00,0.00,0.00,53.83,28.00,18.55,24.17,6.43,11.37,0.00,0.00,0.00,483.18,57.66,56.62,226.18,385.06,253.45,102.42,80.26,195.54,208.03,48.39,70.34,120.78,137.59,431.44,52.90,14.51,40.46,0.00,5.62,5.50,463.24,545.54,454.57,481.24,363.09,220.79,8.90,0.00,2.52,34.81,24.32,0.00,28.30,0.00,43.53,2.69,4.07,0.00,0.00,0.00,0.00,0.00,0.00,43.95
92.19,34.87,119.87,589.83,202.83,385.79,208.10,24.70,11.81,45.04,40.73,11.62,11.09,965.02,376.12,595.52,52.04,82.83,57.38,212.51,332.92,265.86,231.38,111.74,166.70,54.15,16.90,36.54,0.00,1.49,0.00,133.26,103.31,79.83,70.41,93.51,142.71,0.00,0.00,0.00,0.00,0.00,0.00,47.19,22.62,16.37,19.70,5.78,9.96,0.00,0.00,0.00,470.80,55.14,50.50,196.36,366.40,242.12,82.24,64.76,180.59,198.10,43.77,58.28,113.94,127.11,419.21,48.54,12.34,35.75,0.00,5.74,5.91,451.01,538.41,444.65,474.31,359.06,215.42,9.80,0.00,2.63,34.76,24.74,0.00,22.91,0.00,35.31,2.04,3.41,0.00,0.00,0.00,0.00,0.00,0.00,46.15
92.91,20.93,98.76,564.74,191.83,370.18,195.76,24.12,10.81,43.27,39.27,10.75,10.08,940.50,364.30,581.04,41.06,75.10,48.49,195.09,306.13,246.59,205.11,103.10,153.48,45.89,14.30,28.80,0.00,1.18,0.00,121.08,90.20,66.05,56.59,62.71,105.29,0.00,0.00,0.00,0.00,-12.12,0.00,41.48,16.75,14.25,15.29,4.41,8.61,0.00,0.00,0.00,460.24,50.88,45.81,173.29,360.14,238.44,68.63,52.03,151.74,189.43,40.20,53.77,107.55,122.82,414.13,42.04,9.94,33.70,0.05,6.17,6.39,439.46,531.20,435.85,467.28,355.50,213.23,10.65,0.00,2.95,34.62,24.88,0.00,17.45,0.00,25.75,1.64,2.78,0.00,0.00,0.00,0.00,0.00,0.00,47.85
93.62,12.64,87.20,543.75,188.15,360.35,188.42,23.68,9.76,41.44,37.82,10.02,9.34,918.78,357.29,571.59,34.36,73.18,43.53,183.25,292.35,238.30,190.42,101.69,146.61,40.39,12.61,23.94,0.00,0.88,0.00,113.88,82.22,58.09,47.79,40.40,76.08,0.00,0.00,0.00,0.00,0.00,0.00,37.20,11.63,12.47,11.70,3.16,7.38,0.00,0.00,0.00,452.01,47.76,42.59,158.90,353.87,234.77,62.00,43.46,128.77,182.35,37.67,49.26,101.88,118.53,409.06,35.31,7.88,31.65,0.85,6.80,6.95,429.23,524.04,428.40,460.72,352.18,211.04,11.51,0.00,3.40,34.81,25.02,0.00,12.96,0.00,17.17,1.56,2.36,0.00,0.00,0.00,0.00,0.00,0.00,49.17
94.34,9.47,84.82,527.77,190.57,355.94,185.64,23.36,8.95,39.72,36.62,9.46,8.89,899.45,354.24,566.03,31.55,75.33,41.81,176.47,289.10,238.68,185.28,100.29,144.44,37.81,11.83,21.93,0.00,0.40,0.00,112.26,79.09,55.56,43.92,26.89,56.85,-14.92,0.00,0.00,0.00,0.00,0.00,34.19,7.89,11.09,10.38,2.13,6.29,0.00,0.00,0.00,445.91,45.71,41.60,152.68,346.98,231.22,61.44,39.00,112.93,176.70,36.84,43.51,97.11,112.19,401.45,29.76,6.50,28.43,1.43,7.50,7.64,420.53,517.03,425.12,454.85,348.87,207.86,12.51,0.00,3.86,35.61,25.19,0.00,9.85,0.00,10.87,1.78,2.20,0.00,0.00,0.00,0.00,0.00,0.00,50.24
95.06,10.01,89.27,516.56,197.03,355.63,186.24,23.16,8.56,38.23,35.78,9.06,8.61,881.91,353.63,562.65,31.47,79.47,42.10,173.11,292.21,244.23,185.91,101.93,144.76,37.62,11.74,22.09,0.00,0.07,0.00,110.65,79.52,56.99,43.74,19.92,45.91,0.00,0.00,0.00,0.00,0.00,0.00,32.05,5.58,10.05,9.07,1.31,5.31,0.00,0.00,0.00,441.52,44.39,40.62,152.26,343.86,230.31,65.05,37.62,103.00,172.12,36.02,40.38,93.23,107.80,395.81,25.94,5.85,26.05,2.01,8.18,8.49,413.16,510.15,421.84,449.62,345.45,205.63,13.73,0.00,4.22,37.08,25.41,0.00,8.02,0.00,6.97,2.13,2.25,0.00,0.00,0.00,0.00,0.00,0.00,51.08
95.78,12.79,97.24,508.79,205.01,357.50,188.69,23.09,8.63,36.97,35.32,8.78,8.32,865.34,353.92,559.58,32.80,83.80,43.23,171.43,297.38,251.39,188.33,106.08,145.71,38.93,12.13,23.51,0.00,0.00,-33.74,109.81,81.86,60.45,45.66,16.76,40.42,0.00,-8.06,0.00,0.00,0.00,-23.88,31.21,4.39,9.61,7.22,0.70,4.48,0.00,0.00,0.00,438.38,43.44,39.55,154.62,342.36,230.56,70.62,38.02,96.90,168.31,35.09,38.93,90.10,104.75,391.16,23.76,5.70,24.37,3.46,8.83,9.58,406.64,503.29,415.61,444.88,342.01,203.97,15.19,3.73,4.42,39.04,25.79,0.00,7.13,0.00,4.86,2.40,2.41,0.00,0.00,0.00,0.00,0.00,0.00,51.61
96.50,16.52,105.54,502.44,212.08,359.50,191.42,23.07,9.10,35.80,35.17,8.48,7.95,848.82,353.98,555.33,34.62,87.34,44.50,170.22,301.50,257.71,189.86,110.78,145.96,40.92,12.84,25.45,0.00,0.00,0.00,110.05,84.57,64.21,48.26,15.40,37.91,0.00,0.00,0.00,0.00,0.00,0.00,30.38,3.92,9.18,5.91,0.29,3.83,-9.58,0.00,0.00,435.98,42.72,39.08,157.14,340.88,230.78,76.13,39.05,92.87,165.11,34.74,38.38,87.45,102.50,386.76,22.81,5.72,23.35,5.05,9.56,10.92,400.43,496.31,409.44,440.44,338.76,202.50,16.88,9.46,4.50,41.15,26.36,0.00,6.83,0.00,3.78,2.44,2.60,0.00,0.00,0.00,0.00,0.00,0.00,51.66
97.22,20.28,112.19,495.56,216.80,360.25,193.31,23.06,9.78,34.57,35.28,8.05,7.54,831.65,353.38,549.39,36.55,88.83,45.67,168.96,303.66,260.38,189.86,114.73,146.21,43.03,13.74,26.50,-17.21,0.00,0.00,110.60,86.66,67.31,50.69,14.77,36.82,0.00,0.00,0.00,0.00,0.00,0.00,28.94,3.79,8.41,5.02,0.11,3.33,0.00,0.00,0.00,433.83,42.31,38.95,158.47,338.84,230.39,80.39,40.04,89.79,162.40,34.80,38.35,85.05,100.78,382.33,22.65,5.64,23.00,6.62,10.55,12.54,394.12,489.13,403.35,436.11,337.31,200.96,18.78,15.29,4.52,43.11,27.05,0.00,6.84,0.00,3.24,2.24,2.68,0.00,0.00,0.00,1.37,0.00,0.00,51.12
97.94,23.79,117.17,487.20,219.56,359.80,194.20,22.95,10.49,33.21,35.57,7.44,7.20,813.60,352.69,542.89,38.83,90.33,46.98,167.80,305.52,263.05,189.85,117.81,146.17,45.08,14.71,27.55,0.00,0.00,0.00,111.31,88.08,69.96,52.91,14.50,36.30,0.00,0.00,0.00,0.00,0.00,0.00,27.62,3.84,7.74,4.45,0.15,2.89,0.00,0.00,0.00,431.59,42.30,39.01,159.07,336.83,229.63,83.68,40.90,87.06,160.01,35.02,38.72,82.80,99.49,378.00,22.85,5.34,23.24,8.14,11.92,14.42,387.51,481.76,397.51,431.68,335.85,199.24,20.91,20.17,4.51,44.74,27.81,0.00,6.95,0.00,2.99,1.95,2.75,0.00,0.00,0.00,3.32,0.00,1.61,50.08
98.66,27.64,122.76,478.00,222.86,359.87,195.22,22.64,11.13,31.87,35.98,6.75,7.04,795.10,353.49,538.43,42.14,94.27,49.06,167.37,310.55,270.03,189.76,121.40,146.25,47.39,15.75,29.91,0.00,0.00,0.00,112.50,89.77,73.55,55.63,14.41,35.94,0.00,0.00,0.00,0.00,0.00,0.00,26.41,4.07,7.24,4.03,0.35,2.44,0.00,0.00,0.00,429.29,42.75,39.25,161.15,336.39,229.46,87.98,42.02,84.48,157.81,35.20,39.50,80.75,98.70,374.14,23.11,4.90,23.89,9.69,13.65,16.47,380.60,474.30,392.11,427.01,333.26,197.41,23.17,23.24,4.46,46.07,28.67,0.00,7.01,0.00,2.90,1.76,2.83,0.00,0.00,1.88,5.33,1.36,3.76,48.90
99.37,33.25,132.74,469.78,230.36,363.07,198.40,22.14,11.69,30.79,36.40,6.18,7.09,776.99,357.67,538.93,47.33,101.44,50.89,168.40,316.49,283.10,192.23,127.84,147.56,50.68,16.36,33.02,0.00,0.00,0.00,114.75,93.34,80.08,60.04,14.38,35.76,0.00,0.00,0.00,0.00,0.00,0.00,25.33,4.53,6.94,3.61,0.57,1.99,0.00,0.00,0.00,427.18,43.59,39.77,167.79,339.30,231.24,96.33,43.98,82.04,155.85,35.22,40.72,79.04,98.51,371.15,23.21,4.48,24.80,11.32,15.49,18.49,373.50,466.92,387.32,424.57,330.81,195.69,25.26,24.07,4.37,47.31,29.67,0.00,6.98,0.00,2.88,1.79,2.84,0.00,-15.04,4.09,7.15,3.33,5.70,48.08
100.09,42.16,150.69,464.49,244.96,371.43,205.66,21.56,12.19,30.11,36.72,5.87,7.27,759.90,366.42,545.94,54.96,113.75,52.73,171.34,322.42,306.36,199.68,139.24,151.03,55.78,16.96,37.43,0.00,0.00,0.00,118.73,100.17,91.02,67.16,14.29,35.58,0.00,0.00,0.00,0.00,0.00,0.00,24.41,5.20,6.79,3.12,0.77,1.61,0.00,0.00,0.00,425.37,44.74,40.65,181.37,346.67,236.05,111.43,47.18,79.85,154.29,35.12,42.33,77.69,99.05,369.23,23.32,4.12,25.87,12.95,17.13,20.23,366.43,459.85,383.17,422.12,328.21,194.32,26.81,22.88,4.32,48.65,30.82,0.00,6.96,0.00,2.89,2.02,2.84,0.00,0.00,5.43,8.44,4.36,7.16,48.16
100.81,55.01,177.97,463.79,267.02,385.17,217.62,21.01,12.70,29.75,36.90,5.80,7.48,743.80,379.14,558.36,64.81,131.58,58.55,175.95,342.90,341.07,212.94,156.20,156.95,63.06,18.54,43.43,0.00,0.00,0.00,124.80,110.59,106.45,77.19,14.11,35.13,0.00,0.00,-16.42,-15.87,0.00,0.00,23.63,5.93,6.66,2.59,0.95,1.39,0.00,-7.54,0.00,424.47,46.05,41.82,202.14,358.06,244.07,134.06,51.62,77.98,153.25,35.00,44.16,76.61,100.25,368.25,23.55,3.76,27.11,14.38,18.36,21.47,359.65,453.31,379.57,417.10,325.26,193.42,27.20,20.40,4.42,50.27,32.12,0.00,6.82,0.00,2.92,2.33,2.89,0.00,0.00,5.89,9.04,4.60,8.09,49.45
101.53,70.83,212.40,463.09,293.74,402.19,232.94,20.55,13.24,29.44,36.92,5.83,7.64,728.00,393.36,565.46,75.71,153.13,66.38,181.29,370.49,384.29,230.59,177.12,164.66,71.98,20.55,50.59,0.00,0.00,0.00,132.65,117.03,124.68,89.18,13.92,34.58,0.00,0.00,0.00,0.00,0.00,0.00,22.93,6.52,6.47,2.10,1.22,1.36,0.00,0.00,0.00,423.58,47.35,43.04,227.51,371.33,254.26,162.26,56.86,76.37,152.65,34.88,45.93,75.63,101.74,367.72,23.89,3.35,28.57,15.48,19.25,22.20,353.38,447.33,376.26,412.07,321.85,192.86,27.59,17.70,4.82,52.26,33.60,0.00,6.67,0.00,2.96,2.60,3.07,0.00,0.00,5.78,9.05,4.54,8.68,51.89
102.25,87.11,248.52,464.94,320.09,418.76,248.65,20.08,13.79,28.98,36.81,5.78,7.73,711.58,405.58,572.56,85.83,174.86,75.19,186.04,400.60,429.47,249.33,198.66,172.71,81.08,22.81,57.83,0.00,0.00,0.00,141.20,123.47,142.85,101.30,13.79,33.91,0.00,0.00,0.00,0.00,0.00,0.00,22.23,6.84,6.14,1.67,1.64,1.49,0.00,0.00,0.00,421.22,48.43,44.03,252.71,383.31,264.63,191.78,62.07,74.91,152.19,34.79,47.31,74.57,102.95,366.97,24.36,2.90,30.34,16.44,20.13,22.70,347.65,441.63,372.90,407.04,318.03,192.39,27.88,15.97,5.63,54.81,35.44,0.00,6.62,0.00,3.03,2.76,3.43,0.00,0.00,5.75,8.91,4.82,9.35,55.05
102.97,100.79,279.59,467.98,340.87,430.95,261.41,19.53,14.32,28.32,36.63,5.58,7.78,694.01,412.80,583.89,93.35,192.89,83.39,189.03,427.22,468.84,265.31,217.11,179.37,88.53,24.87,63.82,0.00,0.00,0.00,148.79,136.66,158.00,111.52,13.68,33.15,0.00,0.00,0.00,0.00,0.00,0.00,21.43,6.83,5.70,1.28,2.14,1.69,0.00,0.00,0.00,417.79,49.12,44.55,272.49,391.00,272.93,217.65,64.19,73.48,151.86,34.68,48.07,73.35,103.38,365.33,24.91,2.71,32.42,17.84,21.65,23.60,344.97,435.75,369.09,401.99,313.93,191.70,28.55,16.44,7.06,58.27,37.92,0.00,6.76,0.00,3.16,2.81,3.96,0.00,0.00,6.80,9.24,6.17,10.65,58.28
103.69,109.61,300.21,469.53,352.70,436.14,268.88,18.89,14.76,27.59,36.50,5.28,7.85,675.42,413.76,588.61,95.29,204.51,89.46,189.59,445.37,496.27,275.57,229.74,183.25,93.01,26.29,67.54,0.00,0.00,0.00,153.85,147.84,168.28,118.41,13.52,32.37,0.00,0.00,0.00,0.00,0.00,0.00,20.50,6.57,5.16,0.90,2.55,1.90,0.00,0.00,0.00,413.21,49.39,44.61,283.15,392.72,277.49,236.02,66.31,72.07,151.54,34.52,48.18,71.97,102.85,362.33,25.47,2.52,34.74,20.76,24.78,25.99,342.29,429.37,364.50,396.94,309.74,190.53,31.01,20.58,9.47,60.80,41.53,0.00,7.10,0.00,3.44,2.81,4.65,0.00,0.00,10.36,10.87,9.55,13.33,60.97
104.41,112.97,308.30,467.33,354.97,433.77,270.45,18.25,15.07,26.94,36.54,5.01,8.01,656.40,409.17,585.16,97.23,209.19,92.57,187.75,452.83,509.30,279.09,235.64,183.80,94.24,26.87,68.84,0.00,0.00,0.00,155.53,155.41,173.54,121.66,13.40,31.71,0.00,0.00,0.00,0.00,0.00,0.00,19.49,6.21,4.55,0.56,2.71,2.07,0.00,0.00,0.00,407.94,49.38,44.37,283.76,388.59,277.82,245.48,68.82,70.76,150.54,34.32,47.87,70.53,101.61,357.99,25.94,2.37,37.09,26.76,31.09,31.42,336.99,422.55,359.02,391.97,305.66,188.77,36.96,25.40,13.37,63.33,47.00,1.49,7.57,0.00,3.94,2.81,5.45,0.00,0.00,18.47,14.82,16.50,18.62,62.67
105.12,112.00,305.29,460.36,349.46,425.25,267.00,17.75,15.32,26.46,36.81,4.89,8.29,637.63,401.14,574.19,97.66,208.39,92.89,184.20,450.50,509.39,276.82,235.62,181.32,93.04,26.83,68.32,0.00,0.00,0.00,154.08,158.92,175.16,122.18,13.27,31.34,0.00,0.00,0.00,0.00,0.00,0.00,18.62,6.10,3.90,0.28,2.57,2.24,0.00,0.00,0.00,402.85,49.40,44.09,279.93,380.21,274.64,247.26,69.42,69.69,149.24,34.25,47.59,69.25,100.23,352.84,26.30,2.46,39.24,37.88,42.73,41.93,331.46,415.69,352.93,387.21,302.00,186.61,48.36,30.23,19.23,71.00,55.34,10.86,8.14,0.00,4.74,2.88,6.39,0.00,16.44,33.76,22.50,29.22,28.52,63.28
105.84,108.76,295.02,449.12,339.13,412.99,260.22,17.57,15.65,26.21,37.37,4.99,8.69,619.44,392.11,557.73,95.89,204.59,91.42,180.01,441.46,500.67,270.99,231.58,176.78,90.81,26.65,67.05,0.00,0.00,0.00,150.64,159.04,175.28,121.67,13.05,31.39,0.00,0.00,0.00,0.00,0.00,0.00,18.22,5.98,3.31,0.11,2.24,2.48,0.00,0.00,0.00,398.94,49.90,44.09,276.10,369.87,269.42,244.33,68.61,69.08,147.87,34.66,47.88,68.49,99.39,347.87,26.56,2.72,41.08,56.45,62.08,59.77,325.67,409.34,346.93,382.86,299.24,184.62,67.03,47.24,27.36,82.54,67.64,28.26,8.83,0.49,6.03,3.15,7.61,0.00,43.46,58.60,35.58,50.06,45.41,62.99
106.56,105.37,281.90,435.13,326.88,399.49,251.89,17.97,16.25,26.25,38.25,5.29,8.95,601.69,383.99,538.29,93.68,200.19,89.59,176.43,429.47,487.90,263.99,225.67,171.49,88.83,26.84,66.08,0.00,0.00,0.00,146.82,157.16,175.78,121.81,13.06,31.98,0.00,0.00,0.00,0.00,0.00,0.00,18.63,6.10,2.95,0.15,1.85,2.71,0.00,0.00,0.00,397.17,51.44,44.76,263.41,359.74,263.71,239.88,67.51,69.15,146.75,36.11,49.29,68.58,99.76,344.24,26.87,3.00,42.73,84.20,90.60,73.17,319.97,406.72,341.96,379.22,297.94,183.62,94.04,72.21,37.65,99.04,84.67,55.75,9.75,2.08,7.07,3.77,9.35,-1.57,81.17,93.66,55.37,80.17,71.06,62.16
107.28,103.43,269.66,420.20,314.68,386.65,243.34,19.28,17.30,26.70,39.53,5.83,9.21,584.00,377.72,518.20,92.71,196.73,88.70,174.50,417.66,474.57,257.51,219.55,166.71,87.87,27.84,66.14,2.65,0.00,0.00,143.98,154.77,177.40,121.95,13.53,33.22,0.00,0.00,0.00,0.00,0.00,0.00,20.09,6.76,3.10,0.46,1.58,2.93,0.57,0.00,0.00,398.36,54.57,46.51,249.04,351.16,258.59,235.95,67.33,70.03,146.23,39.20,52.38,68.66,101.79,342.88,27.51,3.26,44.49,120.87,127.36,86.58,315.07,404.11,338.94,376.72,298.53,184.30,128.60,102.98,49.60,120.77,106.34,93.21,11.06,4.16,8.11,4.87,11.93,0.00,126.59,136.11,81.66,117.85,105.05,61.25
108.00,103.95,260.46,405.87,303.30,375.52,235.29,21.73,18.83,27.69,41.28,6.68,9.91,566.16,373.31,499.21,94.03,194.50,89.46,174.72,407.67,461.89,252.10,213.91,163.19,88.06,29.95,67.44,15.28,0.00,0.00,142.74,152.86,179.32,124.06,14.59,35.21,0.00,3.56,0.00,0.00,1.92,0.00,22.59,8.07,3.94,1.10,1.57,3.74,2.80,0.00,0.00,402.91,57.12,49.64,235.39,344.47,254.44,232.64,68.88,71.73,146.61,44.44,57.69,70.07,105.54,344.15,28.73,3.58,46.59,163.05,168.22,121.99,311.77,400.51,338.37,375.83,301.08,186.95,167.28,134.10,62.38,146.67,131.39,136.88,12.94,6.86,11.40,6.53,15.63,0.45,172.55,179.18,111.72,157.64,143.43,60.68
108.72,107.22,254.66,393.13,292.73,366.34,227.97,25.19,20.75,29.27,43.51,7.93,10.95,548.56,370.11,482.37,97.75,192.76,91.83,176.81,399.51,449.11,247.30,208.30,160.94,89.07,33.23,69.66,30.51,1.12,0.00,142.83,151.51,179.45,127.72,16.32,37.92,3.96,9.15,0.00,0.00,10.16,0.00,25.78,9.90,5.48,2.08,1.56,5.01,5.41,1.17,0.00,410.45,59.67,54.12,223.64,339.15,251.04,228.35,72.05,73.99,148.02,51.89,65.43,72.81,110.46,347.55,30.71,4.11,48.91,204.56,206.72,162.59,310.61,398.79,340.10,376.86,305.03,191.12,204.65,158.49,75.12,174.49,157.68,179.40,15.48,9.99,16.25,8.73,20.51,2.89,209.64,196.61,140.24,191.48,179.13,60.65
109.44,112.75,251.16,382.53,282.80,358.94,221.44,29.12,21.75,31.31,46.11,9.52,12.39,532.07,367.32,468.09,103.03,190.38,95.11,179.75,392.28,434.89,242.30,201.70,159.41,90.35,37.40,72.10,45.31,2.41,0.00,143.34,149.88,179.58,131.31,18.59,41.03,12.25,14.62,0.00,0.00,19.20,0.00,28.94,11.94,7.47,3.33,1.88,6.70,8.03,3.74,0.47,419.56,66.55,59.46,213.95,334.43,247.82,220.89,75.87,76.22,150.24,60.80,75.02,76.72,115.51,351.75,33.34,4.94,50.97,239.01,236.91,202.33,311.48,398.70,343.19,379.62,309.20,195.65,235.56,170.88,87.07,201.49,182.99,212.02,18.57,11.53,22.62,11.26,26.12,6.14,230.25,214.04,161.07,212.00,204.36,61.14
110.16,119.32,248.44,374.20,273.84,356.02,215.90,32.60,22.76,33.37,48.75,11.16,14.04,517.44,364.30,456.37,108.40,186.74,98.34,182.19,385.21,419.06,236.72,193.44,157.99,91.35,41.75,74.00,55.81,2.93,0.00,143.33,146.86,176.22,132.79,21.12,43.98,19.07,18.60,0.00,0.00,23.05,0.00,31.20,13.70,9.44,4.68,2.53,8.53,10.12,6.58,3.27,427.89,74.30,64.70,206.01,332.14,246.07,209.10,78.89,77.67,152.64,69.45,79.89,81.30,117.46,353.38,36.24,5.99,51.62,262.96,256.31,234.94,313.55,399.30,346.03,383.21,312.03,197.32,257.70,170.81,97.66,225.45,205.95,228.45,21.88,13.08,29.78,13.74,31.44,9.79,232.48,233.61,170.00,216.24,214.31,61.91
110.87,125.43,245.55,368.01,266.68,353.09,211.62,34.74,24.48,34.83,50.90,12.43,15.47,504.72,362.56,446.93,112.31,182.19,100.68,183.06,378.48,403.36,231.07,184.03,156.43,91.69,45.31,74.83,59.04,3.46,0.00,142.35,141.90,168.47,130.75,23.39,46.07,22.57,20.06,0.00,0.00,26.89,0.00,31.87,14.82,10.79,5.86,3.37,10.01,10.63,8.99,3.82,432.87,81.28,68.70,199.66,329.86,244.32,201.52,79.95,77.62,154.33,75.60,84.75,85.68,119.40,355.01,38.79,7.04,52.27,277.45,266.77,256.98,315.37,399.12,346.88,386.00,312.13,198.98,272.43,162.63,102.05,245.16,226.19,228.03,24.92,15.52,36.39,15.63,35.22,13.16,221.01,236.11,167.09,207.13,209.66,62.70
111.59,129.89,242.56,363.50,262.10,348.74,208.72,34.93,25.52,35.11,51.98,13.00,16.22,493.25,360.82,439.24,113.69,177.73,101.68,182.05,373.10,390.84,226.53,175.17,154.97,91.28,47.18,74.48,54.38,3.89,0.00,141.52,135.57,157.54,125.35,24.83,46.82,22.26,18.76,0.00,0.00,31.12,0.00,30.73,15.11,11.01,6.19,4.22,10.68,11.15,10.37,4.36,432.72,85.73,69.65,195.31,325.60,240.55,193.94,78.78,75.82,154.41,76.54,92.26,88.73,121.17,355.82,40.36,7.84,52.72,281.97,272.63,269.30,315.35,396.62,345.75,386.24,308.81,199.74,283.10,152.54,106.44,260.22,243.90,215.89,27.12,16.87,40.90,16.49,36.57,15.50,204.26,225.83,156.51,191.79,196.16,63.36
112.31,132.18,240.18,359.90,260.21,345.86,206.90,33.14,25.70,34.02,51.81,12.88,16.12,482.07,357.06,432.65,112.27,174.43,101.36,179.94,370.30,384.50,224.47,169.06,154.16,90.34,46.93,73.22,43.76,3.54,0.00,140.68,129.46,146.23,118.31,25.15,46.12,21.95,15.33,0.00,0.00,30.82,0.00,28.18,14.62,9.90,6.53,5.02,10.39,10.83,10.56,3.61,427.28,86.55,70.60,194.06,322.48,237.09,178.39,76.15,72.63,152.48,77.47,95.60,89.52,120.48,353.44,40.60,8.21,52.98,286.49,277.64,275.76,312.38,390.92,344.62,382.84,302.43,197.34,292.32,145.16,113.08,270.64,259.17,200.07,28.07,17.07,42.32,16.14,35.36,16.29,190.03,210.50,144.27,177.81,181.47,63.91
113.03,132.31,239.57,356.31,260.30,344.23,205.71,29.85,25.14,31.89,50.78,12.36,15.43,470.63,353.48,426.84,108.64,173.07,100.08,179.13,371.12,386.34,226.02,167.59,154.67,89.38,44.80,71.69,30.55,2.49,0.00,139.27,125.58,137.94,112.29,24.48,44.29,17.76,10.88,0.00,0.00,26.47,0.00,24.99,13.52,7.77,6.46,5.96,9.45,9.32,10.00,1.55,418.07,83.87,70.20,197.67,321.87,234.98,166.42,73.55,70.79,148.77,74.73,94.26,87.77,117.81,348.10,39.61,8.08,54.32,293.93,280.46,280.31,306.29,382.32,339.21,375.92,294.23,192.22,300.59,142.20,117.59,276.71,271.80,187.52,27.69,16.32,40.66,14.81,32.27,15.54,182.61,197.36,135.34,170.17,171.65,64.44
113.75,130.72,238.97,352.00,261.61,343.52,205.06,25.93,24.22,29.36,49.85,11.90,14.73,459.06,350.93,422.47,104.12,174.49,98.60,178.31,376.65,397.38,232.06,171.90,157.26,89.14,41.62,70.88,17.95,1.04,-25.31,139.41,125.69,135.53,110.00,23.41,41.93,11.49,8.72,0.00,0.00,19.75,-17.04,23.49,12.11,6.51,5.66,7.45,8.54,7.25,9.42,0.00,407.59,79.04,68.04,208.50,325.47,235.34,161.64,72.72,68.94,144.19,68.71,89.45,84.03,114.23,340.92,37.87,7.60,58.16,301.36,283.28,284.89,297.93,372.19,331.66,366.82,285.86,185.69,307.18,143.67,120.63,279.39,281.89,181.73,26.31,15.03,36.87,13.01,28.32,13.72,182.76,190.54,132.07,170.36,169.39,64.99
114.47,128.30,239.15,347.00,264.31,343.73,205.64,22.26,23.37,28.22,50.07,11.91,14.71,448.02,350.69,421.27,100.50,179.85,98.01,179.08,388.29,417.81,243.25,182.33,162.71,90.54,38.56,71.99,8.03,0.00,0.00,142.50,130.99,140.74,113.52,22.62,39.79,4.85,6.56,0.00,0.00,12.65,0.00,22.00,10.80,5.26,4.43,9.97,8.33,5.45,9.58,0.00,398.30,73.96,65.16,228.94,334.91,239.15,166.51,75.14,65.79,139.92,61.69,83.43,79.43,111.07,333.49,36.03,7.03,65.46,308.43,289.18,289.45,288.74,362.27,323.54,357.46,278.71,179.38,311.90,149.75,123.59,280.82,290.56,183.03,24.53,13.65,32.35,11.32,24.46,11.53,189.77,190.99,134.51,177.63,174.54,65.47
