Size (nt),"A1: TR241116654","A2: TR241116655","A3: TR241116656","A4: TR241116657","A5: TR241116658","A6: TR241116659","A7: TR241116702","A8: TR241116703","A9: TR241116704","A10: TR241116705","A11: TR241116706","A12: TR241116707","B1: TR241116660","B2: TR241116661","B3: TR241116662","B4: TR241116663","B5: TR241116664","B6: TR241116665","B7: TR241116709","B8: TR241116710","B9: TR241116712","B10: TR241116713","B11: TR241116715","B12: TR241116716","C1: TR241116666","C2: TR241116667","C3: TR241116668","C4: TR241116669","C5: TR241116670","C6: TR241116671","C7: TR241116718","C8: TR241116719","C9: TR241116721","C10: TR241116722","C11: TR241116724","C12: TR241116725","D1: TR241116672","D2: TR241116673","D3: TR241116674","D4: TR241116675","D5: TR241116676","D6: TR241116677","D7: TR241116727","D8: TR241116728","D9: TR241116730","D10: TR241116731","D11: TR241116733","D12: TR241116734","E1: TR241116678","E2: TR241116679","E3: TR241116680","E4: TR241116681","E5: TR241116682","E6: TR241116683","E7: TR241116708","E8: TR241116711","E9: TR241116714","E10: TR241116717","E11: TR241116720","E12: TR241116723","F1: TR241116684","F2: TR241116685","F3: TR241116686","F4: TR241116687","F5: TR241116688","F6: TR241116689","F7: TR241116726","F8: TR241116729","F9: TR241116732","F10: R241117373","F11: R241117374","F12: R241117375","G1: TR241116690","G2: TR241116691","G3: TR241116692","G4: TR241116693","G5: TR241116694","G6: TR241116695","G7: R241117383","G8: R241117388","G9: R241117398","G10: R241117430","G11: R241117431","G12: TR241117931","H1: TR241116696","H2: TR241116697","H3: TR241116698","H4: TR241116699","H5: TR241116700","H6: TR241116701","H7: TR241117932","H8: TR241117933","H9: TR241117934","H10: TR241117935","H11: TR241117936","H12:"
31.09,36.52,47.86,85.48,64.36,72.52,62.39,54.13,62.06,59.21,29.43,51.25,50.63,97.67,69.00,69.12,49.30,53.46,57.01,51.22,48.49,50.19,65.59,63.88,56.82,55.07,55.41,56.47,56.04,60.96,38.81,62.11,58.06,53.62,54.96,61.20,56.63,58.37,55.52,54.16,49.76,46.87,49.84,51.09,53.82,30.72,45.28,44.98,39.29,49.21,26.65,38.58,63.44,58.87,48.05,37.76,53.50,49.26,35.83,49.82,54.24,94.65,67.02,66.84,116.42,66.80,71.40,59.30,59.57,43.56,60.65,65.82,58.61,69.02,69.98,72.74,73.61,61.60,61.73,60.45,46.92,62.98,76.10,73.32,42.36,86.55,64.59,63.91,58.09,65.45,58.84,35.97,43.91,44.77,49.18,54.33,113.61
31.81,34.64,46.32,84.57,63.33,71.19,60.20,53.25,60.45,57.82,26.88,49.01,48.89,96.26,66.87,68.32,46.80,51.65,55.34,49.67,47.10,48.07,63.97,63.12,56.46,52.74,52.16,54.47,53.52,59.31,37.51,60.49,56.14,51.96,53.13,59.44,54.88,55.72,54.03,51.28,47.53,44.93,47.84,49.77,52.13,28.97,43.58,43.42,37.67,46.06,24.96,36.09,62.25,57.74,47.05,36.63,52.89,48.49,34.58,47.82,52.80,91.36,65.68,65.05,113.14,65.65,70.15,57.16,56.90,42.13,58.43,63.64,56.09,67.87,69.29,71.35,71.71,60.39,60.08,58.51,44.97,61.36,74.12,70.07,40.32,83.98,62.48,61.74,56.47,63.79,57.13,35.23,42.38,43.55,47.78,52.82,111.57
32.53,33.61,45.52,84.81,62.79,70.61,58.83,52.37,59.65,57.02,25.14,47.72,47.80,96.07,65.70,68.09,45.25,50.77,54.46,48.90,46.66,46.88,63.28,62.32,56.09,51.26,49.60,52.83,51.58,58.11,36.69,59.71,55.02,50.99,52.16,58.30,53.59,53.88,53.16,49.18,46.07,43.85,46.51,48.83,50.88,27.84,42.64,42.36,36.60,43.79,23.70,34.44,61.55,57.40,46.44,36.32,52.86,48.07,33.96,46.39,52.19,89.06,64.94,63.91,110.41,65.09,69.82,55.75,54.88,41.14,56.99,62.14,54.46,67.44,69.23,71.06,70.53,59.70,59.12,57.24,43.87,60.41,72.73,67.69,39.22,82.46,61.18,60.27,55.60,63.05,56.18,35.16,41.72,42.86,46.81,51.94,110.17
33.25,32.92,45.10,85.70,62.39,70.33,58.14,51.41,59.28,56.36,24.19,47.14,46.97,96.71,65.11,68.18,44.40,50.30,53.88,48.53,46.70,46.35,63.04,61.88,55.45,50.43,47.76,51.40,50.06,57.08,35.79,59.25,54.35,50.26,51.67,57.46,52.56,52.63,52.47,47.74,45.16,43.26,45.48,47.96,49.83,26.99,42.20,41.70,35.84,42.13,22.75,33.56,61.24,57.42,45.86,36.32,53.07,47.69,33.70,45.31,52.11,87.45,64.34,63.12,108.00,64.71,70.11,54.85,53.48,40.32,56.00,61.12,53.47,67.55,69.55,71.39,69.91,59.18,58.59,56.40,43.30,59.81,71.57,66.12,38.81,81.57,60.35,59.28,55.23,62.84,55.73,35.20,41.64,42.47,46.05,51.47,109.11
33.97,31.93,44.64,86.58,61.63,70.07,57.71,50.77,58.79,55.30,23.70,46.81,45.89,97.54,64.47,68.26,43.76,49.61,53.06,47.94,46.67,46.01,62.58,61.27,54.47,49.87,46.39,49.90,48.66,55.82,34.28,58.45,53.66,49.26,51.22,56.45,51.59,51.55,51.49,46.60,44.31,42.63,44.31,46.90,48.69,26.04,41.79,41.18,34.99,40.63,21.85,33.14,61.03,57.22,44.97,36.05,53.02,47.04,33.39,44.18,52.12,86.12,63.34,62.21,105.69,63.97,70.48,54.11,52.44,39.34,55.01,60.25,52.75,67.85,69.79,71.68,69.56,58.44,58.03,55.55,42.70,59.08,70.14,65.05,38.60,80.69,59.42,58.44,54.87,62.53,55.36,34.80,41.62,42.06,45.16,51.05,107.88
34.69,30.05,43.69,86.75,60.03,69.82,56.96,49.84,57.58,53.34,23.08,46.17,44.19,97.85,63.16,67.90,42.72,48.11,51.61,46.53,46.04,45.25,61.27,59.96,52.77,49.06,44.99,47.89,46.96,53.88,31.75,56.65,52.47,47.56,50.31,54.79,50.40,50.05,49.86,45.29,42.94,41.42,42.58,45.39,47.16,24.62,40.94,40.38,33.65,38.81,20.71,32.65,60.56,56.31,43.57,35.09,52.17,45.84,32.54,42.61,51.68,84.55,61.44,60.68,103.19,62.35,70.34,53.10,51.33,37.86,53.53,59.12,51.92,67.84,69.38,71.34,69.10,57.08,56.85,54.10,41.45,57.76,67.99,63.96,38.04,79.17,57.84,57.36,53.99,61.47,54.58,33.54,41.11,41.27,43.74,50.25,105.88
35.41,26.84,41.85,85.66,57.31,68.55,55.37,47.94,55.21,51.80,21.71,44.68,41.71,97.07,60.81,66.74,40.74,45.48,49.25,43.97,44.44,43.56,58.69,57.56,50.12,47.40,43.00,44.99,44.50,50.93,28.10,53.46,50.43,44.93,48.43,52.18,48.70,47.65,47.35,43.27,40.54,39.31,39.99,43.20,44.99,22.53,39.33,38.87,31.54,36.34,19.03,31.54,59.50,54.41,41.64,33.23,50.15,43.91,30.76,40.27,50.34,82.22,58.42,58.15,100.16,59.60,69.22,51.36,49.68,35.62,51.16,57.28,50.64,67.04,67.87,70.00,68.12,54.83,54.56,51.61,39.10,55.51,64.74,62.24,36.71,76.51,55.24,55.64,52.25,59.23,52.91,31.24,39.78,39.80,41.43,48.62,102.61
36.12,22.23,38.81,83.16,53.59,66.15,52.72,44.63,51.54,50.26,19.16,42.06,38.54,94.96,57.48,64.64,37.64,41.78,45.89,40.37,41.76,40.78,54.85,53.97,46.61,44.51,40.05,41.07,41.01,46.99,23.58,48.94,47.40,41.43,45.33,48.69,46.36,44.14,43.94,40.19,37.01,36.27,36.49,40.26,42.09,19.78,36.90,36.41,28.64,33.16,16.70,29.40,57.79,51.55,39.30,30.52,47.01,41.27,27.89,37.05,47.94,78.83,54.57,54.58,96.32,55.89,66.93,48.69,47.22,32.56,47.81,54.46,48.67,65.20,65.17,67.62,66.34,51.72,51.08,48.05,35.64,52.31,60.37,59.44,34.36,72.53,51.53,52.95,49.62,55.73,50.08,27.98,37.54,37.55,38.17,45.89,97.91
36.84,16.72,34.63,79.64,49.39,62.67,49.18,39.97,46.93,46.29,15.47,38.37,34.89,91.74,53.61,61.89,33.64,37.49,41.72,36.24,38.28,37.17,50.22,49.49,42.60,40.44,36.17,36.44,36.63,42.48,18.73,43.71,43.59,37.42,41.16,44.78,43.47,39.72,39.83,36.13,32.76,32.62,32.32,36.75,38.66,16.60,33.89,33.17,25.23,29.48,13.85,26.19,55.75,48.06,36.75,27.22,43.32,38.20,24.17,33.19,44.75,74.52,50.52,50.37,91.71,51.77,63.73,45.27,44.07,28.94,43.73,50.71,45.97,62.51,61.67,64.59,63.81,48.15,46.84,43.90,31.48,48.51,55.21,55.52,31.05,67.58,47.01,49.23,46.35,51.31,46.14,24.12,34.64,34.66,34.29,42.18,92.15
37.56,11.22,29.84,75.93,45.46,58.60,45.30,34.57,42.10,41.96,11.14,34.03,31.07,88.12,49.83,59.08,29.32,33.29,37.27,32.28,34.59,33.39,45.63,44.76,38.65,35.71,31.84,31.76,31.89,38.01,14.26,38.63,39.52,33.50,36.52,41.06,40.43,34.96,35.49,31.63,28.49,28.85,27.96,33.10,35.17,13.41,30.67,29.67,21.76,27.60,10.87,22.28,53.89,44.42,34.30,23.75,39.93,35.12,20.16,29.19,41.35,69.86,46.93,46.16,86.79,47.99,60.29,41.69,40.66,25.30,39.48,46.47,42.74,59.56,58.12,61.59,60.91,44.78,42.68,39.88,27.30,44.70,49.89,50.96,27.18,62.38,42.26,44.81,42.84,46.64,41.58,20.17,31.51,31.44,30.36,37.92,86.12
