Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN
A1,W01241174238,100 bp to 150 bp,0.0016,0.2,0.0185,139,7.79,300,0.2
A1,W01241174238,150 bp to 260 bp,0.6574,83.1,4.4681,242,8.00,300,0.2
A1,W01241174238,200 bp to 4000 bp,0.7718,97.5,4.7159,269,84.97,300,0.2
A1,W01241174238,650 bp to 4000 bp,0.0072,0.9,0.0048,2461,31.81,300,0.2
A2,W01241174239,100 bp to 150 bp,0.0541,6.4,0.6537,136,8.47,300,0.4
A2,W01241174239,150 bp to 260 bp,0.6653,79.0,4.7466,230,13.78,300,0.4
A2,W01241174239,200 bp to 4000 bp,0.6748,80.1,4.1571,267,76.09,300,0.4
A2,W01241174239,650 bp to 4000 bp,0.0048,0.6,0.0032,2451,34.39,300,0.4
A3,W01241174240,100 bp to 150 bp,0.0052,0.2,0.0671,128,11.04,300,0.2
A3,W01241174240,150 bp to 260 bp,2.1610,89.2,14.9154,238,8.44,300,0.2
A3,W01241174240,200 bp to 4000 bp,2.2329,92.1,14.4357,254,64.46,300,0.2
A3,W01241174240,650 bp to 4000 bp,0.0104,0.4,0.0069,2478,32.75,300,0.2
A4,W01241174241,100 bp to 150 bp,0.0012,0.1,0.0148,137,8.73,300,0.1
A4,W01241174241,150 bp to 260 bp,1.4414,87.0,9.8588,240,8.01,300,0.1
A4,W01241174241,200 bp to 4000 bp,1.5628,94.3,9.8632,261,73.68,300,0.1
A4,W01241174241,650 bp to 4000 bp,0.0110,0.7,0.0077,2361,35.45,300,0.1
A5,W01241174242,100 bp to 150 bp,0.0109,8.4,0.1552,116,5.55,300,9.1
A5,W01241174242,150 bp to 260 bp,0.0000,0.0,NaN,NaN,NaN,300,9.1
A5,W01241174242,200 bp to 4000 bp,0.1489,114.6,0.1471,1666,46.22,300,9.1
A5,W01241174242,650 bp to 4000 bp,0.1461,112.5,0.1421,1692,44.86,300,9.1
A6,W01241174243,100 bp to 150 bp,0.0617,9.3,0.7441,136,8.03,300,0.3
A6,W01241174243,150 bp to 260 bp,0.4746,71.6,3.5871,218,18.38,300,0.3
A6,W01241174243,200 bp to 4000 bp,0.4372,66.0,2.5511,282,99.36,300,0.3
A6,W01241174243,650 bp to 4000 bp,0.0069,1.0,0.0048,2357,33.30,300,0.3
A7,W01241174244,100 bp to 150 bp,0.0259,2.2,0.3213,132,10.45,300,0.3
A7,W01241174244,150 bp to 260 bp,1.0651,89.5,9.0517,193,7.59,300,0.3
A7,W01241174244,200 bp to 4000 bp,0.4160,34.9,2.4934,274,89.77,300,0.3
A7,W01241174244,650 bp to 4000 bp,0.0326,2.7,0.0560,959,42.64,300,0.3
A8,W01241174245,100 bp to 150 bp,0.0053,0.4,0.0781,112,11.13,300,9.6
A8,W01241174245,150 bp to 260 bp,0.0013,0.1,0.0107,204,17.87,300,9.6
A8,W01241174245,200 bp to 4000 bp,1.3374,96.4,2.0234,1088,29.48,300,9.6
A8,W01241174245,650 bp to 4000 bp,1.2289,88.6,1.7693,1143,24.19,300,9.6
A9,W01241174246,100 bp to 150 bp,0.0452,2.1,0.5272,141,7.06,300,0.2
A9,W01241174246,150 bp to 260 bp,1.5815,74.9,10.8338,240,10.80,300,0.2
A9,W01241174246,200 bp to 4000 bp,1.9026,90.1,11.8011,265,67.71,300,0.2
A9,W01241174246,650 bp to 4000 bp,0.0116,0.5,0.0081,2371,33.10,300,0.2
A10,W01241174247,100 bp to 150 bp,0.0078,1.2,0.1059,122,7.85,300,9.9
A10,W01241174247,150 bp to 260 bp,0.0008,0.1,0.0077,175,13.27,300,9.9
A10,W01241174247,200 bp to 4000 bp,0.8041,121.7,0.9925,1334,74.78,300,9.9
A10,W01241174247,650 bp to 4000 bp,0.5293,80.1,0.4732,1841,51.88,300,9.9
A11,W01241174248,100 bp to 150 bp,0.0036,0.2,0.0430,136,8.98,300,0.2
A11,W01241174248,150 bp to 260 bp,1.5912,94.6,11.1416,235,8.27,300,0.2
A11,W01241174248,200 bp to 4000 bp,1.5787,93.9,9.7548,266,97.62,300,0.2
A11,W01241174248,650 bp to 4000 bp,0.0198,1.2,0.0135,2417,35.44,300,0.2
A12,W01241174249,100 bp to 150 bp,0.1174,8.5,1.4059,137,8.05,300,0.1
A12,W01241174249,150 bp to 260 bp,1.1834,86.1,8.4804,229,13.39,300,0.1
A12,W01241174249,200 bp to 4000 bp,1.0621,77.3,6.6308,263,88.92,300,0.1
A12,W01241174249,650 bp to 4000 bp,0.0100,0.7,0.0065,2516,29.89,300,0.1
B1,W01241174250,100 bp to 150 bp,0.0703,5.8,0.8491,136,9.01,300,0.0
B1,W01241174250,150 bp to 260 bp,1.0988,90.7,7.7315,234,11.90,300,0.0
B1,W01241174250,200 bp to 4000 bp,1.0017,82.7,6.6707,247,47.98,300,0.0
B1,W01241174250,650 bp to 4000 bp,0.0017,0.1,0.0009,3028,19.82,300,0.0
B2,W01241174251,100 bp to 150 bp,0.0295,3.9,0.3407,142,6.59,300,0.2
B2,W01241174251,150 bp to 260 bp,0.6488,85.4,4.5497,235,16.20,300,0.2
B2,W01241174251,200 bp to 4000 bp,0.6090,80.2,3.5743,280,86.29,300,0.2
B2,W01241174251,650 bp to 4000 bp,0.0087,1.1,0.0069,2083,43.93,300,0.2
B3,W01241174252,100 bp to 150 bp,0.0258,12.3,0.3044,139,8.17,300,0.6
B3,W01241174252,150 bp to 260 bp,0.1697,80.7,1.2035,232,13.37,300,0.6
B3,W01241174252,200 bp to 4000 bp,0.1612,76.7,0.6727,394,149.51,300,0.6
B3,W01241174252,650 bp to 4000 bp,0.0114,5.4,0.0078,2406,32.83,300,0.6
B4,W01241174253,100 bp to 150 bp,0.0105,0.7,0.1253,138,7.03,300,0.2
B4,W01241174253,150 bp to 260 bp,1.3960,91.6,9.2454,248,7.64,300,0.2
B4,W01241174253,200 bp to 4000 bp,1.4420,94.6,8.4380,281,87.85,300,0.2
B4,W01241174253,650 bp to 4000 bp,0.0240,1.6,0.0199,1990,40.70,300,0.2
B5,W01241174254,100 bp to 150 bp,0.0022,0.1,0.0264,138,8.79,300,0.3
B5,W01241174254,150 bp to 260 bp,1.3925,93.6,9.4678,242,6.69,300,0.3
B5,W01241174254,200 bp to 4000 bp,1.4369,96.6,8.8926,266,81.30,300,0.3
B5,W01241174254,650 bp to 4000 bp,0.0123,0.8,0.0086,2359,32.00,300,0.3
B6,W01241174255,100 bp to 150 bp,0.0599,10.1,0.6975,141,7.08,300,0.3
B6,W01241174255,150 bp to 260 bp,0.5074,85.9,3.7035,225,16.30,300,0.3
B6,W01241174255,200 bp to 4000 bp,0.4257,72.1,2.3020,304,133.75,300,0.3
B6,W01241174255,650 bp to 4000 bp,0.0097,1.6,0.0059,2729,33.13,300,0.3
B7,W01241174256,100 bp to 150 bp,0.2637,26.9,3.0863,140,7.68,300,0.0
B7,W01241174256,150 bp to 260 bp,0.6773,69.2,5.1679,216,18.40,300,0.0
B7,W01241174256,200 bp to 4000 bp,0.5019,51.2,3.2624,253,72.55,300,0.0
B7,W01241174256,650 bp to 4000 bp,0.0023,0.2,0.0013,2790,24.49,300,0.0
B8,W01241174257,100 bp to 150 bp,0.0090,0.4,0.1276,115,9.67,300,9.7
B8,W01241174257,150 bp to 260 bp,0.0036,0.1,0.0271,216,15.40,300,9.7
B8,W01241174257,200 bp to 4000 bp,2.3659,98.3,3.4164,1140,45.78,300,9.7
B8,W01241174257,650 bp to 4000 bp,1.9367,80.5,2.4146,1320,32.01,300,9.7
B9,W01241174258,100 bp to 150 bp,0.0983,15.2,1.1536,140,7.80,300,0.2
B9,W01241174258,150 bp to 260 bp,0.5099,78.7,4.1535,202,21.49,300,0.2
B9,W01241174258,200 bp to 4000 bp,0.3089,47.7,1.5713,323,130.99,300,0.2
