Ladder Size (bp),Time (sec)
35,1087
100,1152
200,1279
300,1406
400,1521
500,1638
600,1725
700,1797
800,1845
900,1886
1000,1913
1200,1952
1500,1985
2000,2036
3000,2093
5000,2177
