Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),,
"A1","W06241177339",1,35,,0.3744,0.0080,1721,,0.0000,0.0000,0.0388,,
"A1","W06241177339",2,5000,,0.0025,0.0077,2597,,0.0000,0.0000,0.0388,,
"A2","W06241177340",1,35,,0.3744,0.0080,1522,,0.0000,0.0000,0.0638,,
"A2","W06241177340",2,5000,,0.0026,0.0079,2343,,0.0000,0.0000,0.0638,,
"A3","W06241177341",1,35,,0.4092,0.0080,1470,,0.0000,0.0000,0.0389,,
"A3","W06241177341",2,5000,,0.0017,0.0052,1520,,0.0000,0.0000,0.0389,,
"A4","W06241177342",1,35,,0.3744,0.0080,1026,,0.0000,0.0000,0.0347,,
"A4","W06241177342",2,5000,,0.0024,0.0072,1444,,0.0000,0.0000,0.0347,,
"A5","W06241177343",1,35,,0.3744,0.0080,1841,,0.0000,0.0000,0.0846,,
"A5","W06241177343",2,5000,,0.0024,0.0074,2537,,0.0000,0.0000,0.0846,,
"A6","W06241177344",1,35,,0.3744,0.0080,1673,,0.0000,0.0000,0.0307,,
"A6","W06241177344",2,5000,,0.0025,0.0076,2373,,0.0000,0.0000,0.0307,,
"A7","W06241177345",1,35,,0.3744,0.0080,1258,,0.0000,0.0000,0.0000,,
"A7","W06241177345",2,5000,,0.0014,0.0044,1852,,0.0000,0.0000,0.0000,,
"A8","W06241177346",1,35,,0.3744,0.0080,1335,,0.0000,0.0000,0.0032,,
"A8","W06241177346",2,5000,,0.0028,0.0086,2231,,0.0000,0.0000,0.0032,,
"A9","W06241177347",1,35,,0.3744,0.0080,1666,,0.0000,0.0000,0.0000,,
"A9","W06241177347",2,5000,,0.0022,0.0067,3052,,0.0000,0.0000,0.0000,,
"A10","W06241177348",1,35,,0.3744,0.0080,1605,,0.0000,0.0000,0.0638,,
"A10","W06241177348",2,5000,,0.0026,0.0079,2324,,0.0000,0.0000,0.0638,,
"A11","W06241177349",1,35,,0.3744,0.0080,1597,,0.0000,0.0000,0.0933,,
"A11","W06241177349",2,5000,,0.0024,0.0072,2183,,0.0000,0.0000,0.0933,,
"A12","W06241177350",1,35,,0.3744,0.0080,1977,,0.1166,0.4794,0.1210,,
"A12","W06241177350",2,382,100.0,0.4794,0.1166,1080,,0.1166,0.4794,0.1210,,
"A12","W06241177350",3,5000,,0.0031,0.0096,3456,,0.1166,0.4794,0.1210,,
"B1","W06241177351",1,35,,0.3744,0.0080,1782,,0.0000,0.0000,0.1107,,
"B1","W06241177351",2,5000,,0.0026,0.0079,2621,,0.0000,0.0000,0.1107,,
"B2","W06241177352",1,35,,0.3744,0.0080,1464,,0.0000,0.0000,0.1464,,
"B2","W06241177352",2,5000,,0.0022,0.0067,1855,,0.0000,0.0000,0.1464,,
"B3","W06241177353",1,35,,0.3744,0.0080,1291,,0.0000,0.0000,0.0000,,
"B3","W06241177353",2,5000,,0.0020,0.0062,2088,,0.0000,0.0000,0.0000,,
"B4","W06241177354",1,35,,0.3543,0.0080,1657,,0.0860,0.3966,0.0874,,
"B4","W06241177354",2,317,95.0,0.3951,0.0817,1159,,0.0860,0.3966,0.0874,,
"B4","W06241177354",3,4667,5.0,0.0015,0.0043,2050,,0.0860,0.3966,0.0874,,
"B4","W06241177354",4,5000,,0.0007,0.0020,608,,0.0860,0.3966,0.0874,,
"B5","W06241177355",1,35,,0.3744,0.0080,1692,,0.1998,0.8814,0.2033,,
"B5","W06241177355",2,366,100.0,0.8814,0.1998,1768,,0.1998,0.8814,0.2033,,
"B5","W06241177355",3,5000,,0.0028,0.0086,2512,,0.1998,0.8814,0.2033,,
"B6","W06241177356",1,35,,0.3744,0.0080,1467,,0.1818,0.7998,0.1834,,
"B6","W06241177356",2,367,100.0,0.7998,0.1818,1428,,0.1818,0.7998,0.1834,,
"B6","W06241177356",3,5000,,0.0027,0.0081,2074,,0.1818,0.7998,0.1834,,
"B7","W06241177357",1,35,,0.3744,0.0080,1730,,0.2534,1.1118,0.2539,,
"B7","W06241177357",2,361,100.0,1.1118,0.2534,2167,,0.2534,1.1118,0.2539,,
"B7","W06241177357",3,5000,,0.0025,0.0077,2380,,0.2534,1.1118,0.2539,,
"B8","W06241177358",1,35,,0.3969,0.0080,4064,,0.0896,0.3781,0.0896,,
"B8","W06241177358",2,383,98.1,0.3775,0.0879,1994,,0.0896,0.3781,0.0896,,
"B8","W06241177358",3,4381,1.9,0.0006,0.0017,1227,,0.0896,0.3781,0.0896,,
"B8","W06241177358",4,5000,,0.0004,0.0012,628,,0.0896,0.3781,0.0896,,
"B9","W06241177359",1,35,,0.3744,0.0080,1682,,0.0000,0.0000,0.0889,,
"B9","W06241177359",2,5000,,0.0024,0.0074,2253,,0.0000,0.0000,0.0889,,
"B10","W06241177360",1,35,,0.4092,0.0080,2300,,0.1191,0.4852,0.1191,,
"B10","W06241177360",2,374,96.5,0.4837,0.1150,1849,,0.1191,0.4852,0.1191,,
"B10","W06241177360",3,4524,3.5,0.0015,0.0041,2628,,0.1191,0.4852,0.1191,,
"B10","W06241177360",4,5000,,0.0009,0.0029,1638,,0.1191,0.4852,0.1191,,
"B11","W06241177361",1,35,,0.3744,0.0080,1701,,0.1609,0.6734,0.1639,,
"B11","W06241177361",2,379,100.0,0.6734,0.1609,1348,,0.1609,0.6734,0.1639,,
"B11","W06241177361",3,5000,,0.0026,0.0081,2547,,0.1609,0.6734,0.1639,,
"B12","W06241177362",1,35,,0.3744,0.0080,1601,,0.0000,0.0000,0.1349,,
"B12","W06241177362",2,5000,,0.0024,0.0072,2252,,0.0000,0.0000,0.1349,,
"C1","W06241177363",1,35,,0.3744,0.0080,943,,0.0000,0.0000,0.0342,,
"C1","W06241177363",2,5000,,0.0022,0.0068,1300,,0.0000,0.0000,0.0342,,
"C2","W06241177364",1,35,,0.3744,0.0080,1795,,0.0000,0.0000,0.0339,,
"C2","W06241177364",2,5000,,0.0026,0.0079,2601,,0.0000,0.0000,0.0339,,
"C3","W06241177365",1,35,,0.3744,0.0080,1610,,0.0000,0.0000,0.0806,,
"C3","W06241177365",2,5000,,0.0026,0.0080,2372,,0.0000,0.0000,0.0806,,
"C4","W06241177366",1,35,,0.3744,0.0080,1265,,0.0000,0.0000,0.1276,,
"C4","W06241177366",2,5000,,0.0025,0.0075,1754,,0.0000,0.0000,0.1276,,
"C5","W06241177367",1,35,,0.3744,0.0080,804,,0.0000,0.0000,0.0783,,
