Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),,
"C5","W06241177367",2,5000,,0.0024,0.0072,1030,,0.0000,0.0000,0.0783,,
"C6","W06241177368",1,35,,0.3744,0.0080,1211,,0.0000,0.0000,0.0000,,
"C6","W06241177368",2,5000,,0.0014,0.0042,1766,,0.0000,0.0000,0.0000,,
"C7","W06241177369",1,35,,0.3744,0.0080,1274,,0.0000,0.0000,0.0983,,
"C7","W06241177369",2,5000,,0.0023,0.0071,1692,,0.0000,0.0000,0.0983,,
"C8","W06241177370",1,35,,0.3744,0.0080,1623,,0.0000,0.0000,0.0572,,
"C8","W06241177370",2,5000,,0.0026,0.0078,2361,,0.0000,0.0000,0.0572,,
"C9","W03241177179",1,35,,0.3362,0.0080,1588,,1.3267,5.0298,1.3309,,
"C9","W03241177179",2,461,100.0,5.0298,1.3267,26029,,1.3267,5.0298,1.3309,,
"C9","W03241177179",3,5000,,0.0011,0.0034,2135,,1.3267,5.0298,1.3309,,
"C10","W03241177180",1,35,,0.3450,0.0080,1536,,1.1121,4.2161,1.1137,,
"C10","W03241177180",2,455,100.0,4.2161,1.1121,17055,,1.1121,4.2161,1.1137,,
"C10","W03241177180",3,5000,,0.0017,0.0052,2532,,1.1121,4.2161,1.1137,,
"C11","W03241177181",1,35,,0.3450,0.0080,1699,,1.9118,7.0533,1.9222,,
"C11","W03241177181",2,469,100.0,7.0533,1.9118,43496,,1.9118,7.0533,1.9222,,
"C11","W03241177181",3,5000,,0.0015,0.0044,2886,,1.9118,7.0533,1.9222,,
"C12","W03241177182",1,35,,0.3543,0.0080,1714,,0.8759,3.2755,0.8768,,
"C12","W03241177182",2,458,100.0,3.2755,0.8759,13358,,0.8759,3.2755,0.8768,,
"C12","W03241177182",3,5000,,0.0020,0.0059,3132,,0.8759,3.2755,0.8768,,
"D1","W03241177183",1,35,,0.3543,0.0080,1585,,0.7846,2.9542,0.7853,,
"D1","W03241177183",2,460,100.0,2.9542,0.7846,10931,,0.7846,2.9542,0.7853,,
"D1","W03241177183",3,5000,,0.0016,0.0049,2300,,0.7846,2.9542,0.7853,,
"D2","W03241177184",1,35,,0.3543,0.0080,1581,,1.0411,4.0959,1.0330,,
"D2","W03241177184",2,321,8.3,0.4927,0.0860,2793,,1.0411,4.0959,1.0330,,
"D2","W03241177184",3,388,21.5,1.0052,0.2242,10382,,1.0411,4.0959,1.0330,,
"D2","W03241177184",4,400,8.5,0.3648,0.0889,10077,,1.0411,4.0959,1.0330,,
"D2","W03241177184",5,456,61.7,2.2332,0.6420,12211,,1.0411,4.0959,1.0330,,
"D2","W03241177184",6,5000,,0.0018,0.0055,2434,,1.0411,4.0959,1.0330,,
"D3","W03241177185",1,35,,0.3641,0.0080,1531,,1.2802,4.6915,1.2848,,
"D3","W03241177185",2,473,100.0,4.6915,1.2802,16226,,1.2802,4.6915,1.2848,,
"D3","W03241177185",3,5000,,0.0019,0.0057,2403,,1.2802,4.6915,1.2848,,
"D4","W03241177186",1,35,,0.3641,0.0080,1605,,1.2053,4.4565,1.2078,,
"D4","W03241177186",2,467,100.0,4.4565,1.2053,15250,,1.2053,4.4565,1.2078,,
"D4","W03241177186",3,5000,,0.0021,0.0064,2606,,1.2053,4.4565,1.2078,,
"D5","W03241177173",1,35,,0.3543,0.0080,1665,,0.7071,2.7440,0.7074,,
"D5","W03241177173",2,447,100.0,2.7440,0.7071,9455,,0.7071,2.7440,0.7074,,
"D5","W03241177173",3,5000,,0.0019,0.0058,2422,,0.7071,2.7440,0.7074,,
"D6","W03241177174",1,35,,0.3543,0.0080,1586,,1.2823,4.9294,1.2858,,
"D6","W03241177174",2,448,100.0,4.9294,1.2823,18912,,1.2823,4.9294,1.2858,,
"D6","W03241177174",3,5000,,0.0018,0.0055,2657,,1.2823,4.9294,1.2858,,
"D7","W03241177175",1,35,,0.3641,0.0080,1430,,0.4886,1.9511,0.4889,,
"D7","W03241177175",2,433,100.0,1.9511,0.4886,5681,,0.4886,1.9511,0.4889,,
"D7","W03241177175",3,5000,,0.0021,0.0065,2139,,0.4886,1.9511,0.4889,,
"D8","W03241177176",1,35,,0.3450,0.0080,1656,,1.1817,4.7888,1.1825,,
"D8","W03241177176",2,427,100.0,4.7888,1.1817,22318,,1.1817,4.7888,1.1825,,
"D8","W03241177176",3,5000,,0.0017,0.0051,2570,,1.1817,4.7888,1.1825,,
"D9","W03241177177",1,35,,0.3450,0.0080,1614,,0.8788,3.5437,0.8788,,
"D9","W03241177177",2,428,100.0,3.5437,0.8788,15581,,0.8788,3.5437,0.8788,,
"D9","W03241177177",3,5000,,0.0016,0.0049,2401,,0.8788,3.5437,0.8788,,
"D10","W03241177178",1,35,,0.3543,0.0080,1549,,1.4540,5.6029,1.4540,,
"D10","W03241177178",2,447,100.0,5.6029,1.4540,24186,,1.4540,5.6029,1.4540,,
"D10","W03241177178",3,5000,,0.0009,0.0028,1602,,1.4540,5.6029,1.4540,,
"D11","W01241177105",1,35,,0.3744,0.0080,1637,,0.0000,0.0000,0.0437,,
"D11","W01241177105",2,5000,,0.0025,0.0076,2370,,0.0000,0.0000,0.0437,,
"D12","W14241177106",1,35,,0.3744,0.0080,1457,,0.0000,0.0000,0.0786,,
"D12","W14241177106",2,5000,,0.0024,0.0072,2016,,0.0000,0.0000,0.0786,,
"E1","W01241177196",1,35,,0.3450,0.0080,1426,,0.7411,3.1508,0.7411,,
"E1","W01241177196",2,391,100.0,3.1508,0.7411,13051,,0.7411,3.1508,0.7411,,
"E1","W01241177196",3,5000,,0.0012,0.0037,2902,,0.7411,3.1508,0.7411,,
"E2","W01241177187",1,35,,0.3744,0.0080,1365,,0.0151,0.0903,0.0161,,
"E2","W01241177187",2,274,90.0,0.0817,0.0136,1891,,0.0151,0.0903,0.0161,,
"E2","W01241177187",3,290,10.0,0.0086,0.0015,432,,0.0151,0.0903,0.0161,,
"E2","W01241177187",4,5000,,0.0010,0.0030,1398,,0.0151,0.0903,0.0161,,
"E3","W01241177188",1,35,,0.3744,0.0080,1464,,0.0047,0.0286,0.0047,,
"E3","W01241177188",2,274,100.0,0.0286,0.0047,952,,0.0047,0.0286,0.0047,,
"E3","W01241177188",3,5000,,0.0028,0.0086,2487,,0.0047,0.0286,0.0047,,
"E4","W01241177189",1,35,,0.3744,0.0080,1494,,0.0232,0.1426,0.0381,,
"E4","W01241177189",2,272,100.0,0.1426,0.0232,2284,,0.0232,0.1426,0.0381,,
"E4","W01241177189",3,5000,,0.0030,0.0092,2427,,0.0232,0.1426,0.0381,,
"E5","W01241177190",1,35,,0.3744,0.0080,1495,,0.0303,0.1852,0.0434,,
"E5","W01241177190",2,273,100.0,0.1852,0.0303,4165,,0.0303,0.1852,0.0434,,
"E5","W01241177190",3,5000,,0.0024,0.0072,2353,,0.0303,0.1852,0.0434,,
"E6","W01241177191",1,35,,0.3744,0.0080,1124,,0.0069,0.0335,0.0077,,
"E6","W01241177191",2,341,100.0,0.0335,0.0069,1409,,0.0069,0.0335,0.0077,,
"E6","W01241177191",3,5000,,0.0011,0.0035,1377,,0.0069,0.0335,0.0077,,
"E7","W01241177192",1,35,,0.3744,0.0080,1288,,0.6718,3.8103,0.6718,,
"E7","W01241177192",2,288,100.0,3.8103,0.6718,44332,,0.6718,3.8103,0.6718,,
"E7","W01241177192",3,5000,,0.0014,0.0042,2053,,0.6718,3.8103,0.6718,,
"E8","W01241177193",1,35,,0.3744,0.0080,1578,,0.1744,0.9775,0.2192,,
"E8","W01241177193",2,166,10.9,0.1909,0.0189,2004,,0.1744,0.9775,0.2192,,
"E8","W01241177193",3,265,7.4,0.0823,0.0130,1175,,0.1744,0.9775,0.2192,,
"E8","W01241177193",4,304,11.2,0.1053,0.0195,1606,,0.1744,0.9775,0.2192,,
"E8","W01241177193",5,339,70.6,0.5990,0.1231,15459,,0.1744,0.9775,0.2192,,
"E8","W01241177193",6,5000,,0.0031,0.0095,2832,,0.1744,0.9775,0.2192,,
"E9","W01241177194",1,35,,0.3543,0.0080,1267,,1.6019,8.6406,1.6231,,
"E9","W01241177194",2,232,1.5,0.1761,0.0241,2239,,1.6019,8.6406,1.6231,,
"E9","W01241177194",3,292,89.7,8.2068,1.4369,62953,,1.6019,8.6406,1.6231,,
"E9","W01241177194",4,793,8.8,0.2577,0.1409,2288,,1.6019,8.6406,1.6231,,
"E9","W01241177194",5,5000,,0.0023,0.0069,2030,,1.6019,8.6406,1.6231,,
"E10","W01241177195",1,35,,0.3641,0.0080,1394,,2.2694,10.7184,2.3322,,
"E10","W01241177195",2,313,27.4,3.2992,0.6217,55086,,2.2694,10.7184,2.3322,,
"E10","W01241177195",3,334,66.6,7.2722,1.5118,63060,,2.2694,10.7184,2.3322,,
"E10","W01241177195",4,1383,6.0,0.1470,0.1358,1853,,2.2694,10.7184,2.3322,,
"E10","W01241177195",5,5000,,0.0033,0.0104,2048,,2.2694,10.7184,2.3322,,
"E11","W01241177199",1,35,,50.7796,0.0080,2724,,0.0000,0.0000,0.0002,,
"E11","W01241177199",2,5000,,0.0062,0.0165,9476,,0.0000,0.0000,0.0002,,
"E12","W01241177200",1,35,,50.7796,0.0080,1535,,0.0000,0.0000,0.0002,,
"E12","W01241177200",2,5000,,0.0039,0.0111,2905,,0.0000,0.0000,0.0002,,
"F1","W01241177201",1,35,,0.4843,0.0080,811,,0.0154,0.4018,0.0177,,
"F1","W01241177201",2,59,100.0,0.4018,0.0154,2496,,0.0154,0.4018,0.0177,,
"F1","W01241177201",3,5000,,0.0005,0.0015,508,,0.0154,0.4018,0.0177,,
"F2","W01241177202",1,35,,0.3744,0.0080,792,,0.0000,0.0000,0.1001,,
"F2","W01241177202",2,5000,,0.0022,0.0067,1044,,0.0000,0.0000,0.1001,,
"F3","W04241177231",1,35,,0.3744,0.0080,1616,,0.0000,0.0000,0.0098,,
"F3","W04241177231",2,5000,,0.0031,0.0096,2824,,0.0000,0.0000,0.0098,,
"F4","W04241177232",1,35,,0.3744,0.0080,1535,,0.0238,0.2556,0.0413,,
"F4","W04241177232",2,149,100.0,0.2556,0.0238,1307,,0.0238,0.2556,0.0413,,
"F4","W04241177232",3,5000,,0.0030,0.0092,2599,,0.0238,0.2556,0.0413,,
"F5","W04241177233",1,35,,0.3744,0.0080,1604,,0.0000,0.0000,0.0161,,
"F5","W04241177233",2,5000,,0.0030,0.0092,2701,,0.0000,0.0000,0.0161,,
"F6","W04241177234",1,35,,0.3744,0.0080,1292,,0.0000,0.0000,0.0340,,
"F6","W04241177234",2,5000,,0.0023,0.0071,1805,,0.0000,0.0000,0.0340,,
"F7","W04241177235",1,35,,0.4512,0.0080,2436,,0.0000,0.0000,0.0032,,
"F7","W04241177235",2,5000,,0.0003,0.0009,886,,0.0000,0.0000,0.0032,,
"F8","W01241177252",1,35,,0.3969,0.0080,2115,,0.9762,5.7143,1.0603,,
"F8","W01241177252",2,215,3.1,0.2375,0.0299,2156,,0.9762,5.7143,1.0603,,
"F8","W01241177252",3,230,2.1,0.1456,0.0203,2651,,0.9762,5.7143,1.0603,,
"F8","W01241177252",4,266,17.0,1.0493,0.1659,17846,,0.9762,5.7143,1.0603,,
"F8","W01241177252",5,287,77.9,4.2819,0.7601,63150,,0.9762,5.7143,1.0603,,
"F8","W01241177252",6,5000,,0.0021,0.0063,3421,,0.9762,5.7143,1.0603,,
"F9","W01241177253",1,35,,0.3744,0.0080,1563,,0.3435,2.2050,0.3574,,
"F9","W01241177253",2,47,2.2,0.2335,0.0076,1094,,0.3435,2.2050,0.3574,,
"F9","W01241177253",3,260,8.4,0.1862,0.0289,2707,,0.3435,2.2050,0.3574,,
"F9","W01241177253",4,284,87.4,1.7505,0.3001,54823,,0.3435,2.2050,0.3574,,
"F9","W01241177253",5,329,2.0,0.0348,0.0069,1311,,0.3435,2.2050,0.3574,,
"F9","W01241177253",6,5000,,0.0025,0.0076,2713,,0.3435,2.2050,0.3574,,
"F10","W01241177334",1,35,,0.3641,0.0080,1721,,1.4481,5.7414,1.5140,,
"F10","W01241177334",2,409,100.0,5.7414,1.4481,45438,,1.4481,5.7414,1.5140,,
"F10","W01241177334",3,5000,,0.0033,0.0102,3369,,1.4481,5.7414,1.5140,,
"F11","W01241177335",1,35,,0.4092,0.0080,1829,,0.9667,3.9565,0.9674,,
"F11","W01241177335",2,395,100.0,3.9565,0.9667,41477,,0.9667,3.9565,0.9674,,
"F11","W01241177335",3,5000,,0.0013,0.0042,1836,,0.9667,3.9565,0.9674,,
"F12","W01241177786",1,35,,0.3744,0.0080,1444,,0.2748,1.1447,0.2729,,
"F12","W01241177786",2,347,19.8,0.2751,0.0545,2183,,0.2748,1.1447,0.2729,,
"F12","W01241177786",3,391,46.7,0.5458,0.1284,2643,,0.2748,1.1447,0.2729,,
"F12","W01241177786",4,423,33.4,0.3239,0.0919,2473,,0.2748,1.1447,0.2729,,
"F12","W01241177786",5,5000,,0.0023,0.0070,2321,,0.2748,1.1447,0.2729,,
"G1","W01241177787",1,35,,0.3744,0.0080,1431,,0.2291,1.4494,0.2291,,
"G1","W01241177787",2,262,100.0,1.4494,0.2291,21313,,0.2291,1.4494,0.2291,,
"G1","W01241177787",3,5000,,0.0022,0.0066,2557,,0.2291,1.4494,0.2291,,
"G2","W01241177793",1,35,,0.3744,0.0080,1805,,0.9580,4.5708,0.9987,,
"G2","W01241177793",2,201,5.2,0.4187,0.0494,2906,,0.9580,4.5708,0.9987,,
"G2","W01241177793",3,358,94.8,4.1521,0.9086,62093,,0.9580,4.5708,0.9987,,
"G2","W01241177793",4,5000,,0.0023,0.0070,2197,,0.9580,4.5708,0.9987,,
"G3","W01241177794",1,35,,0.3744,0.0080,1742,,1.3055,6.0593,1.3086,,
"G3","W01241177794",2,202,1.9,0.2085,0.0252,1407,,1.3055,6.0593,1.3086,,
"G3","W01241177794",3,291,1.9,0.1461,0.0250,1732,,1.3055,6.0593,1.3086,,
"G3","W01241177794",4,358,96.1,5.7047,1.2553,61961,,1.3055,6.0593,1.3086,,
"G3","W01241177794",5,5000,,0.0015,0.0047,1088,,1.3055,6.0593,1.3086,,
"G4","W01241177814",1,35,,0.3641,0.0080,1519,,0.0000,0.0000,0.1333,,
"G4","W01241177814",2,5000,,0.0027,0.0082,2576,,0.0000,0.0000,0.1333,,
"G5:","",1,35,,0.3744,0.0080,747,,0.0000,0.0000,0.0265,,
"G5:","",2,5000,,0.0022,0.0067,986,,0.0000,0.0000,0.0265,,
"G6:","",1,35,,0.3744,0.0080,772,,0.0000,0.0000,0.0107,,
"G6:","",2,5000,,0.0022,0.0066,1000,,0.0000,0.0000,0.0107,,
"G7:","",1,35,,0.3744,0.0080,1301,,0.0000,0.0000,0.0062,,
"G7:","",2,5000,,0.0024,0.0072,1799,,0.0000,0.0000,0.0062,,
"G8:","",1,35,,0.3744,0.0080,1721,,0.0000,0.0000,0.0007,,
"G8:","",2,5000,,0.0026,0.0080,2558,,0.0000,0.0000,0.0007,,
"G9:","",1,35,,0.3744,0.0080,613,,0.0000,0.0000,0.0000,,
"G9:","",2,5000,,0.0019,0.0059,767,,0.0000,0.0000,0.0000,,
"G10:","",1,35,,0.3744,0.0080,1702,,0.0000,0.0000,0.0017,,
"G10:","",2,5000,,0.0024,0.0073,2451,,0.0000,0.0000,0.0017,,
"G11:","",1,35,,0.3853,0.0080,1965,,0.0000,0.0000,0.0011,,
"G11:","",2,5000,,0.0031,0.0094,3647,,0.0000,0.0000,0.0011,,
"G12:","",1,35,,0.3744,0.0080,1657,,0.0000,0.0000,0.0023,,
"G12:","",2,5000,,0.0028,0.0084,2697,,0.0000,0.0000,0.0023,,
"H1:","",1,35,,0.3744,0.0080,1821,,0.0000,0.0000,0.0003,,
"H1:","",2,5000,,0.0027,0.0081,2791,,0.0000,0.0000,0.0003,,
"H2:","",1,35,,0.3744,0.0080,1528,,0.0000,0.0000,0.0039,,
"H2:","",2,5000,,0.0029,0.0087,2552,,0.0000,0.0000,0.0039,,
"H3:","",1,35,,0.3744,0.0080,1785,,0.0000,0.0000,0.0018,,
"H3:","",2,5000,,0.0029,0.0087,2980,,0.0000,0.0000,0.0018,,
"H4:","",1,35,,0.3744,0.0080,1737,,0.0000,0.0000,0.0011,,
"H4:","",2,5000,,0.0030,0.0092,3088,,0.0000,0.0000,0.0011,,
"H5:","",1,35,,0.3744,0.0080,1609,,0.0000,0.0000,0.0028,,
"H5:","",2,5000,,0.0029,0.0089,2756,,0.0000,0.0000,0.0028,,
"H6:","",1,35,,0.3853,0.0080,1535,,0.0000,0.0000,0.0015,,
"H6:","",2,5000,,0.0028,0.0084,2207,,0.0000,0.0000,0.0015,,
"H7:","",1,35,,0.3744,0.0080,1228,,0.0000,0.0000,0.0047,,
"H7:","",2,5000,,0.0019,0.0058,1443,,0.0000,0.0000,0.0047,,
"H8:","",1,35,,0.3744,0.0080,1815,,0.0000,0.0000,0.0000,,
"H8:","",2,5000,,0.0033,0.0100,3556,,0.0000,0.0000,0.0000,,
"H9:","",1,35,,0.3744,0.0080,816,,0.0000,0.0000,0.0025,,
"H9:","",2,5000,,0.0021,0.0065,1048,,0.0000,0.0000,0.0025,,
"H10:","",1,35,,0.3744,0.0080,1593,,0.0000,0.0000,0.0035,,
"H10:","",2,5000,,0.0026,0.0078,2410,,0.0000,0.0000,0.0035,,
"H11:","",1,35,,0.3744,0.0080,1560,,0.0000,0.0000,0.0026,,
"H11:","",2,5000,,0.0025,0.0077,2234,,0.0000,0.0000,0.0026,,
"H12:","",1,35,,0.3641,0.0080,1708,,2.0160,6.8827,2.0838,,
"H12:","",2,100,5.9,1.9569,0.1192,37643,,2.0160,6.8827,2.0838,,
"H12:","",3,200,5.9,0.9765,0.1194,39638,,2.0160,6.8827,2.0838,,
"H12:","",4,300,6.6,0.7214,0.1324,43126,,2.0160,6.8827,2.0838,,
"H12:","",5,400,6.6,0.5472,0.1334,42908,,2.0160,6.8827,2.0838,,
"H12:","",6,500,8.7,0.5794,0.1761,53720,,2.0160,6.8827,2.0838,,
"H12:","",7,600,6.3,0.3496,0.1274,43796,,2.0160,6.8827,2.0838,,
"H12:","",8,700,6.1,0.2900,0.1234,42840,,2.0160,6.8827,2.0838,,
"H12:","",9,800,6.6,0.2754,0.1337,43888,,2.0160,6.8827,2.0838,,
"H12:","",10,900,6.5,0.2400,0.1311,43656,,2.0160,6.8827,2.0838,,
"H12:","",11,1000,10.7,0.3555,0.2164,58834,,2.0160,6.8827,2.0838,,
"H12:","",12,1200,7.7,0.2111,0.1549,45428,,2.0160,6.8827,2.0838,,
"H12:","",13,1500,9.2,0.1988,0.1848,50233,,2.0160,6.8827,2.0838,,
"H12:","",14,2000,7.0,0.1143,0.1411,44204,,2.0160,6.8827,2.0838,,
"H12:","",15,3000,6.1,0.0667,0.1228,41607,,2.0160,6.8827,2.0838,,
"H12:","",16,5000,,0.0016,0.0048,1904,,2.0160,6.8827,2.0838,,
