Ladder Size (bp),Time (sec)
35,1162
100,1232
200,1367
300,1505
400,1626
500,1743
600,1826
700,1896
800,1939
900,1976
1000,1999
1200,2035
1500,2064
2000,2110
3000,2162
5000,2247
