Ladder Size (bp),Time (sec)
35,1104
100,1170
200,1297
300,1426
400,1543
500,1658
600,1744
700,1816
800,1862
900,1900
1000,1925
1200,1962
1500,1993
2000,2043
3000,2099
5000,2182
