Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN
A1,W01241176964,100 bp to 150 bp,0.0000,0.0,0.0001,120,0.48,300,9.5
A1,W01241176964,150 bp to 260 bp,0.0006,1.2,0.0042,246,4.48,300,9.5
A1,W01241176964,200 bp to 4000 bp,0.0541,99.6,0.1675,531,57.51,300,9.5
A1,W01241176964,650 bp to 4000 bp,0.0106,19.6,0.0198,881,60.15,300,9.5
A2,W06241177339,100 bp to 150 bp,0.0028,13.2,0.0321,141,7.91,300,N/A (Size threshold is less than lower marker end point)
A2,W06241177339,150 bp to 260 bp,0.0028,13.2,0.0260,175,2.53,300,N/A (Size threshold is less than lower marker end point)
A2,W06241177339,200 bp to 4000 bp,0.0028,13.2,0.0071,642,28.28,300,N/A (Size threshold is less than lower marker end point)
A2,W06241177339,650 bp to 4000 bp,0.0028,13.2,0.0057,793,27.22,300,N/A (Size threshold is less than lower marker end point)
A3,W06241177341,100 bp to 150 bp,0.0033,3.2,0.0403,133,10.33,300,4.0
A3,W06241177341,150 bp to 260 bp,0.0528,51.6,0.4172,208,12.33,300,4.0
A3,W06241177341,200 bp to 4000 bp,0.0785,76.7,0.3941,328,66.13,300,4.0
A3,W06241177341,650 bp to 4000 bp,0.0003,0.3,0.0001,3558,12.90,300,4.0
A4,W06241177342,100 bp to 150 bp,0.0005,1.1,0.0062,141,5.46,300,6.2
A4,W06241177342,150 bp to 260 bp,0.0151,29.8,0.1209,205,12.33,300,6.2
A4,W06241177342,200 bp to 4000 bp,0.0437,86.2,0.1990,361,75.84,300,6.2
A4,W06241177342,650 bp to 4000 bp,0.0003,0.6,0.0002,3340,18.41,300,6.2
A5,W06241177359,100 bp to 150 bp,0.0000,0.0,0.0003,143,2.10,300,9.2
A5,W06241177359,150 bp to 260 bp,0.0030,4.4,0.0226,218,11.02,300,9.2
A5,W06241177359,200 bp to 4000 bp,0.0676,98.6,0.2592,429,71.52,300,9.2
A5,W06241177359,650 bp to 4000 bp,0.0009,1.3,0.0005,2770,40.58,300,9.2
A6,W06241177362,100 bp to 150 bp,0.0001,0.1,0.0007,147,2.58,300,7.2
A6,W06241177362,150 bp to 260 bp,0.0154,23.5,0.1158,218,10.76,300,7.2
A6,W06241177362,200 bp to 4000 bp,0.0619,94.5,0.2442,417,80.41,300,7.2
A6,W06241177362,650 bp to 4000 bp,0.0012,1.9,0.0009,2286,51.78,300,7.2
A7,W06241177370,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,4.5
A7,W06241177370,150 bp to 260 bp,0.0015,15.7,0.0099,245,5.40,300,4.5
A7,W06241177370,200 bp to 4000 bp,0.0093,99.2,0.0351,437,149.07,300,4.5
A7,W06241177370,650 bp to 4000 bp,0.0004,4.6,0.0002,3310,16.56,300,4.5
A8,W01241178030,100 bp to 150 bp,0.0000,0.0,0.0004,111,6.12,300,5.6
A8,W01241178030,150 bp to 260 bp,0.0190,15.0,0.1280,244,5.73,300,5.6
A8,W01241178030,200 bp to 4000 bp,0.1259,99.4,0.6004,345,78.64,300,5.6
A8,W01241178030,650 bp to 4000 bp,0.0010,0.8,0.0005,3267,16.86,300,5.6
A9,W01241178031,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,5.3
A9,W01241178031,150 bp to 260 bp,0.0060,14.8,0.0402,246,4.61,300,5.3
A9,W01241178031,200 bp to 4000 bp,0.0406,99.7,0.1958,341,87.67,300,5.3
A9,W01241178031,650 bp to 4000 bp,0.0004,0.9,0.0002,3336,21.28,300,5.3
A10,W01241178032,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,10.0
A10,W01241178032,150 bp to 260 bp,0.0000,0.0,NaN,NaN,NaN,300,10.0
