Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),,
"A1","W01241176964",1,35,,0.8227,0.0176,2230,,0.0000,0.0000,0.0543,,
"A1","W01241176964",2,5000,,0.0061,0.0186,2880,,0.0000,0.0000,0.0543,,
"A2","W06241177339",1,5000,,0.1655,0.0176,1875,,0.0000,0.0000,0.0209,,
"A2","W06241177339",,,,,,,,0.0000,0.0000,0.0209,,
"A3","W06241177341",1,35,,0.8000,0.0176,1681,,0.0000,0.0000,0.1023,,
"A3","W06241177341",2,5000,,0.0038,0.0116,1721,,0.0000,0.0000,0.1023,,
"A4","W06241177342",1,35,,0.8227,0.0176,1248,,0.0000,0.0000,0.0507,,
"A4","W06241177342",2,5000,,0.0057,0.0174,1433,,0.0000,0.0000,0.0507,,
"A5","W06241177359",1,35,,0.8227,0.0176,2272,,0.0000,0.0000,0.0685,,
"A5","W06241177359",2,5000,,0.0054,0.0165,2507,,0.0000,0.0000,0.0685,,
"A6","W06241177362",1,35,,0.8227,0.0176,2061,,0.0000,0.0000,0.0655,,
"A6","W06241177362",2,5000,,0.0065,0.0198,2751,,0.0000,0.0000,0.0655,,
"A7","W06241177370",1,35,,0.8227,0.0176,1701,,0.0000,0.0000,0.0094,,
"A7","W06241177370",2,5000,,0.0059,0.0180,2059,,0.0000,0.0000,0.0094,,
"A8","W01241178030",1,35,,0.8227,0.0176,1468,,0.0000,0.0000,0.1266,,
"A8","W01241178030",2,5000,,0.0055,0.0167,1615,,0.0000,0.0000,0.1266,,
"A9","W01241178031",1,35,,0.8227,0.0176,2201,,0.0000,0.0000,0.0407,,
"A9","W01241178031",2,5000,,0.0060,0.0182,2696,,0.0000,0.0000,0.0407,,
"A10","W01241178032",1,35,,0.8227,0.0176,1968,,0.0000,0.0000,0.0006,,
"A10","W01241178032",2,5000,,0.0057,0.0174,2251,,0.0000,0.0000,0.0006,,
"A11","W01241178033",1,35,,0.8227,0.0176,2144,,0.0000,0.0000,0.0006,,
"A11","W01241178033",2,5000,,0.0062,0.0187,2611,,0.0000,0.0000,0.0006,,
"A12","W01241178034",1,35,,0.8227,0.0176,2249,,0.0000,0.0000,0.0010,,
"A12","W01241178034",2,5000,,0.0059,0.0181,2666,,0.0000,0.0000,0.0010,,
"B1","W01241178035",1,35,,0.8227,0.0176,2174,,0.0000,0.0000,0.0004,,
"B1","W01241178035",2,5000,,0.0055,0.0166,2466,,0.0000,0.0000,0.0004,,
"B2","W01241178036",1,35,,0.8227,0.0176,1845,,0.0000,0.0000,0.0007,,
"B2","W01241178036",2,5000,,0.0050,0.0152,1846,,0.0000,0.0000,0.0007,,
"B3","W01241178037",1,35,,0.8227,0.0176,1672,,0.0000,0.0000,0.0004,,
"B3","W01241178037",2,5000,,0.0058,0.0177,1950,,0.0000,0.0000,0.0004,,
"B4","W01241178038",1,35,,0.8227,0.0176,2202,,0.0000,0.0000,0.0009,,
