Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),,
"A1","W14241174645",1,35,,0.5940,0.0127,1843,,0.0264,0.9387,0.1236,,
"A1","W14241174645",2,46,100.0,0.9387,0.0264,4570,,0.0264,0.9387,0.1236,,
"A1","W14241174645",3,5000,,0.0039,0.0119,2570,,0.0264,0.9387,0.1236,,
"A2","W01241174754",1,35,,0.5621,0.0127,1739,,0.0000,0.0000,0.8267,,
"A2","W01241174754",2,5000,,0.0031,0.0095,2355,,0.0000,0.0000,0.8267,,
"A3","W14241175244",1,35,,0.5940,0.0127,586,,12.1497,40.6347,12.2664,,
"A3","W14241175244",2,452,100.0,40.6347,12.1497,15644,,12.1497,40.6347,12.2664,,
"A3","W14241175244",3,5000,,0.0168,0.0511,2869,,12.1497,40.6347,12.2664,,
"A4","W14241175955",1,35,,0.6114,0.0127,1838,,1.3675,6.0973,1.4467,,
"A4","W14241175955",2,346,100.0,6.0973,1.3675,9386,,1.3675,6.0973,1.4467,,
"A4","W14241175955",3,5000,,0.0044,0.0135,2719,,1.3675,6.0973,1.4467,,
"A5","SampA5",1,35,,0.5940,0.0127,1897,,0.0000,0.0000,0.0123,,
"A5","SampA5",2,5000,,0.0039,0.0117,2443,,0.0000,0.0000,0.0123,,
"A6","SampA6",1,35,,0.5940,0.0127,1508,,0.0000,0.0000,0.0096,,
"A6","SampA6",2,5000,,0.0046,0.0141,2365,,0.0000,0.0000,0.0096,,
"A7","SampA7",1,35,,0.5940,0.0127,1155,,0.0000,0.0000,0.0108,,
"A7","SampA7",2,5000,,0.0038,0.0116,1490,,0.0000,0.0000,0.0108,,
"A8","SampA8",1,35,,0.5940,0.0127,1953,,0.0000,0.0000,0.0035,,
"A8","SampA8",2,5000,,0.0046,0.0141,2955,,0.0000,0.0000,0.0035,,
"A9","SampA9",1,35,,0.5940,0.0127,1685,,0.0000,0.0000,0.0034,,
"A9","SampA9",2,5000,,0.0036,0.0110,2052,,0.0000,0.0000,0.0034,,
"A10","SampA10",1,35,,0.5940,0.0127,1502,,0.0000,0.0000,0.0024,,
"A10","SampA10",2,5000,,0.0039,0.0119,1930,,0.0000,0.0000,0.0024,,
"A11","SampA11",1,35,,0.5940,0.0127,1410,,0.0000,0.0000,0.0040,,
"A11","SampA11",2,5000,,0.0039,0.0117,1857,,0.0000,0.0000,0.0040,,
"A12","SampA12",1,35,,0.5940,0.0127,1950,,0.0000,0.0000,0.0008,,
"A12","SampA12",2,5000,,0.0041,0.0123,2578,,0.0000,0.0000,0.0008,,
"B1","W14241174647",1,35,,0.5940,0.0127,1842,,0.0000,0.0000,0.1821,,
"B1","W14241174647",2,5000,,0.0038,0.0117,2410,,0.0000,0.0000,0.1821,,
"B2","W14241174898",1,35,,0.5940,0.0127,8061,,0.0126,0.0993,0.0833,,
"B2","W14241174898",2,192,100.0,0.0993,0.0126,2293,,0.0126,0.0993,0.0833,,
"B2","W14241174898",3,5000,,0.0007,0.0020,2648,,0.0126,0.0993,0.0833,,
"B3","W01241175743",1,35,,0.6114,0.0127,3548,,0.3331,0.9016,0.3475,,
"B3","W01241175743",2,354,19.2,0.2976,0.0639,1786,,0.3331,0.9016,0.3475,,
"B3","W01241175743",3,530,24.9,0.2593,0.0830,2765,,0.3331,0.9016,0.3475,,
"B3","W01241175743",4,730,22.9,0.1738,0.0762,3809,,0.3331,0.9016,0.3475,,
"B3","W01241175743",5,955,19.1,0.1110,0.0637,4723,,0.3331,0.9016,0.3475,,
"B3","W01241175743",6,1189,13.9,0.0599,0.0463,4137,,0.3331,0.9016,0.3475,,
"B3","W01241175743",7,5000,,0.0016,0.0048,2623,,0.3331,0.9016,0.3475,,
"B4","W14241175956",1,35,,0.5621,0.0127,1725,,1.1188,5.0845,1.1666,,
"B4","W14241175956",2,339,100.0,5.0845,1.1188,9512,,1.1188,5.0845,1.1666,,
"B4","W14241175956",3,5000,,0.0036,0.0110,2134,,1.1188,5.0845,1.1666,,
"B5","SampB5",1,35,,0.5777,0.0127,1542,,0.0000,0.0000,0.0125,,
"B5","SampB5",2,5000,,0.0043,0.0130,2289,,0.0000,0.0000,0.0125,,
"B6","SampB6",1,35,,0.5940,0.0127,1250,,0.0000,0.0000,0.0112,,
"B6","SampB6",2,5000,,0.0047,0.0142,1752,,0.0000,0.0000,0.0112,,
"B7","SampB7",1,35,,0.5777,0.0127,1773,,0.0000,0.0000,0.0032,,
"B7","SampB7",2,5000,,0.0034,0.0102,2273,,0.0000,0.0000,0.0032,,
"B8","SampB8",1,35,,0.6700,0.0127,2900,,0.0057,0.0020,0.0111,,
"B8","SampB8",2,4586,100.0,0.0020,0.0057,1771,,0.0057,0.0020,0.0111,,
"B8","SampB8",3,5000,,0.0008,0.0026,676,,0.0057,0.0020,0.0111,,
"B9","SampB9",1,35,,0.5940,0.0127,1653,,0.0000,0.0000,0.0118,,
"B9","SampB9",2,5000,,0.0038,0.0116,2073,,0.0000,0.0000,0.0118,,
"B10","SampB10",1,35,,0.5621,0.0127,1753,,0.0000,0.0000,0.0109,,
"B10","SampB10",2,5000,,0.0033,0.0101,2425,,0.0000,0.0000,0.0109,,
"B11","SampB11",1,35,,0.6114,0.0127,1783,,0.0000,0.0000,0.0176,,
"B11","SampB11",2,5000,,0.0040,0.0121,2360,,0.0000,0.0000,0.0176,,
"B12","SampB12",1,35,,80.5725,0.0127,784,,0.0000,0.0000,0.0037,,
"B12","SampB12",2,5000,,0.0002,0.0005,541,,0.0000,0.0000,0.0037,,
"C1","W14241174649",1,35,,0.5940,0.0127,1046,,0.0145,0.4945,0.2420,,
"C1","W14241174649",2,47,100.0,0.4945,0.0145,1204,,0.0145,0.4945,0.2420,,
"C1","W14241174649",3,5000,,0.0037,0.0113,1236,,0.0145,0.4945,0.2420,,
"C2","W14241174911",1,35,,0.5203,0.0127,12443,,0.0000,0.0000,0.0250,,
"C2","W14241174911",2,5000,,0.0004,0.0012,2519,,0.0000,0.0000,0.0250,,
"C3","W01241175675",1,35,,0.6922,0.0127,7749,,1.5676,3.1666,1.5697,,
"C3","W01241175675",2,307,2.6,0.2548,0.0403,5022,,1.5676,3.1666,1.5697,,
"C3","W01241175675",3,376,3.6,0.2510,0.0561,5595,,1.5676,3.1666,1.5697,,
"C3","W01241175675",4,601,93.8,2.6608,1.4711,62656,,1.5676,3.1666,1.5697,,
"C3","W01241175675",5,5000,,0.0077,0.0271,7316,,1.5676,3.1666,1.5697,,
"C4","W14241175957",1,35,,80.5725,0.0127,4378,,0.0000,0.0000,0.0001,,
"C4","W14241175957",2,5000,,0.0002,0.0013,3315,,0.0000,0.0000,0.0001,,
"C5","SampC5",1,35,,80.5725,0.0127,2185,,0.0000,0.0000,0.0001,,
"C5","SampC5",2,5000,,0.0003,0.0018,1695,,0.0000,0.0000,0.0001,,
"C6","SampC6",1,5000,,0.0428,0.0127,1082,,0.0000,0.0000,0.0023,,
"C6","SampC6",,,,,,,,0.0000,0.0000,0.0023,,
"C7","SampC7",1,35,,0.5940,0.0127,1148,,0.0000,0.0000,0.0500,,
