Well,Sample ID,500 bp Fragment 500 +/- 10 bp
A1,W14241174645,0
A2,W01241174754,0
A3,W14241175244,0
A4,W14241175955,0
A5,SampA5,0
A6,SampA6,0
A7,SampA7,0
A8,SampA8,0
A9,SampA9,0
A10,SampA10,0
A11,SampA11,0
A12,SampA12,0
B1,W14241174647,0
B2,W14241174898,0
B3,W01241175743,0
B4,W14241175956,0
B5,SampB5,0
B6,SampB6,0
B7,SampB7,0
B8,SampB8,0
B9,SampB9,0
B10,SampB10,0
B11,SampB11,0
B12,SampB12,0
C1,W14241174649,0
C2,W14241174911,0
C3,W01241175675,0
C4,W14241175957,0
C5,SampC5,0
C6,SampC6,0
C7,SampC7,0
C8,SampC8,0
C9,SampC9,0
C10,SampC10,0
C11,SampC11,0
C12,SampC12,0
D1,W14241174650,0
D2,W14241174912,0
D3,W01241175745,0
D4,SampD4,0
D5,SampD5,0
D6,SampD6,0
D7,SampD7,0
D8,SampD8,0
D9,SampD9,0
D10,SampD10,0
D11,SampD11,0
D12,SampD12,0
E1,W14241174651,0
E2,W14241174913,0
E3,W14241175948,0
E4,SampE4,0
E5,SampE5,0
E6,SampE6,0
E7,SampE7,0
E8,SampE8,0
E9,SampE9,0
E10,SampE10,0
E11,SampE11,0
E12,SampE12,0
F1,W14241174656,0
F2,W14241174914,0
F3,W14241175949,0
F4,SampF4,0
F5,SampF5,0
F6,SampF6,0
F7,SampF7,0
F8,SampF8,0
F9,SampF9,0
F10,SampF10,0
F11,SampF11,0
F12,SampF12,0
G1,W14241174667,0
G2,W14241174915,0
G3,W14241175950,0
G4,SampG4,0
G5,SampG5,0
G6,SampG6,0
G7,SampG7,0
G8,SampG8,0
G9,SampG9,0
G10,SampG10,0
G11,SampG11,0
G12,SampG12,0
H1,W01241174753,0
H2,W14241174916,0
H3,W14241175954,0
H4,SampH4,0
H5,SampH5,0
H6,SampH6,0
H7,SampH7,0
H8,SampH8,0
H9,SampH9,0
H10,SampH10,0
H11,SampH11,1
H12,SampH12,
