Ladder Size (bp),Time (sec)
35,1088
100,1146
200,1260
300,1381
400,1489
500,1598
600,1680
700,1750
800,1796
900,1834
1000,1859
1200,1896
1500,1927
2000,1974
3000,2027
5000,2110
