Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN
A1,W14241174645,100 bp to 160 bp,0.0000,0.0,0.0005,147,0.96,300,4.9
A1,W14241174645,160 bp to 3000 bp,0.0966,78.2,0.4342,366,60.12,300,4.9
A1,W14241174645,100 bp to 3000 bp,0.0967,78.2,0.4345,366,60.14,300,4.9
A1,W14241174645,1000 bp to 3000 bp,0.0014,1.1,0.0012,1927,29.41,300,4.9
A2,W01241174754,100 bp to 160 bp,0.0480,5.8,0.5569,142,10.29,300,5.0
A2,W01241174754,160 bp to 3000 bp,0.7776,94.1,3.7609,340,48.92,300,5.0
A2,W01241174754,100 bp to 3000 bp,0.8240,99.7,4.1201,329,51.08,300,5.0
A2,W01241174754,1000 bp to 3000 bp,0.0049,0.6,0.0050,1622,34.14,300,5.0
A3,W14241175244,100 bp to 160 bp,0.0046,0.0,0.0527,145,10.74,300,9.9
A3,W14241175244,160 bp to 3000 bp,12.2045,99.5,40.7538,493,22.31,300,9.9
A3,W14241175244,100 bp to 3000 bp,12.2090,99.5,40.7799,493,22.35,300,9.9
A3,W14241175244,1000 bp to 3000 bp,0.0150,0.1,0.0150,1648,32.95,300,9.9
A4,W14241175955,100 bp to 160 bp,0.0006,0.0,0.0074,145,2.46,300,8.8
A4,W14241175955,160 bp to 3000 bp,1.4439,99.8,5.5985,424,65.34,300,8.8
A4,W14241175955,100 bp to 3000 bp,1.4445,99.9,5.6028,424,65.36,300,8.8
A4,W14241175955,1000 bp to 3000 bp,0.0521,3.6,0.0508,1688,29.00,300,8.8
A5,SampA5,100 bp to 160 bp,0.0000,0.0,NaN,NaN,NaN,300,9.4
A5,SampA5,160 bp to 3000 bp,0.0117,94.6,0.0310,619,89.39,300,9.4
A5,SampA5,100 bp to 3000 bp,0.0117,94.6,0.0310,619,89.39,300,9.4
A5,SampA5,1000 bp to 3000 bp,0.0014,11.7,0.0012,1967,27.74,300,9.4
A6,SampA6,100 bp to 160 bp,0.0000,0.0,NaN,NaN,NaN,300,9.8
A6,SampA6,160 bp to 3000 bp,0.0089,92.6,0.0220,666,88.48,300,9.8
A6,SampA6,100 bp to 3000 bp,0.0089,92.6,0.0220,666,88.48,300,9.8
A6,SampA6,1000 bp to 3000 bp,0.0012,12.8,0.0010,2034,24.95,300,9.8
A7,SampA7,100 bp to 160 bp,0.0000,0.0,NaN,NaN,NaN,300,9.7
A7,SampA7,160 bp to 3000 bp,0.0102,94.3,0.0263,638,85.49,300,9.7
A7,SampA7,100 bp to 3000 bp,0.0102,94.3,0.0263,638,85.49,300,9.7
A7,SampA7,1000 bp to 3000 bp,0.0012,11.5,0.0010,1983,26.87,300,9.7
A8,SampA8,100 bp to 160 bp,0.0000,0.0,NaN,NaN,NaN,300,10.0
A8,SampA8,160 bp to 3000 bp,0.0027,76.2,0.0034,1288,67.24,300,10.0
A8,SampA8,100 bp to 3000 bp,0.0027,76.2,0.0034,1288,67.24,300,10.0
A8,SampA8,1000 bp to 3000 bp,0.0015,41.7,0.0012,1981,27.50,300,10.0
A9,SampA9,100 bp to 160 bp,0.0000,0.0,NaN,NaN,NaN,300,9.7
A9,SampA9,160 bp to 3000 bp,0.0029,83.6,0.0046,1030,79.57,300,9.7
A9,SampA9,100 bp to 3000 bp,0.0029,83.6,0.0046,1030,79.57,300,9.7
A9,SampA9,1000 bp to 3000 bp,0.0011,31.3,0.0009,2005,26.41,300,9.7
A10,SampA10,100 bp to 160 bp,0.0000,0.0,NaN,NaN,NaN,300,10.0
A10,SampA10,160 bp to 3000 bp,0.0016,68.5,0.0019,1410,68.42,300,10.0
A10,SampA10,100 bp to 3000 bp,0.0016,68.5,0.0019,1410,68.42,300,10.0
A10,SampA10,1000 bp to 3000 bp,0.0009,37.6,0.0007,2205,23.73,300,10.0
A11,SampA11,100 bp to 160 bp,0.0000,0.0,NaN,NaN,NaN,300,9.8
A11,SampA11,160 bp to 3000 bp,0.0032,80.8,0.0055,974,85.20,300,9.8
A11,SampA11,100 bp to 3000 bp,0.0032,80.8,0.0055,974,85.20,300,9.8
A11,SampA11,1000 bp to 3000 bp,0.0011,28.0,0.0009,2004,28.13,300,9.8
A12,SampA12,100 bp to 160 bp,0.0000,0.0,NaN,NaN,NaN,300,10.0
A12,SampA12,160 bp to 3000 bp,0.0003,43.0,0.0002,2353,18.67,300,10.0
A12,SampA12,100 bp to 3000 bp,0.0003,43.0,0.0002,2353,18.67,300,10.0
A12,SampA12,1000 bp to 3000 bp,0.0003,43.0,0.0002,2353,18.67,300,10.0
B1,W14241174647,100 bp to 160 bp,0.0001,0.0,0.0009,143,1.59,300,4.5
B1,W14241174647,160 bp to 3000 bp,0.1706,93.7,0.8992,312,40.72,300,4.5
B1,W14241174647,100 bp to 3000 bp,0.1707,93.7,0.8999,312,40.74,300,4.5
B1,W14241174647,1000 bp to 3000 bp,0.0005,0.3,0.0004,2226,21.47,300,4.5
B2,W14241174898,100 bp to 160 bp,0.0000,0.0,0.0000,161,0.00,300,7.4
B2,W14241174898,160 bp to 3000 bp,0.0831,99.8,0.3023,452,48.31,300,7.4
B2,W14241174898,100 bp to 3000 bp,0.0831,99.8,0.3023,452,48.31,300,7.4
B2,W14241174898,1000 bp to 3000 bp,0.0015,1.8,0.0019,1268,31.44,300,7.4
B3,W01241175743,100 bp to 160 bp,0.0001,0.0,0.0007,153,6.49,300,9.4
B3,W01241175743,160 bp to 3000 bp,0.3394,97.7,0.7820,714,45.27,300,9.4
B3,W01241175743,100 bp to 3000 bp,0.3395,97.7,0.7822,714,45.29,300,9.4
B3,W01241175743,1000 bp to 3000 bp,0.0622,17.9,0.0831,1232,18.74,300,9.4
B4,W14241175956,100 bp to 160 bp,0.0003,0.0,0.0033,148,3.93,300,8.5
B4,W14241175956,160 bp to 3000 bp,1.1650,99.9,4.7985,399,56.22,300,8.5
B4,W14241175956,100 bp to 3000 bp,1.1653,99.9,4.8004,399,56.23,300,8.5
B4,W14241175956,1000 bp to 3000 bp,0.0278,2.4,0.0281,1628,29.29,300,8.5
B5,SampB5,100 bp to 160 bp,0.0000,0.1,0.0001,135,16.15,300,9.2
B5,SampB5,160 bp to 3000 bp,0.0121,96.5,0.0356,557,89.23,300,9.2
B5,SampB5,100 bp to 3000 bp,0.0121,96.6,0.0357,557,89.27,300,9.2
B5,SampB5,1000 bp to 3000 bp,0.0014,10.9,0.0012,1836,29.10,300,9.2
B6,SampB6,100 bp to 160 bp,0.0000,0.0,NaN,NaN,NaN,300,9.3
B6,SampB6,160 bp to 3000 bp,0.0104,93.4,0.0283,606,90.54,300,9.3
B6,SampB6,100 bp to 3000 bp,0.0104,93.4,0.0283,606,90.54,300,9.3
B6,SampB6,1000 bp to 3000 bp,0.0014,12.2,0.0012,1875,30.90,300,9.3
B7,SampB7,100 bp to 160 bp,0.0000,0.0,NaN,NaN,NaN,300,9.8
B7,SampB7,160 bp to 3000 bp,0.0025,78.6,0.0041,1008,84.38,300,9.8
B7,SampB7,100 bp to 3000 bp,0.0025,78.6,0.0041,1008,84.38,300,9.8
B7,SampB7,1000 bp to 3000 bp,0.0009,27.5,0.0007,2076,24.82,300,9.8
B8,SampB8,100 bp to 160 bp,0.0000,0.0,0.0000,157,4.11,300,9.7
B8,SampB8,160 bp to 3000 bp,0.0050,44.9,0.0113,731,88.42,300,9.7
B8,SampB8,100 bp to 3000 bp,0.0050,44.9,0.0113,731,88.42,300,9.7
B8,SampB8,1000 bp to 3000 bp,0.0009,8.5,0.0008,1958,28.40,300,9.7
B9,SampB9,100 bp to 160 bp,0.0000,0.0,NaN,NaN,NaN,300,9.9
B9,SampB9,160 bp to 3000 bp,0.0110,93.3,0.0292,619,84.11,300,9.9
B9,SampB9,100 bp to 3000 bp,0.0110,93.3,0.0292,619,84.11,300,9.9
B9,SampB9,1000 bp to 3000 bp,0.0012,10.5,0.0010,1965,28.04,300,9.9
B10,SampB10,100 bp to 160 bp,0.0000,0.0,NaN,NaN,NaN,300,9.8
B10,SampB10,160 bp to 3000 bp,0.0103,94.1,0.0250,674,76.81,300,9.8
B10,SampB10,100 bp to 3000 bp,0.0103,94.1,0.0250,674,76.81,300,9.8
B10,SampB10,1000 bp to 3000 bp,0.0013,11.6,0.0011,1926,28.83,300,9.8
B11,SampB11,100 bp to 160 bp,0.0000,0.0,NaN,NaN,NaN,300,9.9
B11,SampB11,160 bp to 3000 bp,0.0169,96.1,0.0499,556,78.76,300,9.9
B11,SampB11,100 bp to 3000 bp,0.0169,96.1,0.0499,556,78.76,300,9.9
B11,SampB11,1000 bp to 3000 bp,0.0012,6.9,0.0010,2030,25.86,300,9.9
B12,SampB12,100 bp to 160 bp,0.0030,80.7,0.0382,128,13.39,300,2.4
B12,SampB12,160 bp to 3000 bp,0.0029,79.5,0.0146,331,96.09,300,2.4
B12,SampB12,100 bp to 3000 bp,0.0059,158.7,0.0426,226,107.84,300,2.4
B12,SampB12,1000 bp to 3000 bp,0.0001,3.5,0.0001,1696,33.34,300,2.4
C1,W14241174649,100 bp to 160 bp,0.0002,0.1,0.0019,152,3.06,300,7.3
C1,W14241174649,160 bp to 3000 bp,0.2265,93.6,0.8814,423,47.06,300,7.3
C1,W14241174649,100 bp to 3000 bp,0.2266,93.7,0.8825,423,47.09,300,7.3
C1,W14241174649,1000 bp to 3000 bp,0.0029,1.2,0.0027,1743,32.98,300,7.3
C2,W14241174911,100 bp to 160 bp,0.0000,0.0,NaN,NaN,NaN,300,8.4
C2,W14241174911,160 bp to 3000 bp,0.0248,99.5,0.0782,522,53.72,300,8.4
C2,W14241174911,100 bp to 3000 bp,0.0248,99.5,0.0782,522,53.72,300,8.4
C2,W14241174911,1000 bp to 3000 bp,0.0014,5.8,0.0018,1342,29.40,300,8.4
C3,W01241175675,100 bp to 160 bp,0.0034,0.2,0.0388,143,6.73,300,9.8
C3,W01241175675,160 bp to 3000 bp,1.5400,98.1,3.0814,823,46.81,300,9.8
