Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Size (bp),Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),DQN,Threshold
"B7","SampB7",1,35,,26.7873,0.6225,9129,35,,145.0461,538.7322,148.2684,9.6,300
"B7","SampB7",2,468,100.0,538.7322,145.0461,13105,468,,145.0461,538.7322,148.2684,9.6,300
"B7","SampB7",3,5000,,0.1640,0.5000,16228,5000,,145.0461,538.7322,148.2684,9.6,300
"B8","SampB8",1,35,,23.5431,0.5471,8591,35,,12.9429,45.6036,13.3819,9.7,300
"B8","SampB8",2,483,100.0,45.6036,12.9429,1061,483,,12.9429,45.6036,13.3819,9.7,300
"B8","SampB8",3,5000,,0.1641,0.5000,14980,5000,,12.9429,45.6036,13.3819,9.7,300
"B9","SampB9",1,35,,27.4968,0.6390,8853,35,,156.0542,584.8967,157.1776,9.6,300
"B9","SampB9",2,461,100.0,584.8967,156.0542,13108,461,,156.0542,584.8967,157.1776,9.6,300
"B9","SampB9",3,5000,,0.1646,0.5000,13943,5000,,156.0542,584.8967,157.1776,9.6,300
"B10","SampB10",1,35,,21.5945,0.4887,10046,35,,121.4185,455.0809,122.2220,9.5,300
"B10","SampB10",2,472,100.0,455.0809,121.4185,13379,472,,121.4185,455.0809,122.2220,9.5,300
"B10","SampB10",3,5000,,0.1647,0.5000,19441,5000,,121.4185,455.0809,122.2220,9.5,300
"B11","SampB11",1,35,,32.2732,0.7696,10367,35,,111.9667,398.7748,113.0663,9.8,300
"B11","SampB11",2,482,100.0,398.7748,111.9667,12187,482,,111.9667,398.7748,113.0663,9.8,300
"B11","SampB11",3,5000,,0.1641,0.5000,17920,5000,,111.9667,398.7748,113.0663,9.8,300
"B12","SampB12",1,35,,24.4962,0.5395,8510,35,,135.4783,478.9353,135.9068,9.7,300
"B12","SampB12",2,484,98.6,474.7247,133.5800,11650,484,,135.4783,478.9353,135.9068,9.7,300
"B12","SampB12",3,684,1.4,4.2106,1.8984,686,684,,135.4783,478.9353,135.9068,9.7,300
"B12","SampB12",4,5000,,0.1643,0.5000,14706,5000,,135.4783,478.9353,135.9068,9.7,300
"C1","SampC1",1,35,,23.1080,0.4949,8955,35,,124.8728,427.1825,125.3201,9.8,300
"C1","SampC1",2,491,100.0,427.1825,124.8728,11985,491,,124.8728,427.1825,125.3201,9.8,300
"C1","SampC1",3,5000,,0.1645,0.5000,14874,5000,,124.8728,427.1825,125.3201,9.8,300
"C2","SampC2",1,35,,23.2718,0.4984,9616,35,,142.4534,517.5552,142.9131,9.7,300
"C2","SampC2",2,61,0.5,20.4367,0.7604,1459,61,,142.4534,517.5552,142.9131,9.7,300
"C2","SampC2",3,486,99.5,497.1184,141.6929,14147,486,,142.4534,517.5552,142.9131,9.7,300
"C2","SampC2",4,5000,,0.1645,0.5000,16036,5000,,142.4534,517.5552,142.9131,9.7,300
"C3","SampC3",1,35,,33.3733,0.8161,8974,35,,256.5392,919.6454,257.7856,9.7,300
"C3","SampC3",2,486,100.0,919.6454,256.5392,20514,486,,256.5392,919.6454,257.7856,9.7,300
"C3","SampC3",3,5000,,0.1642,0.5000,12789,5000,,256.5392,919.6454,257.7856,9.7,300
"C4","SampC4",1,35,,46.9258,1.1190,8931,35,,29.7251,107.7317,30.1016,9.6,300
"C4","SampC4",2,476,100.0,107.7317,29.7251,2060,476,,29.7251,107.7317,30.1016,9.6,300
"C4","SampC4",3,5000,,0.1645,0.5000,12228,5000,,29.7251,107.7317,30.1016,9.6,300
"C5","SampC5",1,35,,28.7653,0.6685,9588,35,,163.6198,594.3110,164.0626,9.7,300
"C5","SampC5",2,478,100.0,594.3110,163.6198,13772,478,,163.6198,594.3110,164.0626,9.7,300
"C5","SampC5",3,5000,,0.1641,0.5000,14474,5000,,163.6198,594.3110,164.0626,9.7,300
"C6","SampC6",1,35,,30.4980,0.7643,11176,35,,217.9677,781.3738,218.9103,9.7,300
"C6","SampC6",2,491,100.0,781.3738,217.9677,26042,491,,217.9677,781.3738,218.9103,9.7,300
"C6","SampC6",3,5000,,0.1643,0.5000,19770,5000,,217.9677,781.3738,218.9103,9.7,300
"C7","SampC7",1,35,,33.0431,0.7478,10731,35,,142.1014,511.6353,142.5070,9.7,300
